abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:000001227,,https://api.dc.library.northwestern.edu/api/v2/works/5cf2e2ad-3289-405f-8ca1-b16f2c607b15,Work,ark:/81985/n2bg2kv09,e71b988a-2810-427b-9827-feeab0220a32,,,https://dc.library.northwestern.edu/items/5cf2e2ad-3289-405f-8ca1-b16f2c607b15,,,"Chicago Chamber Musicians Archive, 1989-2010","Genualdi, Joseph|Hersh, Stefan|Solomonow, Rami|Costanza, Christopher|Johnson, Marc",2022-01-21T06:09:19.247986Z,"Schubert, Franz",53817c2f-9ccb-4fd0-bd23-f18f7f5154c6,,"October 19, 1997",,Allegro ma non troppo|Adagio|Scherzo (Presto) &  Trio (Andante sostenuto)|Allegretto|dz010r42j/000001227.mods.xml,,,,5cf2e2ad-3289-405f-8ca1-b16f2c607b15,,https://api.dc.library.northwestern.edu/api/v2/works/5cf2e2ad-3289-405f-8ca1-b16f2c607b15?as=iiif,2023-02-20T16:22:57.745809,AVR Migration,avr_migration.csv,,,1227,Music Library,None,,2022-02-07T17:45:23.407205Z,"{'note': 'Joseph Genualdi; Stefan Hersh, violin; Rami Solomonow, viola; Christopher Costanza, cello; Marc Johnson, cello', 'type': 'Performers'}",,,Level 1,"{'cycle': '2017', 'desc': '1 or 2 hard drives from Chicago Chamber Musicians Archive. Contains documents and audio.', 'manager': 'Laura Alagna', 'name': 'Chicago Chamber Musicians Archive', 'proposer': 'Greg MacAyeal', 'task_number': 'P0160'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,Chicago Chamber Musicians|Chamber music groups,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/5cf2e2ad-3289-405f-8ca1-b16f2c607b15/thumbnail,"Quintet in C Major for two violins, viola and two celli D. 956",Public,Audio
,avr:h415pc10j,,https://api.dc.library.northwestern.edu/api/v2/works/9dbaff05-4708-44ef-bf17-d6e007b12704,Work,ark:/81985/n2gh9dt5f,e71b988a-2810-427b-9827-feeab0220a32,,,https://dc.library.northwestern.edu/items/9dbaff05-4708-44ef-bf17-d6e007b12704,,,"Chicago Chamber Musicians Archive, 1989-2010","Henoch, Michael|Michel, Dennis|Sobol, Deborah",2022-01-21T06:11:55.404397Z,"Poulenc, Francis",53817c2f-9ccb-4fd0-bd23-f18f7f5154c6,,"May 7, 2006",,Lent - Presto|Andante con moto|Rondo:  Tres vif|dz010r42j/h415pc10j.mods.xml,,,,9dbaff05-4708-44ef-bf17-d6e007b12704,,https://api.dc.library.northwestern.edu/api/v2/works/9dbaff05-4708-44ef-bf17-d6e007b12704?as=iiif,2023-02-20T16:23:04.168341,AVR Migration,avr_migration.csv,,,h415pc10j,Music Library,None,,2022-02-07T17:45:26.129313Z,"{'note': 'Michael Henoch, oboe; Dennis Michel, bassoon; Deborah Sobol, piano', 'type': 'Performers'}",,,Level 1,"{'cycle': '2017', 'desc': '1 or 2 hard drives from Chicago Chamber Musicians Archive. Contains documents and audio.', 'manager': 'Laura Alagna', 'name': 'Chicago Chamber Musicians Archive', 'proposer': 'Greg MacAyeal', 'task_number': 'P0160'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,Chicago Chamber Musicians|Chamber music groups,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/9dbaff05-4708-44ef-bf17-d6e007b12704/thumbnail,"Trio for oboe, bassoon, and piano, Op. 47",Public,Audio
,avr:5425kb95w,,https://api.dc.library.northwestern.edu/api/v2/works/0e3b41be-fc6a-4bc9-85ea-88055f5838ca,Work,ark:/81985/n2513xf0d,e71b988a-2810-427b-9827-feeab0220a32,,,https://dc.library.northwestern.edu/items/0e3b41be-fc6a-4bc9-85ea-88055f5838ca,,,"Chicago Chamber Musicians Archive, 1989-2010","Henoch, Michael|Bach, Anne|Butler, Barbara|Geyer, Charles|Larsen, Tage|Kozakis, Michael|Genualdi, Joseph|Satkiewicz, Ronald|Lin, Jasmine|Solomonow, Rami|Swan, Robert|Balderston, Stephen|Michel, Dennis|Lloyd, Peter|Moy, Jason|Dodge, Baird",2022-01-21T06:16:46.110003Z,"Bach, Johann Sebastian",53817c2f-9ccb-4fd0-bd23-f18f7f5154c6,,"November 9, 2009",,Overture|Air|Gavottes I and II|Bouree|Gigue|dz010r42j/5425kb95w.mods.xml,,,,0e3b41be-fc6a-4bc9-85ea-88055f5838ca,,https://api.dc.library.northwestern.edu/api/v2/works/0e3b41be-fc6a-4bc9-85ea-88055f5838ca?as=iiif,2023-02-20T16:23:07.333251,AVR Migration,avr_migration.csv,,,5425kb95w,Music Library,None,,2022-02-07T17:45:22.671075Z,"{'note': 'Michael Henoch, oboe; Anne Bach, oboe; Barbara Butler, trumpet; Charles Geyer, trumpet; Tage Larsen, trumpet; Michael Kozakis, percussion; Joseph Genualdi; Ronald Satkiewicz, violin; Jasmine Lin, violin; Rami Solomonow, viola; Robert Swan, viola; Stephen Balderston, cello; Dennis Michel, bassoon; Peter Lloyd, double bass; Jason Moy, harpsichord; Baird Dodge, viola', 'type': 'Performers'}",,,Level 1,"{'cycle': '2017', 'desc': '1 or 2 hard drives from Chicago Chamber Musicians Archive. Contains documents and audio.', 'manager': 'Laura Alagna', 'name': 'Chicago Chamber Musicians Archive', 'proposer': 'Greg MacAyeal', 'task_number': 'P0160'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,Chicago Chamber Musicians|Chamber music groups,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0e3b41be-fc6a-4bc9-85ea-88055f5838ca/thumbnail,"Orchestral Suite No. 3 in D major, BWV 1068",Public,Audio
,avr:6t053h693,,https://api.dc.library.northwestern.edu/api/v2/works/cb09dfd5-5f94-48d1-9d85-fe5dc2be6e6a,Work,ark:/81985/n2tt4jc43,e71b988a-2810-427b-9827-feeab0220a32,,,https://dc.library.northwestern.edu/items/cb09dfd5-5f94-48d1-9d85-fe5dc2be6e6a,,,"Chicago Chamber Musicians Archive, 1989-2010","Butler, Barbara|Geyer, Charles|Williams, Gail|Mulcahy, Michael|Pokorny, Gene",2022-01-21T06:24:58.108699Z,"Previn, André",53817c2f-9ccb-4fd0-bd23-f18f7f5154c6,,"May 6, 1996",,Moderato with energy|Blues tempo|Slowly|Vivace|dz010r42j/6t053h693.mods.xml,,,,cb09dfd5-5f94-48d1-9d85-fe5dc2be6e6a,,https://api.dc.library.northwestern.edu/api/v2/works/cb09dfd5-5f94-48d1-9d85-fe5dc2be6e6a?as=iiif,2023-02-20T16:23:30.910740,AVR Migration,avr_migration.csv,,,6t053h693,Music Library,None,,2022-02-07T17:45:26.501477Z,"{'note': 'Barbara Butler, trumpet; Charles Geyer, trumpet; Gail Williams, horn; Michael Mulcahy, trombone; Gene Pokorny, tuba', 'type': 'Performers'}",,,Level 1,"{'cycle': '2017', 'desc': '1 or 2 hard drives from Chicago Chamber Musicians Archive. Contains documents and audio.', 'manager': 'Laura Alagna', 'name': 'Chicago Chamber Musicians Archive', 'proposer': 'Greg MacAyeal', 'task_number': 'P0160'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,Chicago Chamber Musicians|Chamber music groups,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/cb09dfd5-5f94-48d1-9d85-fe5dc2be6e6a/thumbnail,Four Outings for Brass Quintet,Public,Audio
,avr:0v838200r,,https://api.dc.library.northwestern.edu/api/v2/works/b30f8d5f-f637-4198-b51c-94a7ea9b12d8,Work,ark:/81985/n20002k19,e71b988a-2810-427b-9827-feeab0220a32,,,https://dc.library.northwestern.edu/items/b30f8d5f-f637-4198-b51c-94a7ea9b12d8,,,"Chicago Chamber Musicians Archive, 1989-2010","Lin, Jasmine|Genualdi, Joseph|Ogura, Yukiko|Lee, Cheng-Hou|Solomonow, Rami",2022-01-21T06:21:49.079669Z,"Bruckner, Anton",53817c2f-9ccb-4fd0-bd23-f18f7f5154c6,,"February 14, 2010",,Gemassigt (Moderato)|Scherzo|Adagio|Finale: Lebhaft bewegt (Allegro agitato)|dz010r42j/0v838200r.mods.xml,,,,b30f8d5f-f637-4198-b51c-94a7ea9b12d8,,https://api.dc.library.northwestern.edu/api/v2/works/b30f8d5f-f637-4198-b51c-94a7ea9b12d8?as=iiif,2023-02-20T16:23:35.746429,AVR Migration,avr_migration.csv,,,0v838200r,Music Library,None,,2022-02-07T17:45:24.194628Z,"{'note': 'Jasmine Lin, violin; Joseph Genualdi; Yukiko Ogura, viola; Cheng-Hou Lee, cello; Rami Solomonow, viola', 'type': 'Performers'}",,,Level 1,"{'cycle': '2017', 'desc': '1 or 2 hard drives from Chicago Chamber Musicians Archive. Contains documents and audio.', 'manager': 'Laura Alagna', 'name': 'Chicago Chamber Musicians Archive', 'proposer': 'Greg MacAyeal', 'task_number': 'P0160'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,Chicago Chamber Musicians|Chamber music groups,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b30f8d5f-f637-4198-b51c-94a7ea9b12d8/thumbnail,"String Quintet in F Major, Op. 112, WAB 112",Public,Audio
,avr:1c18dh340,,https://api.dc.library.northwestern.edu/api/v2/works/c4437a61-292f-49b8-a82d-af4f4e50001f,Work,ark:/81985/n22b8xx4p,e71b988a-2810-427b-9827-feeab0220a32,,,https://dc.library.northwestern.edu/items/c4437a61-292f-49b8-a82d-af4f4e50001f,,,"Chicago Chamber Musicians Archive, 1989-2010","Geyer, Charles|Williams, Gail|Mulcahy, Michael",2022-01-21T06:26:53.372036Z,"Poulenc, Francis",53817c2f-9ccb-4fd0-bd23-f18f7f5154c6,,"November 5, 1999",,Allegro moderato|Andante|Rondeau: Anime|dz010r42j/1c18dh340.mods.xml,,,,c4437a61-292f-49b8-a82d-af4f4e50001f,,https://api.dc.library.northwestern.edu/api/v2/works/c4437a61-292f-49b8-a82d-af4f4e50001f?as=iiif,2023-02-20T16:23:45.844578,AVR Migration,avr_migration.csv,,,1c18dh340,Music Library,None,,2022-02-07T17:45:24.349608Z,"{'note': 'Charles Geyer, trumpet; Gail Williams, horn; Michael Mulcahy, trombone', 'type': 'Performers'}",,,Level 1,"{'cycle': '2017', 'desc': '1 or 2 hard drives from Chicago Chamber Musicians Archive. Contains documents and audio.', 'manager': 'Laura Alagna', 'name': 'Chicago Chamber Musicians Archive', 'proposer': 'Greg MacAyeal', 'task_number': 'P0160'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,Chicago Chamber Musicians|Chamber music groups,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/c4437a61-292f-49b8-a82d-af4f4e50001f/thumbnail,"Sonata for trumpet, horn and trombone",Public,Audio
,avr:t435gf341,,https://api.dc.library.northwestern.edu/api/v2/works/5fecc1bf-de6d-4aeb-9623-37aa7ce50801,Work,ark:/81985/n2kh0hh4p,e71b988a-2810-427b-9827-feeab0220a32,,,https://dc.library.northwestern.edu/items/5fecc1bf-de6d-4aeb-9623-37aa7ce50801,,,"Chicago Chamber Musicians Archive, 1989-2010","Butler, Barbara|Geyer, Charles|Williams, Gail|Mulcahy, Michael|Hawes, Randall",2022-01-21T06:14:32.774955Z,"Paulus, Stephen",53817c2f-9ccb-4fd0-bd23-f18f7f5154c6,,"April 14, 2008",,I.   Dramatic|II.  Pensive|III. Fiery|dz010r42j/t435gf341.mods.xml,,,,5fecc1bf-de6d-4aeb-9623-37aa7ce50801,,https://api.dc.library.northwestern.edu/api/v2/works/5fecc1bf-de6d-4aeb-9623-37aa7ce50801?as=iiif,2023-02-20T16:27:34.956786,AVR Migration,avr_migration.csv,,,t435gf341,Music Library,None,,2022-02-07T17:45:25.681985Z,"{'note': 'Barbara Butler, trumpet; Charles Geyer, trumpet; Gail Williams, horn; Michael Mulcahy, trombone; Randall Hawes, bass trombone', 'type': 'Performers'}",,,Level 1,"{'cycle': '2017', 'desc': '1 or 2 hard drives from Chicago Chamber Musicians Archive. Contains documents and audio.', 'manager': 'Laura Alagna', 'name': 'Chicago Chamber Musicians Archive', 'proposer': 'Greg MacAyeal', 'task_number': 'P0160'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,Chicago Chamber Musicians|Chamber music groups,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/5fecc1bf-de6d-4aeb-9623-37aa7ce50801/thumbnail,Concerto for Brass Quintet,Public,Audio
,avr:9593tw65b,,https://api.dc.library.northwestern.edu/api/v2/works/9865b7a0-1e44-4077-9b35-81b8505c68cd,Work,ark:/81985/n2vt1k76v,e71b988a-2810-427b-9827-feeab0220a32,,,https://dc.library.northwestern.edu/items/9865b7a0-1e44-4077-9b35-81b8505c68cd,,,"Chicago Chamber Musicians Archive, 1989-2010","Sobol, Deborah|Henoch, Michael|Combs, Larry|Grainger, Bruce|Williams, Gail",2022-01-21T06:14:39.339137Z,"Mozart, Wolfgang Amadeus",53817c2f-9ccb-4fd0-bd23-f18f7f5154c6,,"October 14, 1990",,Largo - Allegro moderato|Larghetto|Allegretto|dz010r42j/9593tw65b.mods.xml,,,,9865b7a0-1e44-4077-9b35-81b8505c68cd,,https://api.dc.library.northwestern.edu/api/v2/works/9865b7a0-1e44-4077-9b35-81b8505c68cd?as=iiif,2023-02-20T16:27:48.361269,AVR Migration,avr_migration.csv,,,9593tw65b,Music Library,None,,2022-02-07T17:45:23.937020Z,"{'note': 'Deborah Sobol, piano; Michael Henoch, oboe; Larry Combs, clarinet; Bruce Grainger, bassoon; Gail Williams, horn', 'type': 'Performers'}",,,Level 1,"{'cycle': '2017', 'desc': '1 or 2 hard drives from Chicago Chamber Musicians Archive. Contains documents and audio.', 'manager': 'Laura Alagna', 'name': 'Chicago Chamber Musicians Archive', 'proposer': 'Greg MacAyeal', 'task_number': 'P0160'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,Chicago Chamber Musicians|Chamber music groups,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/9865b7a0-1e44-4077-9b35-81b8505c68cd/thumbnail,"Quintet for Piano and Winds in E-flat Major, K.V. 452",Public,Audio
,avr:dv13zv56h,,https://api.dc.library.northwestern.edu/api/v2/works/9a93ffe1-0d83-475a-a941-29721074ea7a,Work,ark:/81985/n22b8xw5q,e71b988a-2810-427b-9827-feeab0220a32,,,https://dc.library.northwestern.edu/items/9a93ffe1-0d83-475a-a941-29721074ea7a,,,"Chicago Chamber Musicians Archive, 1989-2010","Dufour, Mathieu|Genualdi, Joseph|Solomonow, Rami",2022-01-21T06:14:42.893983Z,"Beethoven, Ludwig van",53817c2f-9ccb-4fd0-bd23-f18f7f5154c6,,"March 17, 2003",,Allegro|Tempo ordinario d'un Menuetto|Allegro molto|Allegro scherzando e vivace|Adagio - Allegro vivace e disinvolto|dz010r42j/dv13zv56h.mods.xml,,,,9a93ffe1-0d83-475a-a941-29721074ea7a,,https://api.dc.library.northwestern.edu/api/v2/works/9a93ffe1-0d83-475a-a941-29721074ea7a?as=iiif,2023-02-20T16:27:56.032040,AVR Migration,avr_migration.csv,,,dv13zv56h,Music Library,None,,2022-02-07T17:45:26.114357Z,"{'note': 'Mathieu Dufour, flute; Joseph Genualdi; Rami Solomonow, viola', 'type': 'Performers'}",,,Level 1,"{'cycle': '2017', 'desc': '1 or 2 hard drives from Chicago Chamber Musicians Archive. Contains documents and audio.', 'manager': 'Laura Alagna', 'name': 'Chicago Chamber Musicians Archive', 'proposer': 'Greg MacAyeal', 'task_number': 'P0160'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,Chicago Chamber Musicians|Chamber music groups,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/9a93ffe1-0d83-475a-a941-29721074ea7a/thumbnail,"Serenade, Op. 25",Public,Audio
,avr:3b591b098,,https://api.dc.library.northwestern.edu/api/v2/works/d1f28429-5770-4cca-9c4e-a3b1bf075e2b,Work,ark:/81985/n2wh2gz92,e71b988a-2810-427b-9827-feeab0220a32,,,https://dc.library.northwestern.edu/items/d1f28429-5770-4cca-9c4e-a3b1bf075e2b,,,"Chicago Chamber Musicians Archive, 1989-2010","Klein, Alex|Henoch, Michael|Combs, Larry|DeRoche, Julie|Turkovic, Milan|Michel, Dennis|Williams, Gail|Unsworth, Adam|Frederick, Jeremiah|Bloom, J. Lawrie|Lloyd, Peter|Webster, Gabrielle|Drapcho, Barbara",2022-01-21T06:14:54.404600Z,"Mozart, Wolfgang Amadeus",53817c2f-9ccb-4fd0-bd23-f18f7f5154c6,,"March 16, 2008",,Largo:  Allegro Molto|Minuet I|Adagio|Minuet II: Allegretto|Romance|Theme &  Variations|Finale: Rondo|Theme & Variations|Finale: Rondo|dz010r42j/3b591b098.mods.xml,,,,d1f28429-5770-4cca-9c4e-a3b1bf075e2b,,https://api.dc.library.northwestern.edu/api/v2/works/d1f28429-5770-4cca-9c4e-a3b1bf075e2b?as=iiif,2023-02-20T16:28:13.157236,AVR Migration,avr_migration.csv,,,3b591b098,Music Library,None,,2022-02-07T17:45:26.610393Z,"{'note': 'Alex Klein, oboe; Michael Henoch, oboe; Larry Combs, clarinet; Julie DeRoche, clarinet; Milan Turkovic, bassoon; Dennis Michel, bassoon; Gail Williams, horn; Adam Unsworth, horn; Jeremiah Frederick, horn; J. Lawrie Bloom, basset-horn; Peter Lloyd, double bass; Gabrielle Webster, horn; Barbara Drapcho, basset-horn', 'type': 'Performers'}",,,Level 1,"{'cycle': '2017', 'desc': '1 or 2 hard drives from Chicago Chamber Musicians Archive. Contains documents and audio.', 'manager': 'Laura Alagna', 'name': 'Chicago Chamber Musicians Archive', 'proposer': 'Greg MacAyeal', 'task_number': 'P0160'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,Chicago Chamber Musicians|Chamber music groups,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d1f28429-5770-4cca-9c4e-a3b1bf075e2b/thumbnail,"Wind Serenade No. 10 in B-Flat Major, K. 361",Public,Audio
,avr:7s75dd87n,,https://api.dc.library.northwestern.edu/api/v2/works/b20cfc37-7e07-498e-b4b3-88787a80a85a,Work,ark:/81985/n27s7mb1j,e71b988a-2810-427b-9827-feeab0220a32,,,https://dc.library.northwestern.edu/items/b20cfc37-7e07-498e-b4b3-88787a80a85a,,,"Chicago Chamber Musicians Archive, 1989-2010","D'Rivera, Paquito|Yavnai, Alon",2022-01-21T06:14:55.716516Z,"Lecuona, Ernesto",53817c2f-9ccb-4fd0-bd23-f18f7f5154c6,,"May 2, 2004",,Lecuona's Medley|dz010r42j/7s75dd87n.mods.xml,,,,b20cfc37-7e07-498e-b4b3-88787a80a85a,,https://api.dc.library.northwestern.edu/api/v2/works/b20cfc37-7e07-498e-b4b3-88787a80a85a?as=iiif,2023-02-20T16:28:15.670014,AVR Migration,avr_migration.csv,,,7s75dd87n,Music Library,None,,2022-02-07T17:45:24.185347Z,"{'note': ""Paquito D'Rivera; Alon Yavnai, piano"", 'type': 'Performers'}",,,Level 1,"{'cycle': '2017', 'desc': '1 or 2 hard drives from Chicago Chamber Musicians Archive. Contains documents and audio.', 'manager': 'Laura Alagna', 'name': 'Chicago Chamber Musicians Archive', 'proposer': 'Greg MacAyeal', 'task_number': 'P0160'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,Chicago Chamber Musicians|Chamber music groups,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b20cfc37-7e07-498e-b4b3-88787a80a85a/thumbnail,Lecuona's Medley for clarinet and piano,Public,Audio
,avr:1831cm38k,,https://api.dc.library.northwestern.edu/api/v2/works/50043b3c-7e35-40b9-ac0b-2107da4287ce,Work,ark:/81985/n2x92432k,e71b988a-2810-427b-9827-feeab0220a32,,,https://dc.library.northwestern.edu/items/50043b3c-7e35-40b9-ac0b-2107da4287ce,,,"Chicago Chamber Musicians Archive, 1989-2010","Combs, Larry|Rejto, Peter|Sobol, Deborah",2022-01-21T06:15:01.106413Z,"Beethoven, Ludwig van",53817c2f-9ccb-4fd0-bd23-f18f7f5154c6,,"May 3, 1993",,Allegro con brio|Adagio|Allegretto|dz010r42j/1831cm38k.mods.xml,,,,50043b3c-7e35-40b9-ac0b-2107da4287ce,,https://api.dc.library.northwestern.edu/api/v2/works/50043b3c-7e35-40b9-ac0b-2107da4287ce?as=iiif,2023-02-20T16:28:43.255980,AVR Migration,avr_migration.csv,,,1831cm38k,Music Library,None,,2022-02-07T17:45:25.557500Z,"{'note': 'Larry Combs, clarinet; Peter Rejto, cello; Deborah Sobol, piano', 'type': 'Performers'}",,,Level 1,"{'cycle': '2017', 'desc': '1 or 2 hard drives from Chicago Chamber Musicians Archive. Contains documents and audio.', 'manager': 'Laura Alagna', 'name': 'Chicago Chamber Musicians Archive', 'proposer': 'Greg MacAyeal', 'task_number': 'P0160'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,Chicago Chamber Musicians|Chamber music groups,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/50043b3c-7e35-40b9-ac0b-2107da4287ce/thumbnail,"Trio in B-flat Major Op. 11 for Clarinet, Cello and Piano",Public,Audio
,avr:xs55md298,,https://api.dc.library.northwestern.edu/api/v2/works/d6eb8e8c-e92b-43bb-be45-9cb912cf3669,Work,ark:/81985/n2x060w72,e71b988a-2810-427b-9827-feeab0220a32,,,https://dc.library.northwestern.edu/items/d6eb8e8c-e92b-43bb-be45-9cb912cf3669,,,"Chicago Chamber Musicians Archive, 1989-2010","Dufour, Mathieu|Genualdi, Joseph|Ogura, Yukiko|Kleijn, Katinka|Endo Schlaffer, Yumiko",2022-01-21T06:06:40.729301Z,"Roussel, Albert",53817c2f-9ccb-4fd0-bd23-f18f7f5154c6,,"October 22, 2007",,Allegro|Andante|Presto|dz010r42j/xs55md298.mods.xml,,,,d6eb8e8c-e92b-43bb-be45-9cb912cf3669,,https://api.dc.library.northwestern.edu/api/v2/works/d6eb8e8c-e92b-43bb-be45-9cb912cf3669?as=iiif,2023-02-20T16:29:11.386011,AVR Migration,avr_migration.csv,,,xs55md298,Music Library,None,,2022-02-07T17:45:26.640543Z,"{'note': 'Mathieu Dufour, flute; Joseph Genualdi; Yukiko Ogura, viola; Katinka Kleijn, cello; Yumiko Endo Schlaffer, harp', 'type': 'Performers'}",,,Level 1,"{'cycle': '2017', 'desc': '1 or 2 hard drives from Chicago Chamber Musicians Archive. Contains documents and audio.', 'manager': 'Laura Alagna', 'name': 'Chicago Chamber Musicians Archive', 'proposer': 'Greg MacAyeal', 'task_number': 'P0160'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,Chicago Chamber Musicians|Chamber music groups,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d6eb8e8c-e92b-43bb-be45-9cb912cf3669/thumbnail,"Serenade, Op. 30 for cello, violin, viola, harp, flute",Public,Audio
