abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,35556025142449_01_254_01,,https://api.dc.library.northwestern.edu/api/v2/works/0e2aa7f3-926f-4620-bf6f-b264cdec2c5c,Work,ark:/81985/n2445j02g,,,,https://dc.library.northwestern.edu/items/0e2aa7f3-926f-4620-bf6f-b264cdec2c5c,,9921347554202441,The History of the 33rd Division,,2021-03-15T16:23:35.277178Z,"Huidekoper, Frederic Louis, 1874-1940",,,1914 to 1921,,35556025142449_01_254_01.tif,,,photographs,0e2aa7f3-926f-4620-bf6f-b264cdec2c5c,,https://api.dc.library.northwestern.edu/api/v2/works/0e2aa7f3-926f-4620-bf6f-b264cdec2c5c?as=iiif,2023-02-20T16:03:54.222227,None,None,,English,,Government & Geographic Information Collection,None,Springfield,2021-06-10T16:43:09.761465Z,,,23 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/444f0b18-f79c-42dd-8c1d-81cfd35da7bd,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. I, page 254",Done,,"Regimental histories|World War, 1914-1918|United States. Army. Infantry Division, 33rd",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/0e2aa7f3-926f-4620-bf6f-b264cdec2c5c/thumbnail,"Cumières-Raffecourt Road, construction over trench",Public,Image
,35556045380839_04_016,,https://api.dc.library.northwestern.edu/api/v2/works/7ecd0e5d-d0c8-4bf9-93cf-27e47b8131dd,Work,ark:/81985/n2154f90b,,,,https://dc.library.northwestern.edu/items/7ecd0e5d-d0c8-4bf9-93cf-27e47b8131dd,"Map showing reconnaissance patrols of Forges Creek and Marsh, previous to advance Sept. 26th. 1918, by 108th. Engrs. 33rd. Div.",9921347554202441,The History of the 33rd Division,,2021-03-16T04:52:50.644185Z,"Huidekoper, Frederic Louis, 1874-1940",,,September 1918,"Scale 1:20,000",35556045380839_04_016.tif,,,maps (documents),7ecd0e5d-d0c8-4bf9-93cf-27e47b8131dd,,https://api.dc.library.northwestern.edu/api/v2/works/7ecd0e5d-d0c8-4bf9-93cf-27e47b8131dd?as=iiif,2023-02-20T16:04:55.842298,None,None,,English,,Government & Geographic Information Collection,None,Springfield,2021-12-15T17:47:58.895674Z,"{'note': 'Contours are marked by brown lines. Enemy positions and trenches in blue. Allied positions and trenches in red. American reconnaissance routes, broken red lines', 'type': 'General Note'}",,32 cm x 50 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/6ad82183-337a-40a2-8a47-332be6c041e5,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. IV, page 16",Done,,"France--La Forge|United States. Army. Engineer Combat Battalion, 108th|Regimental histories|World War, 1914-1918|United States. Army. Infantry Division, 33rd",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/7ecd0e5d-d0c8-4bf9-93cf-27e47b8131dd/thumbnail,"Map showing reconnaissance patrols of Forges Creek and Marsh by 108th Engineers, previous to advance, September 26, 1918",Public,Image
,35556025142449_01_248_01,,https://api.dc.library.northwestern.edu/api/v2/works/7267d49a-eadc-4d9a-96c3-1535feee8e5d,Work,ark:/81985/n2cj88667,,,,https://dc.library.northwestern.edu/items/7267d49a-eadc-4d9a-96c3-1535feee8e5d,,9921347554202441,The History of the 33rd Division,,2021-03-16T03:58:08.622148Z,"Huidekoper, Frederic Louis, 1874-1940",,,1914 to 1921,,35556025142449_01_248_01.tif,,,photographs,7267d49a-eadc-4d9a-96c3-1535feee8e5d,,https://api.dc.library.northwestern.edu/api/v2/works/7267d49a-eadc-4d9a-96c3-1535feee8e5d?as=iiif,2023-02-20T16:08:31.656793,None,None,,English,,Government & Geographic Information Collection,None,Springfield,2021-06-10T16:43:09.761465Z,,,23 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/d689321e-7a6e-40ff-84c7-f610cf5f9f1d,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. I, page 248",Done,,"Regimental histories|World War, 1914-1918|United States. Army. Infantry Division, 33rd",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/7267d49a-eadc-4d9a-96c3-1535feee8e5d/thumbnail,"Cumières-Raffecourt Road, Cumont ravine",Public,Image
,35556045380839_04_007,,https://api.dc.library.northwestern.edu/api/v2/works/93b47f25-5590-4b34-90d8-7d6203571af3,Work,ark:/81985/n2251g612,,,,https://dc.library.northwestern.edu/items/93b47f25-5590-4b34-90d8-7d6203571af3,"Positions held by the 129th. Infantry, 33rd. Division, Nov. 10-11, 1918",9921347554202441,The History of the 33rd Division,,2021-03-16T06:28:29.688720Z,"Huidekoper, Frederic Louis, 1874-1940",,,"November 10, 1918 to November 11, 1918","Scale 1:50,000",35556045380839_04_007.tif,,,maps (documents),93b47f25-5590-4b34-90d8-7d6203571af3,,https://api.dc.library.northwestern.edu/api/v2/works/93b47f25-5590-4b34-90d8-7d6203571af3?as=iiif,2023-02-20T16:10:49.979604,None,None,,English,,Government & Geographic Information Collection,None,Springfield,2021-12-15T17:48:05.648818Z,"{'note': ""In this map a small rectangle surmounted by a single cross indicates a battalion headquarters ; by a double cross a regimental headquarters ; by a plain pennant a brigade headquarters ; by a swallow-tail pennant a division headquarters. Two radii with arrow heads indicate a machine gun or automatic rifle's field of fire."", 'type': 'General Note'}",,32 cm x 50 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/73b5f620-cc2a-486c-9d87-e918d2c981bb,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. IV, page 7",Done,,"Regimental histories|World War, 1914-1918|United States. Army. Infantry Regiment, 129th|United States. Army. Infantry Division, 33rd",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/93b47f25-5590-4b34-90d8-7d6203571af3/thumbnail,"Positions of 129th Infantry, November 10-11, 1918, Troyon sector",Public,Image
,35556025142449_01_022,,https://api.dc.library.northwestern.edu/api/v2/works/aeae681b-3a9d-4e36-90d2-a5a6c6667aa1,Work,ark:/81985/n2wp9tt4c,,,,https://dc.library.northwestern.edu/items/aeae681b-3a9d-4e36-90d2-a5a6c6667aa1,,9921347554202441,The History of the 33rd Division,,2021-03-16T14:07:22.801739Z,"Huidekoper, Frederic Louis, 1874-1940",,,1914 to 1921,,35556025142449_01_022.tif,,,portraits,aeae681b-3a9d-4e36-90d2-a5a6c6667aa1,,https://api.dc.library.northwestern.edu/api/v2/works/aeae681b-3a9d-4e36-90d2-a5a6c6667aa1?as=iiif,2023-02-20T16:12:56.953956,None,None,,English,,Government & Geographic Information Collection,None,Springfield,2021-06-10T16:43:09.761465Z,,,23 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/836589ec-6f3a-45c3-b2c5-6ea809d5c6de,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. I, page 22",Done,,"Regimental histories|World War, 1914-1918|United States. Army. Infantry Division, 33rd",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/aeae681b-3a9d-4e36-90d2-a5a6c6667aa1/thumbnail,Brigadier General Paul A. Wolf,Public,Image
,35556045380839_04_038,,https://api.dc.library.northwestern.edu/api/v2/works/d99c4515-9789-428b-b17c-7d7a45c34ae7,Work,ark:/81985/n25q4s697,,,,https://dc.library.northwestern.edu/items/d99c4515-9789-428b-b17c-7d7a45c34ae7,"Map of operations. Oct. 10, 1918. 131st U.S. Infantry. 33rd Div. A.E.F.",9921347554202441,The History of the 33rd Division,,2021-03-16T19:25:41.327882Z,"Huidekoper, Frederic Louis, 1874-1940",,,"October 10, 1918","Scale 1:20,000",35556045380839_04_038.tif,,,maps (documents),d99c4515-9789-428b-b17c-7d7a45c34ae7,,https://api.dc.library.northwestern.edu/api/v2/works/d99c4515-9789-428b-b17c-7d7a45c34ae7?as=iiif,2023-02-20T16:16:35.260385,None,None,,French|English,,Government & Geographic Information Collection,None,Springfield,2021-06-10T16:43:09.761465Z,,,32 cm x 50 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/df9b3033-6fa9-438d-b048-e74f4e9a9300,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. IV, page 38",Done,,"Regimental histories|World War, 1914-1918|United States. Army. Infantry Regiment, 131st|United States. Army. Infantry Division, 33rd",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/d99c4515-9789-428b-b17c-7d7a45c34ae7/thumbnail,"Map of operations, 131st Infantry, October 10, 1918",Public,Image
,35556045380839_04_009,,https://api.dc.library.northwestern.edu/api/v2/works/e71b4261-4362-4b8b-92ce-c2f6793c0e87,Work,ark:/81985/n2sn01r29,,,,https://dc.library.northwestern.edu/items/e71b4261-4362-4b8b-92ce-c2f6793c0e87,Situation des Forces Ennemies. Devant Le Front du 17e C.A. Le 25 Sepbre 1918,9921347554202441,The History of the 33rd Division,,2021-03-16T20:45:06.921916Z,"Huidekoper, Frederic Louis, 1874-1940",,,"September 25, 1918",,35556045380839_04_009.tif,,,maps (documents),e71b4261-4362-4b8b-92ce-c2f6793c0e87,,https://api.dc.library.northwestern.edu/api/v2/works/e71b4261-4362-4b8b-92ce-c2f6793c0e87?as=iiif,2023-02-20T16:17:50.256087,None,None,,French,,Government & Geographic Information Collection,None,Springfield,2021-12-15T17:48:18.458130Z,"{'note': ""In this map, inclusive, natural features, towns, roads, etc., are in mauve. Enemy front is marked by a solid red line. Enemy division boundaries are broken red lines. Designations of enemy divisions are in red letters. Movements of enemy troops ascertained before the date of the map are in red. Movements ascertained after the date of the map are in red. Movements ascertained after the date of the map are in blue. The groupings of General Von Marwitz' army are indicated by green letterings - West Meuse Group, East Meuse Group, Ornes Group and Army Detachment C."", 'type': 'General Note'}",,32 cm x 50 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/33cdeced-5a1e-4dd7-a657-bfe3805c5fed,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. IV, page 9",Done,,"Regimental histories|World War, 1914-1918|United States. Army. Infantry Division, 33rd",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/e71b4261-4362-4b8b-92ce-c2f6793c0e87/thumbnail,"Disposition of enemy forces in the front of the 17th Corps (French), September 25, 1918",Public,Image
,35556025142449_01_086_01,,https://api.dc.library.northwestern.edu/api/v2/works/2a8a432c-a4bd-4fe4-8288-6667d2709572,Work,ark:/81985/n2m902q1s,,,,https://dc.library.northwestern.edu/items/2a8a432c-a4bd-4fe4-8288-6667d2709572,,9921347554202441,The History of the 33rd Division,,2021-03-15T18:12:56.360199Z,"Huidekoper, Frederic Louis, 1874-1940",,,1914 to 1921,,35556025142449_01_086_01.tif,,,photographs,2a8a432c-a4bd-4fe4-8288-6667d2709572,,https://api.dc.library.northwestern.edu/api/v2/works/2a8a432c-a4bd-4fe4-8288-6667d2709572?as=iiif,2023-02-20T16:37:42.949247,None,None,,English,,Government & Geographic Information Collection,None,Springfield,2021-06-10T16:43:09.761465Z,,,23 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/2f2afa3d-e1e7-4e37-8d00-bce63b368fc0,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. I, page 86",Done,,"France--La Forge|Regimental histories|World War, 1914-1918|United States. Army. Infantry Division, 33rd",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/2a8a432c-a4bd-4fe4-8288-6667d2709572/thumbnail,"Demolished bridge, Old Forges Consenvoye Road",Public,Image
,35556025142449_01_248_02,,https://api.dc.library.northwestern.edu/api/v2/works/4150b6cf-112e-4195-afe6-00704a2fa833,Work,ark:/81985/n27w67s5d,,,,https://dc.library.northwestern.edu/items/4150b6cf-112e-4195-afe6-00704a2fa833,,9921347554202441,The History of the 33rd Division,,2021-03-15T19:52:43.743369Z,"Huidekoper, Frederic Louis, 1874-1940",,,1914 to 1921,,35556025142449_01_248_02.tif,,,photographs,4150b6cf-112e-4195-afe6-00704a2fa833,,https://api.dc.library.northwestern.edu/api/v2/works/4150b6cf-112e-4195-afe6-00704a2fa833?as=iiif,2023-02-20T16:38:29.196016,None,None,,English,,Government & Geographic Information Collection,None,Springfield,2021-06-10T16:43:09.761465Z,,,23 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/36749877-966a-4cf5-ab30-45f3e067b270,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. I, page 248",Done,,"Regimental histories|World War, 1914-1918|United States. Army. Infantry Division, 33rd",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/4150b6cf-112e-4195-afe6-00704a2fa833/thumbnail,Cumières-Raffecourt Road,Public,Image
,35556025142449_01_098_02,,https://api.dc.library.northwestern.edu/api/v2/works/484f57cf-ce59-4dd9-bc39-1292d0eb48be,Work,ark:/81985/n2zk5671x,,,,https://dc.library.northwestern.edu/items/484f57cf-ce59-4dd9-bc39-1292d0eb48be,,9921347554202441,The History of the 33rd Division,,2021-03-15T20:23:47.308498Z,"Huidekoper, Frederic Louis, 1874-1940",,,1914 to 1921,,35556025142449_01_098_02.tif,,,photographs,484f57cf-ce59-4dd9-bc39-1292d0eb48be,,https://api.dc.library.northwestern.edu/api/v2/works/484f57cf-ce59-4dd9-bc39-1292d0eb48be?as=iiif,2023-02-20T16:39:47.687639,None,None,,English,,Government & Geographic Information Collection,None,Springfield,2021-06-10T16:43:09.761465Z,,,23 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/8d285f58-c457-4e14-98ed-5ebd0070a4fe,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. I, page 98",Done,,"France--La Forge|Regimental histories|World War, 1914-1918|United States. Army. Infantry Division, 33rd",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/484f57cf-ce59-4dd9-bc39-1292d0eb48be/thumbnail,Road over Forges Creek Bridge,Public,Image
,35556025142456_02_490,,https://api.dc.library.northwestern.edu/api/v2/works/526c7bad-9f71-451b-a2ce-e3bb8dba7242,Work,ark:/81985/n2348h346,,,,https://dc.library.northwestern.edu/items/526c7bad-9f71-451b-a2ce-e3bb8dba7242,,9921347554202441,The History of the 33rd Division,,2021-03-15T21:36:34.076080Z,"Huidekoper, Frederic Louis, 1874-1940",,,1914 to 1921,,35556025142456_02_490.tif,,,maps (documents),526c7bad-9f71-451b-a2ce-e3bb8dba7242,,https://api.dc.library.northwestern.edu/api/v2/works/526c7bad-9f71-451b-a2ce-e3bb8dba7242?as=iiif,2023-02-20T16:40:48.940991,None,None,,English,,Government & Geographic Information Collection,None,Springfield,2021-06-10T16:43:09.761465Z,,,23 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/becf3491-4a6f-4288-8f77-95559d7b08b5,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. II, page 490",Done,,"Regimental histories|Somme, 2nd Battle of the, France, 1918|World War, 1914-1918|United States. Army. Infantry Division, 33rd",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/526c7bad-9f71-451b-a2ce-e3bb8dba7242/thumbnail,Map. Somme Offensive June-July-August 1918. Area of activity of 108th engineers.,Public,Image
,35556025142449_01_208_01,,https://api.dc.library.northwestern.edu/api/v2/works/616d2767-1165-4072-adc2-f1c4f6627d61,Work,ark:/81985/n21c1v27g,,,,https://dc.library.northwestern.edu/items/616d2767-1165-4072-adc2-f1c4f6627d61,,9921347554202441,The History of the 33rd Division,,2021-03-16T02:48:31.744274Z,"Huidekoper, Frederic Louis, 1874-1940",,,1914 to 1921,,35556025142449_01_208_01.tif,,,photographs,616d2767-1165-4072-adc2-f1c4f6627d61,,https://api.dc.library.northwestern.edu/api/v2/works/616d2767-1165-4072-adc2-f1c4f6627d61?as=iiif,2023-02-20T16:42:34.308251,None,None,,English,,Government & Geographic Information Collection,None,Springfield,2021-06-10T16:43:09.761465Z,,,23 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/07648a07-84ee-40aa-91bb-738f0c09ccc5,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. I, page 208",Done,,"France--Fismes|Regimental histories|World War, 1914-1918|United States. Army. Infantry Division, 33rd",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/616d2767-1165-4072-adc2-f1c4f6627d61/thumbnail,Bridge at Fismes-en-Woëvre,Public,Image
,35556045380839_04_021,,https://api.dc.library.northwestern.edu/api/v2/works/6db65f2f-1712-453f-a8e8-ed7d183c1290,Work,ark:/81985/n2cf9jt40,,,,https://dc.library.northwestern.edu/items/6db65f2f-1712-453f-a8e8-ed7d183c1290,"Map illustrating operations of 130th Infty, on British front. From 18th July to 24th August 1918.",9921347554202441,The History of the 33rd Division,,2021-03-16T03:38:27.630784Z,"Huidekoper, Frederic Louis, 1874-1940",,,"July 18, 1918 to August 24, 1918",Scale 1:20000,35556045380839_04_021.tif,,,maps (documents),6db65f2f-1712-453f-a8e8-ed7d183c1290,,https://api.dc.library.northwestern.edu/api/v2/works/6db65f2f-1712-453f-a8e8-ed7d183c1290?as=iiif,2023-02-20T16:44:22.953265,None,None,,English,,Government & Geographic Information Collection,None,Springfield,2021-06-10T16:43:09.761465Z,,,32 cm x 50 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/9667bf8f-82f7-4ca7-8880-0068d3acd192,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. IV, page 21",Done,,"Regimental histories|World War, 1914-1918|United States. Army. Infantry Division, 33rd",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/6db65f2f-1712-453f-a8e8-ed7d183c1290/thumbnail,"Map illustrating operations of 130th Infantry on British front, July 18-August 24, 1918",Public,Image
,35556025142449_01_vii,,https://api.dc.library.northwestern.edu/api/v2/works/7935d831-97a5-4769-a6b2-3802cb0d01b8,Work,ark:/81985/n2jh3dp6g,,,,https://dc.library.northwestern.edu/items/7935d831-97a5-4769-a6b2-3802cb0d01b8,,9921347554202441,The History of the 33rd Division,,2021-03-16T04:28:42.426507Z,"Huidekoper, Frederic Louis, 1874-1940",,,1914 to 1921,,35556025142449_01_vii.tif,,,portraits,7935d831-97a5-4769-a6b2-3802cb0d01b8,,https://api.dc.library.northwestern.edu/api/v2/works/7935d831-97a5-4769-a6b2-3802cb0d01b8?as=iiif,2023-02-20T16:04:47.863577,None,None,,English,,Government & Geographic Information Collection,None,Springfield,2021-06-10T16:43:09.761465Z,,,23 cm,Level 1,"{'cycle': '2018', 'desc': 'Collection of World War I maps and accompanying volumes.', 'manager': 'Jen Young', 'name': 'Illinois in World War I', 'proposer': 'Anne Zald', 'task_number': 'P0133-006'}",,True,Illinois state historical library,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/e741a6a4-4683-44ba-bf78-d15c7f3f05d1,,No Copyright - United States,,,"Huidekoper, Frederic Louis. ... The History of the 33rd Division, A.E.F., by Frederick Louis Huidekoper ... Springfield, Ill.: Illinois State Historical Library, 1921. Print. Half Title: Illinois in the World War, Ed. by T. C. Pease, Vol. I, page vii",Done,,"Regimental histories|Small, Len, 1862-1936|United States. Army. Infantry Division, 33rd|World War, 1914-1918",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/7935d831-97a5-4769-a6b2-3802cb0d01b8/thumbnail,Governor Len Small,Public,Image
