abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Accession:320026,,https://api.dc.library.northwestern.edu/api/v2/works/075f9387-e41c-4aa5-86ff-460b7de5ac80,Work,ark:/81985/n2ws8hz1n,,,,https://dc.library.northwestern.edu/items/075f9387-e41c-4aa5-86ff-460b7de5ac80,Bourgeois,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Kolb, Eugene (Editor)",2021-03-15T15:57:55.864167Z,"Le Mouël, Eugène, 1859-1934",,,"August 18, 1888",,inu-dil-d64edab6-2468-43f7-89de-20c99a820ff4.tif,,,caricatures,075f9387-e41c-4aa5-86ff-460b7de5ac80,,https://api.dc.library.northwestern.edu/api/v2/works/075f9387-e41c-4aa5-86ff-460b7de5ac80?as=iiif,2023-02-20T16:04:38.702712,None,None,,French,inu:dil-d64edab6-2468-43f7-89de-20c99a820ff4,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/7ba3dca6-8424-4576-a360-5471f2094bf3,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/075f9387-e41c-4aa5-86ff-460b7de5ac80/thumbnail,"La Caricature, no 451 (18 août 1888), cover",Public,Image
,Accession:319837,,https://api.dc.library.northwestern.edu/api/v2/works/74292642-21a1-4dcc-9db4-0bc41f73fe10,Work,ark:/81985/n2bz61m2v,,,,https://dc.library.northwestern.edu/items/74292642-21a1-4dcc-9db4-0bc41f73fe10,Dernière Recommandation,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Obshchestvo parazitologov Kazakhstana|Bac, Ferdinand, 1859-1952|Kolb, Eugene (Editor)",2021-03-16T04:06:02.610642Z,,,,"July 30, 1892",,inu-dil-ad05f612-6361-44c9-8cef-f820cb42eb7b.tif,,,caricatures,74292642-21a1-4dcc-9db4-0bc41f73fe10,,https://api.dc.library.northwestern.edu/api/v2/works/74292642-21a1-4dcc-9db4-0bc41f73fe10?as=iiif,2023-02-20T16:04:41.368978,None,None,,French,inu:dil-ad05f612-6361-44c9-8cef-f820cb42eb7b,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/3568703c-0d90-42e7-ba4b-e16741584b91,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/74292642-21a1-4dcc-9db4-0bc41f73fe10/thumbnail,"La Caricature, année 13, no 657 (30 juillet 1892), cover",Public,Image
,Accession:319852,,https://api.dc.library.northwestern.edu/api/v2/works/747fec7e-51dc-47c6-9e18-e504d15a6f9c,Work,ark:/81985/n22n4zw09,,,,https://dc.library.northwestern.edu/items/747fec7e-51dc-47c6-9e18-e504d15a6f9c,Pendant L'Averse,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Guillaume, Albert|Kolb, Eugene (Editor)",2021-03-16T04:07:43.304818Z,,,,"December 10, 1892",,inu-dil-d7e5b856-4911-4084-937f-23a6b275aab0.tif,,,caricatures,747fec7e-51dc-47c6-9e18-e504d15a6f9c,,https://api.dc.library.northwestern.edu/api/v2/works/747fec7e-51dc-47c6-9e18-e504d15a6f9c?as=iiif,2023-02-20T16:04:48.112255,None,None,,French,inu:dil-d7e5b856-4911-4084-937f-23a6b275aab0,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/d05bca44-03e3-4bc3-89fb-3e000ed9f650,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/747fec7e-51dc-47c6-9e18-e504d15a6f9c/thumbnail,"La Caricature, année 13, no 676 (10 décembre 1892), cover",Public,Image
,Accession:319804,,https://api.dc.library.northwestern.edu/api/v2/works/76b24bff-ca8d-47f9-9f8d-41cabce1585b,Work,ark:/81985/n2zk55z5v,,,,https://dc.library.northwestern.edu/items/76b24bff-ca8d-47f9-9f8d-41cabce1585b,Esprit D'A-propos,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Kolb, Eugene (Editor)",2021-03-16T04:17:13.072563Z,"Radiguet, Max, 1816-1899|J. Vitou et Cie, Sc",,,"December 2, 1893",,inu-dil-63981578-cdaa-439d-949b-c3f1e4bf8daa.tif,,,caricatures,76b24bff-ca8d-47f9-9f8d-41cabce1585b,,https://api.dc.library.northwestern.edu/api/v2/works/76b24bff-ca8d-47f9-9f8d-41cabce1585b?as=iiif,2023-02-20T16:05:08.312803,None,None,,French,inu:dil-63981578-cdaa-439d-949b-c3f1e4bf8daa,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/013551c2-cbf3-423e-8079-deb40ddac0eb,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/76b24bff-ca8d-47f9-9f8d-41cabce1585b/thumbnail,"La Caricature, année 14, no 727 (2 décembre 1893), cover",Public,Image
,Accession:320311,,https://api.dc.library.northwestern.edu/api/v2/works/00265c8c-7bf1-4029-80f2-e922d57a68a8,Work,ark:/81985/n2bc3t82w,,,,https://dc.library.northwestern.edu/items/00265c8c-7bf1-4029-80f2-e922d57a68a8,Le Colonel Ramollot et le divorce,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Kolb, Eugene (Editor)",2021-03-15T15:30:56.168897Z,"Draner, 1833-1926|Fernique, Charles",,,"August 11, 1883",,inu-dil-f7d77650-440c-4778-817e-d22175f87d70.tif,,,caricatures,00265c8c-7bf1-4029-80f2-e922d57a68a8,,https://api.dc.library.northwestern.edu/api/v2/works/00265c8c-7bf1-4029-80f2-e922d57a68a8?as=iiif,2023-02-20T16:05:10.947674,None,None,,French,inu:dil-f7d77650-440c-4778-817e-d22175f87d70,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/086c2305-b424-4632-a1db-dceb6192800f,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/00265c8c-7bf1-4029-80f2-e922d57a68a8/thumbnail,"La Caricature, no 189 (11 août 1883), cover",Public,Image
,Accession:320505,,https://api.dc.library.northwestern.edu/api/v2/works/005e6d1a-9d92-445d-978d-18e9ec4b6076,Work,ark:/81985/n2cn71139,,,,https://dc.library.northwestern.edu/items/005e6d1a-9d92-445d-978d-18e9ec4b6076,Modes du jour,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Robida, Albert, 1848-1926|Robida, Albert, 1848-1926|Robida, Albert, 1848-1926|Kolb, Eugene (Editor)|Robida, Albert, 1848-1926",2021-03-15T15:31:48.478311Z,,,,"October 23, 1880",,inu-dil-475c3518-e7cb-495a-817e-19957c5c2307.tif,,,caricatures,005e6d1a-9d92-445d-978d-18e9ec4b6076,,https://api.dc.library.northwestern.edu/api/v2/works/005e6d1a-9d92-445d-978d-18e9ec4b6076?as=iiif,2023-02-20T16:05:11.329924,None,None,,French,inu:dil-475c3518-e7cb-495a-817e-19957c5c2307,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/a57de2e5-9cb8-420b-922f-01b3db80545a,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/005e6d1a-9d92-445d-978d-18e9ec4b6076/thumbnail,"La Caricature, no 43 (23 octobre 1880)",Public,Image
,Accession:319925,,https://api.dc.library.northwestern.edu/api/v2/works/76d87637-1e3b-4191-ac20-e32877835472,Work,ark:/81985/n2vd6ph11,,,,https://dc.library.northwestern.edu/items/76d87637-1e3b-4191-ac20-e32877835472,Au chateau,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Vignola, A.|Kolb, Eugene (Editor)",2021-03-16T04:17:43.723141Z,,,,"August 23, 1890",,inu-dil-c794aa90-02d1-4a91-abb5-8127b6c2aa02.tif,,,caricatures,76d87637-1e3b-4191-ac20-e32877835472,,https://api.dc.library.northwestern.edu/api/v2/works/76d87637-1e3b-4191-ac20-e32877835472?as=iiif,2023-02-20T16:05:13.565278,None,None,,French,inu:dil-c794aa90-02d1-4a91-abb5-8127b6c2aa02,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/d2f71b20-a158-45bd-b5d0-2b5242bf2f81,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/76d87637-1e3b-4191-ac20-e32877835472/thumbnail,"La Caricature, année 11, no 556 (23 août 1890), cover",Public,Image
,Accession:320258,,https://api.dc.library.northwestern.edu/api/v2/works/09923be5-b765-4e40-bb40-b73f3c28a326,Work,ark:/81985/n2c24r03j,,,,https://dc.library.northwestern.edu/items/09923be5-b765-4e40-bb40-b73f3c28a326,Festin de divorce,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Robida, Albert, 1848-1926|Robida, Albert, 1848-1926|Kolb, Eugene (Editor)|Robida, Albert, 1848-1926",2021-03-15T16:06:28.348127Z,Yves et Barret,,,"October 4, 1884",,inu-dil-f1602379-4734-4496-b8bf-51770a0ae466.tif,,,caricatures,09923be5-b765-4e40-bb40-b73f3c28a326,,https://api.dc.library.northwestern.edu/api/v2/works/09923be5-b765-4e40-bb40-b73f3c28a326?as=iiif,2023-02-20T16:06:05.164183,None,None,,French,inu:dil-f1602379-4734-4496-b8bf-51770a0ae466,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/f0c6db40-aaf9-4f6b-b72b-6edd08d0de96,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/09923be5-b765-4e40-bb40-b73f3c28a326/thumbnail,"La Caricature, no 249 (4 octobre 1884), cover",Public,Image
,Accession:320246,,https://api.dc.library.northwestern.edu/api/v2/works/24fcfa7d-7e0a-4b90-bfc5-eaf2aa7c0bfe,Work,ark:/81985/n2pc2tm7h,,,,https://dc.library.northwestern.edu/items/24fcfa7d-7e0a-4b90-bfc5-eaf2aa7c0bfe,Inoculation du parfait bonheur,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Kolb, Eugene (Editor)",2021-03-15T17:49:47.284325Z,Yves et Barret,,,"July 26, 1884",,inu-dil-a077c1a1-1364-4562-b60d-5d92950c925a.tif,,,caricatures,24fcfa7d-7e0a-4b90-bfc5-eaf2aa7c0bfe,,https://api.dc.library.northwestern.edu/api/v2/works/24fcfa7d-7e0a-4b90-bfc5-eaf2aa7c0bfe?as=iiif,2023-02-20T16:07:34.478693,None,None,,French,inu:dil-a077c1a1-1364-4562-b60d-5d92950c925a,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/a39b80d0-de21-4bcb-89f8-f10bdd61cb75,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/24fcfa7d-7e0a-4b90-bfc5-eaf2aa7c0bfe/thumbnail,"La Caricature, no 239 (26 juillet 1884), cover",Public,Image
,Accession:320113,,https://api.dc.library.northwestern.edu/api/v2/works/5796a57d-ab0d-47eb-a1b0-57e8fd9e8072,Work,ark:/81985/n2028pr26,,,,https://dc.library.northwestern.edu/items/5796a57d-ab0d-47eb-a1b0-57e8fd9e8072,Naïvetés,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Caran d'Ache, 1859-1909|Caran d'Ache, 1859-1909|Kolb, Eugene (Editor)",2021-03-15T22:28:19.764233Z,,,,"February 6, 1886",,inu-dil-ecb94b40-ce14-4a3d-981d-d284db8d60d8.tif,,,caricatures,5796a57d-ab0d-47eb-a1b0-57e8fd9e8072,,https://api.dc.library.northwestern.edu/api/v2/works/5796a57d-ab0d-47eb-a1b0-57e8fd9e8072?as=iiif,2023-02-20T16:08:18.180014,None,None,,French,inu:dil-ecb94b40-ce14-4a3d-981d-d284db8d60d8,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/0bb29b8f-42a8-4cce-9a8d-6fcc5146fe16,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/5796a57d-ab0d-47eb-a1b0-57e8fd9e8072/thumbnail,"La Caricature, no 319 (6 février 1886), cover",Public,Image
,Accession:320430,,https://api.dc.library.northwestern.edu/api/v2/works/5d484efc-0fef-47dc-9b53-1ea099197584,Work,ark:/81985/n2fq9qh3x,,,,https://dc.library.northwestern.edu/items/5d484efc-0fef-47dc-9b53-1ea099197584,Le grand panorama de Paris,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Robida, Albert, 1848-1926|Robida, Albert, 1848-1926|Kolb, Eugene (Editor)|Robida, Albert, 1848-1926",2021-03-16T02:31:39.352688Z,Yves et Barret,,,"July 9, 1881",,inu-dil-59700030-31c5-4b87-883f-7d90a8e15d2f.tif,,,caricatures,5d484efc-0fef-47dc-9b53-1ea099197584,,https://api.dc.library.northwestern.edu/api/v2/works/5d484efc-0fef-47dc-9b53-1ea099197584?as=iiif,2023-02-20T16:08:20.600794,None,None,,French,inu:dil-59700030-31c5-4b87-883f-7d90a8e15d2f,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/16d3203c-0494-48fb-aa1b-50c0cca4a0e1,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/5d484efc-0fef-47dc-9b53-1ea099197584/thumbnail,"La Caricature, no 80 (9 juillet 1881), cover",Public,Image
,Accession:319818,,https://api.dc.library.northwestern.edu/api/v2/works/68760a8b-e5e0-4a50-a5c2-564e51dcf828,Work,ark:/81985/n2wp9tj8q,,,,https://dc.library.northwestern.edu/items/68760a8b-e5e0-4a50-a5c2-564e51dcf828,Les Drames du Ménage,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Niederdonau (Reichsgau)|Bac, Ferdinand, 1859-1952|Kolb, Eugene (Editor)",2021-03-16T03:17:18.090986Z,,,,"March 12, 1892",,inu-dil-1a06d97d-e5e4-4abf-b99b-9d4a84748a12.tif,,,caricatures,68760a8b-e5e0-4a50-a5c2-564e51dcf828,,https://api.dc.library.northwestern.edu/api/v2/works/68760a8b-e5e0-4a50-a5c2-564e51dcf828?as=iiif,2023-02-20T16:08:27.435000,None,None,,French,inu:dil-1a06d97d-e5e4-4abf-b99b-9d4a84748a12,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/91e6e4e2-c765-4c43-9b33-a2a824086341,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/68760a8b-e5e0-4a50-a5c2-564e51dcf828/thumbnail,"La Caricature, année 13, no 637 (12 mars 1892), cover",Public,Image
,Accession:320189,,https://api.dc.library.northwestern.edu/api/v2/works/7121f0b1-a1fd-412f-852d-6d6ec591428c,Work,ark:/81985/n2610w391,,,,https://dc.library.northwestern.edu/items/7121f0b1-a1fd-412f-852d-6d6ec591428c,L'Esprit de Corps,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Caran d'Ache, 1859-1909|Caran d'Ache, 1859-1909|Kolb, Eugene (Editor)",2021-03-16T03:52:59.654757Z,,,,"July 11, 1885",,inu-dil-edf27896-b942-480b-b72e-408f0af4b20f.tif,,,caricatures,7121f0b1-a1fd-412f-852d-6d6ec591428c,,https://api.dc.library.northwestern.edu/api/v2/works/7121f0b1-a1fd-412f-852d-6d6ec591428c?as=iiif,2023-02-20T16:08:31.159934,None,None,,French,inu:dil-edf27896-b942-480b-b72e-408f0af4b20f,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/9e7945ff-eb0b-4daf-b964-2628b2c88050,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7121f0b1-a1fd-412f-852d-6d6ec591428c/thumbnail,"La Caricature, no 289 (11 juillet 1885), cover",Public,Image
,Accession:319889,,https://api.dc.library.northwestern.edu/api/v2/works/7b450e40-ddac-49af-b32d-f114d0e748f3,Work,ark:/81985/n26h4d26p,,,,https://dc.library.northwestern.edu/items/7b450e40-ddac-49af-b32d-f114d0e748f3,Nos Troupiers,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Kolb, Eugene (Editor)|Michelet, Jules, 1798-1874",2021-03-16T04:37:33.442226Z,Pencil,,,"October 17, 1891",,inu-dil-ea3d8b82-7f4b-4676-8c75-fe14ca251155.tif,,,caricatures,7b450e40-ddac-49af-b32d-f114d0e748f3,,https://api.dc.library.northwestern.edu/api/v2/works/7b450e40-ddac-49af-b32d-f114d0e748f3?as=iiif,2023-02-20T16:08:34.381729,None,None,,French,inu:dil-ea3d8b82-7f4b-4676-8c75-fe14ca251155,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/d00f77eb-2f2f-421a-bdc7-86ef9521b0ed,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7b450e40-ddac-49af-b32d-f114d0e748f3/thumbnail,"La Caricature, année 12, no 616 (17 octobre 1891), cover",Public,Image
,Accession:320139,,https://api.dc.library.northwestern.edu/api/v2/works/a55884b6-79aa-4a5c-bfa3-de10b58cebc0,Work,ark:/81985/n2g737g2d,,,,https://dc.library.northwestern.edu/items/a55884b6-79aa-4a5c-bfa3-de10b58cebc0,Soir d'été,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Kolb, Eugene (Editor)",2021-03-16T13:22:41.585283Z,"Sorel, A.",,,"August 28, 1886",,inu-dil-199d8184-85c3-46b2-b7c9-49cd4b057d01.tif,,,caricatures,a55884b6-79aa-4a5c-bfa3-de10b58cebc0,,https://api.dc.library.northwestern.edu/api/v2/works/a55884b6-79aa-4a5c-bfa3-de10b58cebc0?as=iiif,2023-02-20T16:08:38.609092,None,None,,French,inu:dil-199d8184-85c3-46b2-b7c9-49cd4b057d01,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/a1fd61aa-d141-4b3a-95c0-ff68348c1254,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a55884b6-79aa-4a5c-bfa3-de10b58cebc0/thumbnail,"La Caricature, no 348 (28 août 1886), cover",Public,Image
