abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:6682x4074,,https://api.dc.library.northwestern.edu/api/v2/works/968a58d5-c032-47e0-9fc2-52fe2300237e,Work,ark:/81985/n2kp7xb0v,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/968a58d5-c032-47e0-9fc2-52fe2300237e,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:26:34.097239Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"November 16, 1996","Final score, NU: 27, Purdue: 24",Side 1|Side 2|6q182k21g/6682x4074.mods.xml,,,audiocassettes,968a58d5-c032-47e0-9fc2-52fe2300237e,,https://api.dc.library.northwestern.edu/api/v2/works/968a58d5-c032-47e0-9fc2-52fe2300237e?as=iiif,2023-02-20T16:32:49.812634,AVR Migration,avr_migration.csv,,English,6682x4074,University Archives,None,,2022-02-03T21:51:12.047931Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|Purdue University--Football--History|Purdue Boilermakers (Football team)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/968a58d5-c032-47e0-9fc2-52fe2300237e/thumbnail,"Nov. 16, 1996: NU v Purdue",Public,Audio
,avr:3n203z19n,WNUR-FM 89.3 Sports The Sports Voice Live from Pleasure Island,https://api.dc.library.northwestern.edu/api/v2/works/9c70f170-05fd-41ae-8a0d-ef7c864de72e,Work,ark:/81985/n21n8155b,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/9c70f170-05fd-41ae-8a0d-ef7c864de72e,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:14:27.772103Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"December 29, 1996","Hosted by Asher Golden, Geoff Goldman. Remote reporting by Marc Schreiber. Engineered by Bob Grabko, Josh Yetman.",Side 1|Side 2|6q182k21g/3n203z19n.mods.xml,,,audiocassettes,9c70f170-05fd-41ae-8a0d-ef7c864de72e,,https://api.dc.library.northwestern.edu/api/v2/works/9c70f170-05fd-41ae-8a0d-ef7c864de72e?as=iiif,2023-02-20T16:32:49.821053,AVR Migration,avr_migration.csv,,English,3n203z19n,University Archives,None,,2022-02-03T21:51:12.054258Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,"Copyright 1996, Northwestern University",None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/9c70f170-05fd-41ae-8a0d-ef7c864de72e/thumbnail,"Dec. 29, 1996: The Sports Voice Live From Pleasure Island",Public,Audio
,avr:pg15bf014,,https://api.dc.library.northwestern.edu/api/v2/works/6ccf6c57-0596-4f32-8172-97d1b04c21d1,Work,ark:/81985/n2n29rr1t,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/6ccf6c57-0596-4f32-8172-97d1b04c21d1,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:12:03.204119Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"October 21, 1995","Final score, NU: 35, Wisconsin: 0",Side 1|Side 2|6q182k21g/pg15bf014.mods.xml,,,audiocassettes,6ccf6c57-0596-4f32-8172-97d1b04c21d1,,https://api.dc.library.northwestern.edu/api/v2/works/6ccf6c57-0596-4f32-8172-97d1b04c21d1?as=iiif,2023-02-20T16:32:50.686690,AVR Migration,avr_migration.csv,,English,pg15bf014,University Archives,None,,2022-02-03T21:51:11.976032Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Wisconsin--Football--History|Wisconsin Badgers (Football team)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/6ccf6c57-0596-4f32-8172-97d1b04c21d1/thumbnail,"Oct. 21, 1995: NU v Wisconsin",Public,Audio
,avr:c534fp05b,WNUR-FM 89.3 Sports The Citrus Bowl,https://api.dc.library.northwestern.edu/api/v2/works/6e0d176e-585b-4275-99bf-e3661ee4e8c4,Work,ark:/81985/n2dz05k7t,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/6e0d176e-585b-4275-99bf-e3661ee4e8c4,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:11:33.031982Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"January 1, 1997","Final score, NU: 28, Tennessee: 48. Hosted by Mark Goldman, Marc Schreiber, Brett Kurland, Geoff Goldman, Asher Golden. Engineered by Bob Grabko, Mark Goldman. Peyton Manning on Tennessee team.",Third Quarter|Fourth Quarter|6q182k21g/c534fp05b.mods.xml,,,audiocassettes,6e0d176e-585b-4275-99bf-e3661ee4e8c4,,https://api.dc.library.northwestern.edu/api/v2/works/6e0d176e-585b-4275-99bf-e3661ee4e8c4?as=iiif,2023-02-20T16:31:06.319018,AVR Migration,avr_migration.csv,,English,c534fp05b,University Archives,None,,2022-02-03T21:51:11.983522Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,"Copyright 1997, Northwestern University",None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Tennessee, Knoxville--Football--History|Tennessee Volunteers (Football team)|Citrus Bowl (Football game)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/6e0d176e-585b-4275-99bf-e3661ee4e8c4/thumbnail,"Jan. 1, 1997: Citrus Bowl / NU v Tennessee",Public,Audio
,avr:j67313902,,https://api.dc.library.northwestern.edu/api/v2/works/488ec592-797d-4e60-bfb8-9910eeb091d4,Work,ark:/81985/n2xk8787h,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/488ec592-797d-4e60-bfb8-9910eeb091d4,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:24:10.678441Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"November 16, 1996","Final score, NU: 27, Purdue: 24",Side 1|Side 2|6q182k21g/j67313902.mods.xml,,,audiocassettes,488ec592-797d-4e60-bfb8-9910eeb091d4,,https://api.dc.library.northwestern.edu/api/v2/works/488ec592-797d-4e60-bfb8-9910eeb091d4?as=iiif,2023-02-20T16:32:49.672110,AVR Migration,avr_migration.csv,,English,j67313902,University Archives,None,,2022-02-03T21:51:11.950445Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|Purdue University--Football--History|Purdue Boilermakers (Football team)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/488ec592-797d-4e60-bfb8-9910eeb091d4/thumbnail,"Nov. 16, 1996: NU v Purdue",Public,Audio
,avr:h989r3271,,https://api.dc.library.northwestern.edu/api/v2/works/60d61db7-6959-4a67-974b-b0995592a263,Work,ark:/81985/n2dj5c15x,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/60d61db7-6959-4a67-974b-b0995592a263,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:15:46.798986Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"October 5, 1996","Final score, NU: 17, Michigan: 16",Side 1|Side 2|6q182k21g/h989r3271.mods.xml,,,audiocassettes,60d61db7-6959-4a67-974b-b0995592a263,,https://api.dc.library.northwestern.edu/api/v2/works/60d61db7-6959-4a67-974b-b0995592a263?as=iiif,2023-02-20T16:32:50.684564,AVR Migration,avr_migration.csv,,English,h989r3271,University Archives,None,,2022-02-03T21:51:11.954876Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Michigan--Football--History|Michigan Wolverines (Football team)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/60d61db7-6959-4a67-974b-b0995592a263/thumbnail,"Oct. 5, 1996: NU v Michigan",Public,Audio
,avr:8336h197h,,https://api.dc.library.northwestern.edu/api/v2/works/c2912b65-2c72-4792-b01a-e7e7fb5945a0,Work,ark:/81985/n2125sv1g,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/c2912b65-2c72-4792-b01a-e7e7fb5945a0,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:19:47.095771Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"October 21, 1995","Final score, NU: 35, Wisconsin: 0",Side 1|Side 2|6q182k21g/8336h197h.mods.xml,,,audiocassettes,c2912b65-2c72-4792-b01a-e7e7fb5945a0,,https://api.dc.library.northwestern.edu/api/v2/works/c2912b65-2c72-4792-b01a-e7e7fb5945a0?as=iiif,2023-02-20T16:32:50.724685,AVR Migration,avr_migration.csv,,English,8336h197h,University Archives,None,,2022-02-03T21:51:12.084396Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Wisconsin--Football--History|Wisconsin Badgers (Football team)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/c2912b65-2c72-4792-b01a-e7e7fb5945a0/thumbnail,"Oct. 21, 1995: NU v Wisconsin",Public,Audio
,avr:n870zq96x,WNUR-FM 89.3 Sports The Citrus Bowl,https://api.dc.library.northwestern.edu/api/v2/works/bbe65033-678b-41a9-8801-baa5215c075a,Work,ark:/81985/n26h4g885,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/bbe65033-678b-41a9-8801-baa5215c075a,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:20:50.626428Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"January 1, 1997","Final score, NU: 28, Tennessee: 48. Hosted by Mark Goldman, Marc Schreiber, Brett Kurland, Geoff Goldman, Asher Golden. Engineered by Bob Grabko, Mark Goldman. Peyton Manning on Tennessee team.","Second Quarter|End of Second Quarter, Halftime|6q182k21g/n870zq96x.mods.xml",,,audiocassettes,bbe65033-678b-41a9-8801-baa5215c075a,,https://api.dc.library.northwestern.edu/api/v2/works/bbe65033-678b-41a9-8801-baa5215c075a?as=iiif,2023-02-20T16:33:24.375237,AVR Migration,avr_migration.csv,,English,n870zq96x,University Archives,None,,2022-02-03T21:51:12.069707Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,"Copyright 1997, Northwestern University",None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Tennessee, Knoxville--Football--History|Tennessee Volunteers (Football team)|Citrus Bowl (Football game)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/bbe65033-678b-41a9-8801-baa5215c075a/thumbnail,"Jan. 1, 1997: Citrus Bowl / NU v Tennessee",Public,Audio
,avr:9s161626c,,https://api.dc.library.northwestern.edu/api/v2/works/d6cb8e94-f91c-4483-a6ab-59dec66f1b16,Work,ark:/81985/n22n52243,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/d6cb8e94-f91c-4483-a6ab-59dec66f1b16,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:12:33.022501Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"September 7, 1996","Final score, NU: 27, Wake Forest: 28",Side 1|Side 2|6q182k21g/9s161626c.mods.xml,,,audiocassettes,d6cb8e94-f91c-4483-a6ab-59dec66f1b16,,https://api.dc.library.northwestern.edu/api/v2/works/d6cb8e94-f91c-4483-a6ab-59dec66f1b16?as=iiif,2023-02-20T16:32:50.084701,AVR Migration,avr_migration.csv,,English,9s161626c,University Archives,None,,2022-02-03T21:51:12.111866Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|Wake Forest University--Football--History|Wake Forest Demon Deacons (Football team)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d6cb8e94-f91c-4483-a6ab-59dec66f1b16/thumbnail,"Sept. 7, 1996: NU v Wake Forest",Public,Audio
,avr:ht24wj584,WNUR-FM 89.3 Sports Salute to Northwestern,https://api.dc.library.northwestern.edu/api/v2/works/cef1cc1a-8802-4138-a5ce-b1771e7c1bbb,Work,ark:/81985/n21g0mc59,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/cef1cc1a-8802-4138-a5ce-b1771e7c1bbb,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:11:52.475578Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"December 30, 1996","Hosted by Marc Schreiber, Brett Kurland. Remote reporting by Asher Golden. Engineered by Bob Grabko, Kelly Gier",Program|6q182k21g/ht24wj584.mods.xml,,,audiocassettes,cef1cc1a-8802-4138-a5ce-b1771e7c1bbb,,https://api.dc.library.northwestern.edu/api/v2/works/cef1cc1a-8802-4138-a5ce-b1771e7c1bbb?as=iiif,2023-02-20T16:32:50.211588,AVR Migration,avr_migration.csv,,English,ht24wj584,University Archives,None,,2022-02-03T21:51:12.093393Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,"Copyright 1996, Northwestern University",None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/cef1cc1a-8802-4138-a5ce-b1771e7c1bbb/thumbnail,"Dec. 30, 1996: Salute to Northwestern",Public,Audio
,avr:sf2685268,WNUR-FM 89.3 Sports The Sports Voice Live from Pleasure Island,https://api.dc.library.northwestern.edu/api/v2/works/d419807a-8026-4d59-a91f-036e9fc6fcb0,Work,ark:/81985/n2f768r65,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/d419807a-8026-4d59-a91f-036e9fc6fcb0,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:12:17.243757Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"December 29, 1996","Hosted by Asher Golden, Geoff Goldman. Remote reporting by Marc Schreiber. Engineered by Bob Grabko, Josh Yetman.",Side 1|6q182k21g/sf2685268.mods.xml,,,audiocassettes,d419807a-8026-4d59-a91f-036e9fc6fcb0,,https://api.dc.library.northwestern.edu/api/v2/works/d419807a-8026-4d59-a91f-036e9fc6fcb0?as=iiif,2023-02-20T16:32:50.727269,AVR Migration,avr_migration.csv,,English,sf2685268,University Archives,None,,2022-02-03T21:51:12.105992Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,"Copyright 1996, Northwestern University",None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d419807a-8026-4d59-a91f-036e9fc6fcb0/thumbnail,"Dec. 29, 1996: The Sports Voice Live From Pleasure Island",Public,Audio
,avr:hd76s0189,,https://api.dc.library.northwestern.edu/api/v2/works/d98eb188-aaee-4494-9565-85248abedc12,Work,ark:/81985/n2348k144,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/d98eb188-aaee-4494-9565-85248abedc12,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:17:40.895711Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"November 16, 1996","Final score, NU: 27, Purdue: 24",Side 1|Side 2|6q182k21g/hd76s0189.mods.xml,,,audiocassettes,d98eb188-aaee-4494-9565-85248abedc12,,https://api.dc.library.northwestern.edu/api/v2/works/d98eb188-aaee-4494-9565-85248abedc12?as=iiif,2023-02-20T16:32:50.729574,AVR Migration,avr_migration.csv,,English,hd76s0189,University Archives,None,,2022-02-03T21:51:12.121743Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|Purdue University--Football--History|Purdue Boilermakers (Football team)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d98eb188-aaee-4494-9565-85248abedc12/thumbnail,"Nov. 16, 1996: NU v Purdue",Public,Audio
,avr:7d278t10t,WNUR-FM 89.3 Sports The Citrus Bowl,https://api.dc.library.northwestern.edu/api/v2/works/bff10c60-3d61-4781-a968-66d6a729d7c6,Work,ark:/81985/n2736pm25,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/bff10c60-3d61-4781-a968-66d6a729d7c6,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:16:33.766701Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"January 1, 1997","Final score, NU: 28, Tennessee: 48. Hosted by Mark Goldman, Marc Schreiber, Brett Kurland, Geoff Goldman, Asher Golden. Engineered by Bob Grabko, Mark Goldman. Peyton Manning on Tennessee team.",Pregame Show |First Quarter|6q182k21g/7d278t10t.mods.xml,,,audiocassettes,bff10c60-3d61-4781-a968-66d6a729d7c6,,https://api.dc.library.northwestern.edu/api/v2/works/bff10c60-3d61-4781-a968-66d6a729d7c6?as=iiif,2023-02-20T16:38:09.089383,AVR Migration,avr_migration.csv,,English,7d278t10t,University Archives,None,,2022-02-03T21:51:12.079537Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,"Copyright 1997, Northwestern University",None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Tennessee, Knoxville--Football--History|Tennessee Volunteers (Football team)|Citrus Bowl (Football game)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/bff10c60-3d61-4781-a968-66d6a729d7c6/thumbnail,"Jan. 1, 1997: Citrus Bowl / NU v Tennessee",Public,Audio
,avr:1831ck038,,https://api.dc.library.northwestern.edu/api/v2/works/92d438ae-8d43-46a2-bfd2-5c49d5e7999c,Work,ark:/81985/n2rb6zk7h,eb4631ef-097a-40e2-aa21-bd0cb0648141,,,https://dc.library.northwestern.edu/items/92d438ae-8d43-46a2-bfd2-5c49d5e7999c,,,Asher Golden Collection,"Golden, Asher",2022-01-21T06:08:40.612826Z,"WNUR (Radio station : Evanston, Ill.)",e0ea9942-648d-4117-a5dd-5eef65366ab0,,"September 7, 1996","Final score, NU: 27, Wake Forest: 28",Side 1|Side 2|6q182k21g/1831ck038.mods.xml,,,audiocassettes,92d438ae-8d43-46a2-bfd2-5c49d5e7999c,,https://api.dc.library.northwestern.edu/api/v2/works/92d438ae-8d43-46a2-bfd2-5c49d5e7999c?as=iiif,2023-02-20T16:32:50.078433,AVR Migration,avr_migration.csv,,English,1831ck038,University Archives,None,,2022-02-03T21:51:12.041376Z,,audiocassette,,Level 1,"{'cycle': '2015', 'desc': 'Collection of audio tapes featuring Asher Golden - sports narrator', 'manager': 'Dan Zellner', 'name': 'Asher Golden Football Audio', 'proposer': 'Kevin Leonard', 'task_number': 'P0012'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,None,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|Wake Forest University--Football--History|Wake Forest Demon Deacons (Football team)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/92d438ae-8d43-46a2-bfd2-5c49d5e7999c/thumbnail,"Sept. 7, 1996: NU v Wake Forest",Public,Audio
