abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,TWA018,,https://api.dc.library.northwestern.edu/api/v2/works/73bd02dc-745f-41a2-98ae-4544096cf225,Work,ark:/81985/n28w38m5r,d3c402b6-ab6a-4e1d-bf52-9ffe02cc0f10,,,https://dc.library.northwestern.edu/items/73bd02dc-745f-41a2-98ae-4544096cf225,,,Transportation Library Menu Collection,"Foster, George M. (George McClelland), 1913-2006",2021-03-16T04:04:01.072440Z,Trans World Airlines,,,1970,Contents of the Menu. Meals served: Dinner. Items on menu: Appetizers; Salads; Entrees; Desserts; Beverage list. Representative dishes: Pacific king crab.,Page 1|Page 2|Page 3|Page 4,,,menus,73bd02dc-745f-41a2-98ae-4544096cf225,TWA018|TL017,https://api.dc.library.northwestern.edu/api/v2/works/73bd02dc-745f-41a2-98ae-4544096cf225?as=iiif,2023-02-20T16:03:59.553795,None,None,,English,,Transportation Library,None,,2021-12-15T17:47:57.861034Z,"{'note': 'Notes by donor: ""GMF Jr."" (his initials); ""2/8/70;"" ""1st B-707;"" ""SF--Friendship""', 'type': 'General Note'}|{'note': 'Additional information: N/A', 'type': 'General Note'}|{'note': 'Date of Trip: February 8, 1970', 'type': 'General Note'}",Illustrated,"2 leaves, 27 x 18 cm",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/7f193583-2374-4d6c-ac19-2ba9af6a1001,,No Copyright - United States,,Carrier Name: Trans World Airlines,,Done,,Maryland--Baltimore|United States|California--San Francisco|Boeing 707 (Jet transports),,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/73bd02dc-745f-41a2-98ae-4544096cf225/thumbnail,"Trans World Airlines, Menu: San Francisco to Baltimore",Public,Image
,UA005,,https://api.dc.library.northwestern.edu/api/v2/works/6fc76f21-68a5-4321-9641-228e3a0d2f7f,Work,ark:/81985/n2rv0dk0d,d3c402b6-ab6a-4e1d-bf52-9ffe02cc0f10,,,https://dc.library.northwestern.edu/items/6fc76f21-68a5-4321-9641-228e3a0d2f7f,,,Transportation Library Menu Collection,"Foster, George M. (George McClelland), 1913-2006",2021-03-16T03:47:12.526778Z,United Airlines,,,1969,"Contents of the Menu. Meals served: Lunch; Snacks. Items on menu: Appetizers; Salads; Entrees; Breads; Desserts; Beverage list. Representative dishes: Poached quenelle of scallops, Nantua sauce (""Excellent"").",Cover|Page 1|Page 2|Page 3|Page 4|Back Cover,,,menus,6fc76f21-68a5-4321-9641-228e3a0d2f7f,UA005|TL017,https://api.dc.library.northwestern.edu/api/v2/works/6fc76f21-68a5-4321-9641-228e3a0d2f7f?as=iiif,2023-02-20T16:03:48.323713,None,None,,English,,Transportation Library,None,,2021-12-15T17:47:57.590836Z,"{'note': 'Additional information: N/A', 'type': 'General Note'}|{'note': 'Date of Trip: March 14, 1969', 'type': 'General Note'}|{'note': 'Notes by donor: ""3/14/69;"" ""Excellent"" (referring to the appetizer)', 'type': 'General Note'}",Illustrated,"4 leaves, 27 x 21 cm",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/39b72406-8366-4958-ab71-036951678bab,,No Copyright - United States,,Carrier Name: United Airlines,,Done,,Michigan--Detroit|United States|California--San Francisco,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/6fc76f21-68a5-4321-9641-228e3a0d2f7f/thumbnail,"United Airlines, Menu: San Francisco to Detroit",Public,Image
,UA015,,https://api.dc.library.northwestern.edu/api/v2/works/738f6624-bfa2-4a66-97ff-e7130a3b4368,Work,ark:/81985/n2gb1z21h,d3c402b6-ab6a-4e1d-bf52-9ffe02cc0f10,,,https://dc.library.northwestern.edu/items/738f6624-bfa2-4a66-97ff-e7130a3b4368,,,Transportation Library Menu Collection,"Foster, George M. (George McClelland), 1913-2006",2021-03-16T04:02:58.305202Z,United Airlines,,,1967,Contents of the Menu. Meals served: Dinner; Snacks. Items on menu: Salads; Entrees; Breads; Desserts; Beverage list. Representative dishes: Broccoli Polonaise.,Page 1|Page 2|Page 3|Page 4,,,menus,738f6624-bfa2-4a66-97ff-e7130a3b4368,UA015|TL017,https://api.dc.library.northwestern.edu/api/v2/works/738f6624-bfa2-4a66-97ff-e7130a3b4368?as=iiif,2023-02-20T16:04:40.588454,None,None,,English,,Transportation Library,None,,2021-12-15T17:47:58.615892Z,"{'note': 'Additional information: N/A', 'type': 'General Note'}|{'note': 'Notes by donor: ""4/4/67;"" ""1st class B-727;"" ""Denver - S.F.""', 'type': 'General Note'}|{'note': 'Date of Trip: April 4, 1967', 'type': 'General Note'}",Illustrated,"2 leaves, 15 x 15 cm",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/825e970e-ec99-455c-8000-146f4e10ec61,,No Copyright - United States,,Carrier Name: United Airlines,,Done,,Colorado--Denver|United States|California--San Francisco|Boeing 727 (Jet transports),,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/738f6624-bfa2-4a66-97ff-e7130a3b4368/thumbnail,"United Airlines, Menu: Denver to San Francisco",Public,Image
,PAWA065,,https://api.dc.library.northwestern.edu/api/v2/works/7b91a75b-ffe2-4285-b9b4-be86d463059a,Work,ark:/81985/n26970g9m,d3c402b6-ab6a-4e1d-bf52-9ffe02cc0f10,,,https://dc.library.northwestern.edu/items/7b91a75b-ffe2-4285-b9b4-be86d463059a,,,Transportation Library Menu Collection,"Foster, George M. (George McClelland), 1913-2006",2021-03-16T04:38:38.856010Z,"Pan American World Airways, Inc.",,,1988,Contents of the Menu. Meals served: Breakfast; Dinner. Items on menu: Appetizers; Cheese; Salads; Entrees; Pasta; Breads; Desserts; Ethnic (Indonesian); Beverage list; Wine list; Coffee list. Representative dishes: Ristafel; Pheasant Virginia; California cioppino.,Cover|Page 1|Page 2|Page 3|Page 4|Page 5|Page 6|Back cover,,,menus,7b91a75b-ffe2-4285-b9b4-be86d463059a,PAWA065|TL017,https://api.dc.library.northwestern.edu/api/v2/works/7b91a75b-ffe2-4285-b9b4-be86d463059a?as=iiif,2023-02-20T16:04:52.827929,None,None,,German|English,,Transportation Library,None,,2021-12-15T17:47:58.866868Z,"{'note': 'Additional information: N/A', 'type': 'General Note'}|{'note': 'Date of Trip: July 23, 1988', 'type': 'General Note'}|{'note': 'Notes by donor: ""GMF + MLF"" (passengers initials); ""LA--Frankfurt;"" ""B-747;"" ""7/23-24/88""', 'type': 'General Note'}",,"6 leaves, 23 x 31 cm",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/8ec5bae1-9c5c-47ad-ab44-9a452a81882b,,Copyright Not Evaluated,,Carrier Name: Pan American World Airways (United States),,Done,,California--Los Angeles|United States|Germany--Frankfurt am Main|Boeing 747 (Jet transports),,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7b91a75b-ffe2-4285-b9b4-be86d463059a/thumbnail,"Pan American World Airways (United States), Menu: Los Angeles to Frankfurt, Germany",Public,Image
,TWA006,,https://api.dc.library.northwestern.edu/api/v2/works/2488f391-578a-40b0-887f-1842544165a9,Work,ark:/81985/n2q52fx8q,d3c402b6-ab6a-4e1d-bf52-9ffe02cc0f10,,,https://dc.library.northwestern.edu/items/2488f391-578a-40b0-887f-1842544165a9,,,Transportation Library Menu Collection,"Foster, George M. (George McClelland), 1913-2006",2021-03-15T17:48:03.839136Z,Trans World Airlines,,,1970,Contents of the Menu. Meals served: Breakfast; Lunch; Brunch. Items on menu: Entrees; Breads; Desserts; Beverage list. Representative dishes: Charbroiled rib lamb chop and Italian sausage link; Asparagus vinaigrette and garni.,Page 1|Page 2|Page 3|Page 4,,,menus,2488f391-578a-40b0-887f-1842544165a9,TL017|TWA006,https://api.dc.library.northwestern.edu/api/v2/works/2488f391-578a-40b0-887f-1842544165a9?as=iiif,2023-02-20T16:07:32.494848,None,None,,English,,Transportation Library,None,,2021-12-15T17:47:59.781660Z,"{'note': 'Additional information: Meal code: BR-19, 60', 'type': 'General Note'}|{'note': 'Notes by donor: ""Eugene Jurs"" (passenger); ""Oakland--JFK;"" ""10/15/70""', 'type': 'General Note'}|{'note': 'Date of Trip: October 15, 1970', 'type': 'General Note'}",Illustrated,"4 pages, 28 x 21 cm",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/4b117d6c-d514-4815-ac2a-99028367ec1a,,No Copyright - United States,,Carrier Name: Trans World Airlines,,Done,,California--Oakland|New York (State)--New York|United States,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/2488f391-578a-40b0-887f-1842544165a9/thumbnail,"Trans World Airlines, Menu: Oakland to New York, N.Y.",Public,Image
,PAWA040,,https://api.dc.library.northwestern.edu/api/v2/works/2df35270-a312-49c9-a31e-d8f5d269b3aa,Work,ark:/81985/n2dz03k9z,d3c402b6-ab6a-4e1d-bf52-9ffe02cc0f10,,,https://dc.library.northwestern.edu/items/2df35270-a312-49c9-a31e-d8f5d269b3aa,,,Transportation Library Menu Collection,"Foster, George M. (George McClelland), 1913-2006",2021-03-15T18:26:30.693961Z,"Pan American World Airways, Inc.",,,1982,Contents of the Menu. Meals served: Breakfast; Dinner. Items on menu: Appetizers; Cheese; Salads; Entrees; Breads; Dessert; Beverage list; Wine list. Representative dishes: Salmon Champagne; Eggs Mornay.,Page 1|Page 2|Page 3,,,menus,2df35270-a312-49c9-a31e-d8f5d269b3aa,PAWA040|TL017,https://api.dc.library.northwestern.edu/api/v2/works/2df35270-a312-49c9-a31e-d8f5d269b3aa?as=iiif,2023-02-20T16:07:48.094572,None,None,,English|Chinese,,Transportation Library,None,,2021-12-15T17:47:59.871441Z,"{'note': 'Date of Trip: June 2, 1982', 'type': 'General Note'}|{'note': 'Notes by donor: ""GMF"" (his initials); ""S.F.--Hong Kong;"" ""6/2/82;"" ""B-747SP - 14 1/2 hrs airborne""', 'type': 'General Note'}|{'note': 'Additional information: Menu folded so that one leaf is wider than the other; menu has one taped card', 'type': 'General Note'}",Illustrated,"1 folded sheet, 23 x 28 cm",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/1a6f557d-6f6d-49f3-86f0-60e81b32d09d,,Copyright Not Evaluated,,Carrier Name: Pan American World Airways (United States),,Done,,China--Hong Kong|United States|California--San Francisco|Boeing 747 (Jet transports),,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/2df35270-a312-49c9-a31e-d8f5d269b3aa/thumbnail,"Pan American World Airways (United States), Menu: San Francisco to Hong Kong",Public,Image
,BA009,,https://api.dc.library.northwestern.edu/api/v2/works/7a2c22f8-d27c-405d-bbd9-4a8eec3deb77,Work,ark:/81985/n2xk8583r,d3c402b6-ab6a-4e1d-bf52-9ffe02cc0f10,,,https://dc.library.northwestern.edu/items/7a2c22f8-d27c-405d-bbd9-4a8eec3deb77,,,Transportation Library Menu Collection,"Foster, George M. (George McClelland), 1913-2006",2021-03-16T04:33:04.824099Z,British Airways,,,1989,Contents of the Menu. Meals served: Breakfast; Dinner. Items on menu: Appetizers; Cheese; Soups; Salads; Entrees; Breads; Desserts; Beverage list. Representative dishes: Clear duck consommé soup; Tender cutlets of lamb.,Cover|Page 1|Page 2|Page 3|Page 4|Page 5|Page 6|Page 7|Back cover,,,menus,7a2c22f8-d27c-405d-bbd9-4a8eec3deb77,BA009|TL017,https://api.dc.library.northwestern.edu/api/v2/works/7a2c22f8-d27c-405d-bbd9-4a8eec3deb77?as=iiif,2023-02-20T16:09:07.001496,None,None,,English,,Transportation Library,None,,2021-12-15T17:48:02.211586Z,"{'note': 'Additional information: N/A', 'type': 'General Note'}|{'note': 'Date of Trip: April 27, 1989', 'type': 'General Note'}|{'note': 'Notes by donor: ""GMF + MLF"" (passengers initials); ""B-747;"" ""4-27-89""', 'type': 'General Note'}",Illustrated,"8 leaves, 30 x 15 cm",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/dc9fbd7a-06fc-4035-b5c5-bc18d59f9902,,Copyright Not Evaluated,,Carrier Name: British Airways,,Done,,England--London|United States|California--San Francisco|Boeing 747 (Jet transports),,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7a2c22f8-d27c-405d-bbd9-4a8eec3deb77/thumbnail,"British Airways, Menu: San Francisco to London, England",Public,Image
,GIA001,,https://api.dc.library.northwestern.edu/api/v2/works/90adc83f-c984-4e2b-b6dd-7e95254d13ef,Work,ark:/81985/n2bg2hv4d,d3c402b6-ab6a-4e1d-bf52-9ffe02cc0f10,,,https://dc.library.northwestern.edu/items/90adc83f-c984-4e2b-b6dd-7e95254d13ef,,,Transportation Library Menu Collection,"Foster, George M. (George McClelland), 1913-2006",2021-03-16T06:13:52.301991Z,Garuda Indonesian Airways,,,1986,Contents of the Menu. Meals served: Breakfast; Lunch; Dinner. Items on menu: Cheese; Salads; Entrees; Breads; Desserts; Ethnic (Indonesian); Beverage list; Coffee list. Representative dishes: Gado-Gado Jakarta; Chicken liver in Madeira sauce.,Page 1|Page 2|Page 3|Page 4|Page 5|Page 6|Page 7|Page 8,,,menus,90adc83f-c984-4e2b-b6dd-7e95254d13ef,TL017|GIA001,https://api.dc.library.northwestern.edu/api/v2/works/90adc83f-c984-4e2b-b6dd-7e95254d13ef?as=iiif,2023-02-20T16:09:13.961275,None,None,,Indonesian|English,,Transportation Library,None,,2021-12-15T17:48:02.563899Z,"{'note': 'Additional information: Menu has string binding; there are different meals for different legs of the trip', 'type': 'General Note'}|{'note': 'Date of Trip: November 1986', 'type': 'General Note'}|{'note': 'Notes by donor: ""Janet + Thorn."" (passengers); ""11/86""', 'type': 'General Note'}",Illustrated,"4 leaves, 29 x 21 cm",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/ef568f45-2c89-4701-a434-c578fba2353a,,Copyright Not Evaluated,,Carrier Name: Garuda Indonesian Airways,,Done,,Indonesia|Indonesia--Jakarta|China--Hong Kong|Indonesia--Denpasar,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/90adc83f-c984-4e2b-b6dd-7e95254d13ef/thumbnail,"Garuda Indonesian Airways, Menu: Denpasar, Bali to Jakarta, Indonesia-Hong Kong",Public,Image
,BA016,,https://api.dc.library.northwestern.edu/api/v2/works/7ad85f44-7527-4053-9bc8-57c0c9c009a6,Work,ark:/81985/n21c1v07k,d3c402b6-ab6a-4e1d-bf52-9ffe02cc0f10,,,https://dc.library.northwestern.edu/items/7ad85f44-7527-4053-9bc8-57c0c9c009a6,,,Transportation Library Menu Collection,"Foster, George M. (George McClelland), 1913-2006",2021-03-16T04:35:38.629801Z,British Airways,,,1979,Contents of the Menu. Meals served: Breakfast; Dinner. Items on menu: Appetizers; Entrees; Desserts; Beverage list. Representative dishes: Cutlets of lamb.,Cover|Page 1|Page 2|Page 3|Page 4|Page 5|Back Cover,,,menus,7ad85f44-7527-4053-9bc8-57c0c9c009a6,TL017|BA016,https://api.dc.library.northwestern.edu/api/v2/works/7ad85f44-7527-4053-9bc8-57c0c9c009a6?as=iiif,2023-02-20T16:09:13.974166,None,None,,English,,Transportation Library,None,,2021-12-15T17:48:02.583843Z,"{'note': 'Additional information: N/A', 'type': 'General Note'}|{'note': 'Notes by donor: ""6/24/79;"" ""Geo"" (passenger); ""Boston--London;"" ""Excellent food""', 'type': 'General Note'}|{'note': 'Date of Trip: June 24, 1979', 'type': 'General Note'}",Illustrated,"4 leaves, 16 x 15 cm",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/9f2a684c-0437-4f0a-94f9-5ae537476d43,,Copyright Not Evaluated,,Carrier Name: British Airways,,Done,,England--London|Massachusetts--Boston|United States,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7ad85f44-7527-4053-9bc8-57c0c9c009a6/thumbnail,"British Airways, Menu: Boston to London, England",Public,Image
,TWA030,,https://api.dc.library.northwestern.edu/api/v2/works/7d1310b1-3d8b-4f96-8d51-af12e7f2a3b5,Work,ark:/81985/n2qz2322d,d3c402b6-ab6a-4e1d-bf52-9ffe02cc0f10,,,https://dc.library.northwestern.edu/items/7d1310b1-3d8b-4f96-8d51-af12e7f2a3b5,,,Transportation Library Menu Collection,"Foster, George M. (George McClelland), 1913-2006",2021-03-16T04:45:08.051213Z,Trans World Airlines,,,1967,Contents of the Menu. Meals served: Dinner. Items on menu: Appetizers; Salads; Entrees; Breads; Desserts; Beverage list. Representative dishes: Coquille St. Jacques.,Page 1|Page 2|Page 3|Page 4|Page 5,,,menus,7d1310b1-3d8b-4f96-8d51-af12e7f2a3b5,TL017|TWA030,https://api.dc.library.northwestern.edu/api/v2/works/7d1310b1-3d8b-4f96-8d51-af12e7f2a3b5?as=iiif,2023-02-20T16:09:20.441752,None,None,,English,,Transportation Library,None,,2021-12-15T17:48:02.712755Z,"{'note': 'Notes by donor: ""Boston--San Francisco;"" ""5/21/67;"" ""GMF"" (his initials)', 'type': 'General Note'}|{'note': 'Additional information: Menu is folded in three sections', 'type': 'General Note'}|{'note': 'Date of Trip: May 21, 1967', 'type': 'General Note'}",Illustrated,"1 folded sheet, 28 x 18 cm",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/6c94d03c-8bda-4b38-9774-87c6373be8d2,,No Copyright - United States,,Carrier Name: Trans World Airlines,,Done,,Massachusetts--Boston|United States|California--San Francisco,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7d1310b1-3d8b-4f96-8d51-af12e7f2a3b5/thumbnail,"Trans World Airlines, Menu: Boston to San Francisco",Public,Image
,PAWA058,,https://api.dc.library.northwestern.edu/api/v2/works/82378491-fb3c-4b19-bcb0-0aa2c0196251,Work,ark:/81985/n23j39k47,d3c402b6-ab6a-4e1d-bf52-9ffe02cc0f10,,,https://dc.library.northwestern.edu/items/82378491-fb3c-4b19-bcb0-0aa2c0196251,,,Transportation Library Menu Collection,"Foster, George M. (George McClelland), 1913-2006",2021-03-16T05:08:42.270981Z,"Pan American World Airways, Inc.",,,1978,Contents of the Menu. Meals served: Breakfast; Lunch. Items on menu: Appetizers; Cheese; Salads; Entrees; Breads; Desserts; Oriental; Buffet; Beverage list. Representative dishes: Sevruga caviar from the Caspian Sea; Eggs benedict.,Page 1|Page 2|Page 3|Page 4|Page 5,,,menus,82378491-fb3c-4b19-bcb0-0aa2c0196251,TL017|PAWA058,https://api.dc.library.northwestern.edu/api/v2/works/82378491-fb3c-4b19-bcb0-0aa2c0196251?as=iiif,2023-02-20T16:09:47.369790,None,None,,English,,Transportation Library,None,,2021-12-15T17:48:03.461088Z,"{'note': 'Date of Trip: December 31, 1978', 'type': 'General Note'}|{'note': 'Notes by donor: ""12/31/78 ""George + Mickie"" (passengers); ""HK--SF;"" ""Excellent food + service""', 'type': 'General Note'}|{'note': 'Additional information: Menu is folded in four sections', 'type': 'General Note'}",Illustrated,"1 folded sheet, 33 x 25 cm",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/801de0a9-a47b-428f-aaae-b1adcad204a8,,Copyright Not Evaluated,,Carrier Name: Pan American World Airways (United States),,Done,,China--Hong Kong|California--San Francisco,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/82378491-fb3c-4b19-bcb0-0aa2c0196251/thumbnail,"Pan American World Airways (United States), Menu: Hong Kong to San Francisco",Public,Image
,DL010,,https://api.dc.library.northwestern.edu/api/v2/works/879ef216-3b87-4da8-9044-4f47d5ef2367,Work,ark:/81985/n23x84460,d3c402b6-ab6a-4e1d-bf52-9ffe02cc0f10,,,https://dc.library.northwestern.edu/items/879ef216-3b87-4da8-9044-4f47d5ef2367,,,Transportation Library Menu Collection,"Foster, George M. (George McClelland), 1913-2006",2021-03-16T05:33:14.743564Z,Deutsche Lufthansa (1953- ),,,1968,Contents of the Menu. Meals served: Breakfast; Dinner. Items on menu: Appetizers; Cheese; Soups; Salads; Entrees; Breads; Desserts; Beverage list. Representative dishes: Pickled ox-tongue; Fresh salmon with shrimps.,Page 1|Page 2|Page 3|Page 4|Page 5|Page 6,,,menus,879ef216-3b87-4da8-9044-4f47d5ef2367,TL017|DL010,https://api.dc.library.northwestern.edu/api/v2/works/879ef216-3b87-4da8-9044-4f47d5ef2367?as=iiif,2023-02-20T16:10:08.627774,None,None,,German|French|English,,Transportation Library,None,,2021-12-15T17:48:03.996484Z,"{'note': 'Additional information: N/A', 'type': 'General Note'}|{'note': 'Notes by donor: ""Jeremy"" (passenger); ""SF--London;"" ""7/9-10/68""', 'type': 'General Note'}|{'note': 'Date of Trip: July 9, 1968', 'type': 'General Note'}",Illustrated,"4 leaves, 30 x 21 cm",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/8298be7b-1926-4dbf-9bce-5cca89212406,,Copyright Not Evaluated,,Carrier Name: Deutsche Lufthansa,,Done,,England--London|United States|California--San Francisco,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/879ef216-3b87-4da8-9044-4f47d5ef2367/thumbnail,"Deutsche Lufthansa, Menu: San Francisco to London, England",Public,Image
,TWA043,,https://api.dc.library.northwestern.edu/api/v2/works/888fc3a1-97be-430d-9933-0270bcff960d,Work,ark:/81985/n22805h6f,d3c402b6-ab6a-4e1d-bf52-9ffe02cc0f10,,,https://dc.library.northwestern.edu/items/888fc3a1-97be-430d-9933-0270bcff960d,,,Transportation Library Menu Collection,"Foster, George M. (George McClelland), 1913-2006",2021-03-16T05:37:09.025256Z,Trans World Airlines,,,1976,"Contents of the Menu. Meals served: Dinner. Items on menu: Appetizers; Cheese; Entrees; Desserts; Beverage list; Wine list. Representative dishes: Seafood Newburg (""good to excellent""); Beef stroganoff (""good"").",Page 1|Page 2|Page 3|Page 4|Page 5|Page 6|Page 7,,,menus,888fc3a1-97be-430d-9933-0270bcff960d,TL017|TWA043,https://api.dc.library.northwestern.edu/api/v2/works/888fc3a1-97be-430d-9933-0270bcff960d?as=iiif,2023-02-20T16:10:11.413256,None,None,,English,,Transportation Library,None,,2021-12-15T17:48:04.106101Z,"{'note': 'Notes by donor: ""Florence + Gene"" (passengers); ""London - SF via LA;"" ""4/2/76;"" ""Good"" (referring to the wine); ""Good"" (referring to dessert); ""Good"" (referring to the beef stroganoff); ""Good to excellent"" (referring to the seafood newburg)', 'type': 'General Note'}|{'note': 'Additional information: N/A', 'type': 'General Note'}|{'note': 'Date of Trip: April 2, 1976', 'type': 'General Note'}",Illustrated,"4 leaves, 18 x 13 cm",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/c768b725-8460-4d17-aed2-a5451e9a8af6,,No Copyright - United States,,Carrier Name: Trans World Airlines,,Done,,England--London|Great Britain|California--San Francisco,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/888fc3a1-97be-430d-9933-0270bcff960d/thumbnail,"Trans World Airlines, Menu: London, England to San Francisco",Public,Image
