abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:1n79h497t,,https://api.dc.library.northwestern.edu/api/v2/works/504cb3c4-5d97-4c4b-8602-fa30b8cf165f,Work,ark:/81985/n2xk8783k,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/504cb3c4-5d97-4c4b-8602-fa30b8cf165f,,,Herskovits Library of African Studies Audiovisual Collection,,2022-01-21T06:17:34.806374Z,"Tchicaya U Tam'si, 1931-1988",39ca4ce3-4898-47d2-b701-53d6f5692d9c|86cd54f8-37b6-4757-9b3c-e37d9339013f,,1900s,,AFR141-A_1.wav|7w62f825p/1n79h497t.mods.xml,,,,504cb3c4-5d97-4c4b-8602-fa30b8cf165f,AFR 141-A,https://api.dc.library.northwestern.edu/api/v2/works/504cb3c4-5d97-4c4b-8602-fa30b8cf165f?as=iiif,2023-02-20T16:23:14.879774,AVR Migration,avr_migration.csv,,French,1n79h497t,Herskovits Library of African Studies,None,,2022-03-04T21:37:23.624929Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Congolese poetry|Congolese literature|Tchicaya U Tam'si, 1931-1988|Africa|Congo (Democratic Republic)",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/504cb3c4-5d97-4c4b-8602-fa30b8cf165f/thumbnail,Tchicaya U Tam'si,Institution,Audio
,avr:9k41zf201,,https://api.dc.library.northwestern.edu/api/v2/works/9913cff3-92ec-4760-8267-e85d7e243260,Work,ark:/81985/n2nv9cv1j,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/9913cff3-92ec-4760-8267-e85d7e243260,,,Herskovits Library of African Studies Audiovisual Collection,,2022-01-21T06:06:21.796349Z,"Weisberg, Barry",3defa5ac-704e-4642-bdea-2a8d9775b170|39ca4ce3-4898-47d2-b701-53d6f5692d9c,,"August 16, 1971","Barry Weisberg interviews a representative of the People's Movement for the Liberation of Angola (MPLA). He is wanted by the Portugese authorities and cannot reveal his name. He discusses the history of Angola as a Portugese colony and his efforts with the MPLA to overthrow the colonial regime of Portugal. Both the Portugese and the U.S. roles are described, as well as the goals and background of the MPLA. Recorded for Pacifica in Paris.",Part 1|Part 2|7w62f825p/9k41zf201.mods.xml,,,,9913cff3-92ec-4760-8267-e85d7e243260,AFR 122,https://api.dc.library.northwestern.edu/api/v2/works/9913cff3-92ec-4760-8267-e85d7e243260?as=iiif,2023-02-20T16:29:10.762946,AVR Migration,avr_migration.csv,,English,9k41zf201,Herskovits Library of African Studies,None,,2022-03-04T21:44:58.620758Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Angola--Politics and government|Weisberg, Barry|Africa|Angola",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/9913cff3-92ec-4760-8267-e85d7e243260/thumbnail,"The Struggle for the Liberation of Angola, Part 1",Institution,Audio
,avr:qj72p774h,,https://api.dc.library.northwestern.edu/api/v2/works/249800d1-56ee-4a25-9f15-f984c9f95fe1,Work,ark:/81985/n2p846d54,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/249800d1-56ee-4a25-9f15-f984c9f95fe1,,,Herskovits Library of African Studies Audiovisual Collection,,2022-01-21T06:10:48.747829Z,"Fela, 1938-1997",39ca4ce3-4898-47d2-b701-53d6f5692d9c|8977c11d-a97f-4470-a9f9-ba354a7ba574,,1973,,AFR153-A_2.wav|7w62f825p/qj72p774h.mods.xml,,,,249800d1-56ee-4a25-9f15-f984c9f95fe1,AFR 153-A,https://api.dc.library.northwestern.edu/api/v2/works/249800d1-56ee-4a25-9f15-f984c9f95fe1?as=iiif,2023-02-20T16:30:31.366725,AVR Migration,avr_migration.csv,,,qj72p774h,Herskovits Library of African Studies,None,,2022-03-03T22:32:51.699485Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,Popular music--Africa|Afrobeat|Africa,,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/249800d1-56ee-4a25-9f15-f984c9f95fe1/thumbnail,Fela Ransome-Kuti: Gentlemen,Institution,Audio
,avr:p8418n95n,,https://api.dc.library.northwestern.edu/api/v2/works/0f591fc2-1c86-44f6-a6da-133666fd52c0,Work,ark:/81985/n2r788703,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/0f591fc2-1c86-44f6-a6da-133666fd52c0,,,Herskovits Library of African Studies Audiovisual Collection,,2022-01-21T06:11:36.527246Z,"CBS Radio Network|Amin, Mustafa, 1914-|Herman, George, 1920-2005|Lawrence, William H.",39ca4ce3-4898-47d2-b701-53d6f5692d9c|6b014543-7c88-4dd4-9e3f-5130cd4dde57,,November 1956,,AFR129-C_1.wav|7w62f825p/p8418n95n.mods.xml,,,,0f591fc2-1c86-44f6-a6da-133666fd52c0,AFR 129-C,https://api.dc.library.northwestern.edu/api/v2/works/0f591fc2-1c86-44f6-a6da-133666fd52c0?as=iiif,2023-02-20T16:31:06.316128,AVR Migration,avr_migration.csv,,English,p8418n95n,Herskovits Library of African Studies,None,,2022-03-03T22:04:27.373254Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Egypt--Politics and Government|Amin, Mustafa, 1914-|Face the nation (Radio program)|Africa|Egypt|Face the nation (Radio program)",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0f591fc2-1c86-44f6-a6da-133666fd52c0/thumbnail,Face the Nation Interviews: Mustafa Amin,Institution,Audio
,avr:n583xv818,,https://api.dc.library.northwestern.edu/api/v2/works/a690335b-a2de-4793-b676-3614442cf826,Work,ark:/81985/n2rx95z7x,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/a690335b-a2de-4793-b676-3614442cf826,,,Herskovits Library of African Studies Audiovisual Collection,,2022-01-21T06:25:03.907176Z,"Brown, William A.",86cd54f8-37b6-4757-9b3c-e37d9339013f|39ca4ce3-4898-47d2-b701-53d6f5692d9c,,1900s,,Part 1|Part 2|7w62f825p/n583xv818.mods.xml,,,,a690335b-a2de-4793-b676-3614442cf826,AFR 128-AB,https://api.dc.library.northwestern.edu/api/v2/works/a690335b-a2de-4793-b676-3614442cf826?as=iiif,2023-02-20T16:31:30.651933,AVR Migration,avr_migration.csv,,English,n583xv818,Herskovits Library of African Studies,None,,2022-03-04T21:37:23.743309Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,Africa--History|Africa,,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a690335b-a2de-4793-b676-3614442cf826/thumbnail,William A. Brown discusses moving toward a liberated African history (part 1),Institution,Audio
,avr:p5547s070,,https://api.dc.library.northwestern.edu/api/v2/works/23db23e7-b638-42f4-b01b-93e0a9a8f69e,Work,ark:/81985/n2x63dq29,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/23db23e7-b638-42f4-b01b-93e0a9a8f69e,,,Herskovits Library of African Studies Audiovisual Collection,,2022-01-21T06:15:10.712221Z,"Curtin, Phillip de Armind",39ca4ce3-4898-47d2-b701-53d6f5692d9c|86cd54f8-37b6-4757-9b3c-e37d9339013f,,1900s,,AFR30-P1_1.wav|7w62f825p/p5547s070.mods.xml,,,,23db23e7-b638-42f4-b01b-93e0a9a8f69e,AFR 30-P1,https://api.dc.library.northwestern.edu/api/v2/works/23db23e7-b638-42f4-b01b-93e0a9a8f69e?as=iiif,2023-02-20T16:31:32.008077,AVR Migration,avr_migration.csv,,English|French,p5547s070,Herskovits Library of African Studies,None,,2022-03-04T21:37:23.566897Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,Senegal--History|Africa|Boundou (Senegal),,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/23db23e7-b638-42f4-b01b-93e0a9a8f69e/thumbnail,"Phillip de Armind Curtin, translations of his African sound recordings of historical traditions of Bondu",Institution,Audio
,avr:tx31qj291,,https://api.dc.library.northwestern.edu/api/v2/works/b01d2fff-f6f9-4783-9aa8-62a57a14d0b5,Work,ark:/81985/n2sb40g8m,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/b01d2fff-f6f9-4783-9aa8-62a57a14d0b5,,,Herskovits Library of African Studies Audiovisual Collection,,2022-01-21T06:08:38.699388Z,"Radio Free People|Wauthier, Claude, 1923-",86cd54f8-37b6-4757-9b3c-e37d9339013f|39ca4ce3-4898-47d2-b701-53d6f5692d9c,,1900s,"""The Rest of the News""",AFR126-B_2.wav|7w62f825p/tx31qj291.mods.xml,,,,b01d2fff-f6f9-4783-9aa8-62a57a14d0b5,AFR 126-B,https://api.dc.library.northwestern.edu/api/v2/works/b01d2fff-f6f9-4783-9aa8-62a57a14d0b5?as=iiif,2023-02-20T16:31:34.515537,AVR Migration,avr_migration.csv,,English,tx31qj291,Herskovits Library of African Studies,None,,2022-03-04T21:37:23.753499Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,African literature|Africa,,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b01d2fff-f6f9-4783-9aa8-62a57a14d0b5/thumbnail,Claude Wauthier on Modern African Literature,Institution,Audio
,avr:vd66w045z,,https://api.dc.library.northwestern.edu/api/v2/works/30d04568-b058-4120-b6ce-285b621d0d10,Work,ark:/81985/n2nk38p6f,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/30d04568-b058-4120-b6ce-285b621d0d10,,,Herskovits Library of African Studies Audiovisual Collection,,2022-01-21T06:12:27.458789Z,"Bruner, Charlotte H.|Bruner, David Kincaid, 1912-|Ogot, Grace, 1930-",39ca4ce3-4898-47d2-b701-53d6f5692d9c|3defa5ac-704e-4642-bdea-2a8d9775b170,,1970s,,AFR150-E_1.wav|7w62f825p/vd66w045z.mods.xml,,,,30d04568-b058-4120-b6ce-285b621d0d10,AFR 150-F,https://api.dc.library.northwestern.edu/api/v2/works/30d04568-b058-4120-b6ce-285b621d0d10?as=iiif,2023-02-20T16:31:37.747874,AVR Migration,avr_migration.csv,,English,vd66w045z,Herskovits Library of African Studies,None,,2022-03-04T21:44:57.886531Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Kenyan literature|Ogot, Grace, 1930-|Africa|Kenya",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/30d04568-b058-4120-b6ce-285b621d0d10/thumbnail,Grace Ogot and The Promised Land,Institution,Audio
,avr:t722h948d,,https://api.dc.library.northwestern.edu/api/v2/works/d9a52f6e-0af6-4f74-9add-c43874fd02d7,Work,ark:/81985/n2xs5n267,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/d9a52f6e-0af6-4f74-9add-c43874fd02d7,,,Herskovits Library of African Studies Audiovisual Collection,,2022-01-21T06:24:51.730309Z,"Curtin, Phillip de Armind",86cd54f8-37b6-4757-9b3c-e37d9339013f|39ca4ce3-4898-47d2-b701-53d6f5692d9c,,1900s,,AFR35-P1_1.wav|7w62f825p/t722h948d.mods.xml,,,,d9a52f6e-0af6-4f74-9add-c43874fd02d7,AFR 30-P1,https://api.dc.library.northwestern.edu/api/v2/works/d9a52f6e-0af6-4f74-9add-c43874fd02d7?as=iiif,2023-02-20T16:31:38.017087,AVR Migration,avr_migration.csv,,English|French,t722h948d,Herskovits Library of African Studies,None,,2022-03-04T21:37:23.788975Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,Senegal--History|Africa|Boundou (Senegal),,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d9a52f6e-0af6-4f74-9add-c43874fd02d7/thumbnail,"Phillip de Armind Curtin, translations of his African sound recordings of historical traditions of Bondu",Institution,Audio
,avr:x633f283g,Beyers Naudé,https://api.dc.library.northwestern.edu/api/v2/works/555870ff-d145-4234-8e92-10a1a86bb6a8,Work,ark:/81985/n2vt1k74w,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/555870ff-d145-4234-8e92-10a1a86bb6a8,,9981655970002441,Herskovits Library of African Studies Audiovisual Collection,"Naudé, Beyers|Bilheimer, Robert|Harris, Kevin, 1950-|Mix, Ronald|Ostertag, Heidi|Mathabane, Mark|Worldwide Documentaries, Inc.|Phelps-Stokes Fund|Film House Group (Toronto, Ont.)",2022-01-21T06:10:53.021471Z,"Naudé, Beyers",6f13b2d9-2dcf-4e3e-839e-fd365962c896|39ca4ce3-4898-47d2-b701-53d6f5692d9c,,1987,Traces the change of Afrikaner clergyman Beyers Naudé from an ardent supporter of apartheid to an anti-apartheid activist. Touches on the Sharpeville massacre and the killings of Steve Biko and Fabian Ribeiro.,1n79h615r-cry_of_reason_ac.mp4|1n79h615r-cry_of_reason_ac.mp4|7w62f825p/x633f283g.mods.xml|1n79h615r-cry_of_reason_ac.mp4 original DPX checksums|1n79h615r-cry_of_reason_ac.mp4 technical metadata file|1n79h615r-cry_of_reason_ac.mp4 technical metadata file|1n79h615r-cry_of_reason_ac.mp4 technical metadata file|1n79h615r-cry_of_reason_ac.mp4,,,audio reel tape,555870ff-d145-4234-8e92-10a1a86bb6a8,,https://api.dc.library.northwestern.edu/api/v2/works/555870ff-d145-4234-8e92-10a1a86bb6a8?as=iiif,2023-02-20T16:31:40.242179,AVR Migration,avr_migration.csv,,English,x633f283g,Herskovits Library of African Studies,None,,2022-02-18T13:41:18.545026Z,"{'note': 'written and directed by Robert Bilheimer ; produced by Robert Bilheimer, Ronald Mix ; co-produced and directed by Kevin Harris ; associate producer, Heidi Ostertag.', 'type': 'Statement of Responsibility'}|{'note': '""A production of Worldwide Documentaries, Inc. in association with the Phelps-Stokes Fund.""', 'type': 'General Note'}|{'note': 'Logo ""The Film House Group"" appears before film.', 'type': 'General Note'}|{'note': 'Cinematography, Ron Mix (U.S.A. and Europe), Dewalt Aukema, Peter Tischauser, Andre Pienaar (South Africa) ; editor, William Tadler ; original music composed and performed by Abdullah Ibrahim (Dollar Brand).', 'type': 'Creation/Production Credits'}|{'note': 'Contributors: T. S. Farisani (Evangelical Lutheran Church) ; Mamphela Ramphele (University of Cape Town) ; Desmond Tutu (Archbishop of Cape Town) ; Allan Boesak (World Alliance of Reformed Churches) ; Frank Chikane (South African Council of Churches). Narrator: Mark Mathabane.', 'type': 'Performers'}","1 online resource (58 min.) : sound, color",,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,"Worldwide Documentaries, Inc",,,https://iiif.dc.library.northwestern.edu/iiif/2/posters/4db623cc-0e3a-46af-82ed-7565e3b1ebed,,In Copyright,,,,Done,,"f-sa---|Naudé, Beyers|Political and social views|Naudé, Beyers.|Anti-apartheid activists|Afrikaners|Clergy|Banned persons (South Africa)|Church and social problems|Apartheid|Race relations|South Africa",,,"These recordings are from material in the collections of the Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/555870ff-d145-4234-8e92-10a1a86bb6a8/thumbnail,The cry of reason : Beyers Naudé : an Afrikaner speaks out,Institution,Video
,avr:ht24wk105,,https://api.dc.library.northwestern.edu/api/v2/works/02d5e31c-f1fa-482b-8753-4c9792c784c6,Work,ark:/81985/n29k48b86,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/02d5e31c-f1fa-482b-8753-4c9792c784c6,,,Herskovits Library of African Studies Audiovisual Collection,,2022-01-21T06:16:52.825134Z,"Voice of America (Organization)|Jow, Charles",39ca4ce3-4898-47d2-b701-53d6f5692d9c|8977c11d-a97f-4470-a9f9-ba354a7ba574,,1975 to 1979,,AFR157-B_2.wav|7w62f825p/ht24wk105.mods.xml,,,,02d5e31c-f1fa-482b-8753-4c9792c784c6,AFR 157-B,https://api.dc.library.northwestern.edu/api/v2/works/02d5e31c-f1fa-482b-8753-4c9792c784c6?as=iiif,2023-02-20T16:32:41.026743,AVR Migration,avr_migration.csv,,English,ht24wk105,Herskovits Library of African Studies,None,,2022-03-03T22:32:51.584641Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Gambian literature|Jow, Charles|Africa|Gambia",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/02d5e31c-f1fa-482b-8753-4c9792c784c6/thumbnail,Voice of America Nichols Writers Series no. 5 & 6: Charles Jow,Institution,Audio
,avr:3197xm658,,https://api.dc.library.northwestern.edu/api/v2/works/5ee93858-5781-4a3a-977a-5ea72002ce1b,Work,ark:/81985/n2t43mn1s,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/5ee93858-5781-4a3a-977a-5ea72002ce1b,,,Herskovits Library of African Studies Audiovisual Collection,,2022-01-21T06:19:09.750072Z,"Bruner, Charlotte H.|Bruner, David Kincaid, 1912-|Dei-Anang, Michael",3defa5ac-704e-4642-bdea-2a8d9775b170|39ca4ce3-4898-47d2-b701-53d6f5692d9c,,1970s,,AFR148-A_1.wav|7w62f825p/3197xm658.mods.xml,,,,5ee93858-5781-4a3a-977a-5ea72002ce1b,AFR 148-A,https://api.dc.library.northwestern.edu/api/v2/works/5ee93858-5781-4a3a-977a-5ea72002ce1b?as=iiif,2023-02-20T16:33:07.978923,AVR Migration,avr_migration.csv,,English,3197xm658,Herskovits Library of African Studies,None,,2022-03-04T21:44:58.166659Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Ghanaian literature|Dei-Anang, Michael|Africa|Ghana",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/5ee93858-5781-4a3a-977a-5ea72002ce1b/thumbnail,Michael Dei-Anang,Institution,Audio
,avr:js956g57t,,https://api.dc.library.northwestern.edu/api/v2/works/75e3a79e-5540-4ee6-bde4-f3c7b2682dd0,Work,ark:/81985/n2x63dq86,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/75e3a79e-5540-4ee6-bde4-f3c7b2682dd0,,,Herskovits Library of African Studies Audiovisual Collection,,2022-01-21T06:23:36.802494Z,"Chindongo, Crispin D.",39ca4ce3-4898-47d2-b701-53d6f5692d9c|86cd54f8-37b6-4757-9b3c-e37d9339013f,,1900s,,AFR152-C_2.wav|7w62f825p/js956g57t.mods.xml,,,,75e3a79e-5540-4ee6-bde4-f3c7b2682dd0,AFR 152-C,https://api.dc.library.northwestern.edu/api/v2/works/75e3a79e-5540-4ee6-bde4-f3c7b2682dd0?as=iiif,2023-02-20T16:35:11.883192,AVR Migration,avr_migration.csv,,English,js956g57t,Herskovits Library of African Studies,None,,2022-03-04T21:37:23.678778Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Folklore--Africa|Chindongo, Crispin D.|Africa",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/75e3a79e-5540-4ee6-bde4-f3c7b2682dd0/thumbnail,Crispin Davies Chindongo: African music and traditional African musical instruments,Institution,Audio
,avr:37720d34w,,https://api.dc.library.northwestern.edu/api/v2/works/379ca599-7f1d-432e-bc78-b4e92c027b1e,Work,ark:/81985/n2s75945r,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/379ca599-7f1d-432e-bc78-b4e92c027b1e,,,Herskovits Library of African Studies Audiovisual Collection,,2022-01-21T06:23:45.949969Z,"Cesaire, Aime",39ca4ce3-4898-47d2-b701-53d6f5692d9c|86cd54f8-37b6-4757-9b3c-e37d9339013f,,1900s,,Part 1|Part 2|7w62f825p/37720d34w.mods.xml,,,,379ca599-7f1d-432e-bc78-b4e92c027b1e,AFR 144-BC,https://api.dc.library.northwestern.edu/api/v2/works/379ca599-7f1d-432e-bc78-b4e92c027b1e?as=iiif,2023-02-20T16:35:12.746751,AVR Migration,avr_migration.csv,,French,37720d34w,Herskovits Library of African Studies,None,,2022-03-04T21:37:23.600923Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Martinican literature|Cesaire, Aime|West Indies|Martinique",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/379ca599-7f1d-432e-bc78-b4e92c027b1e/thumbnail,Aimé Cesaire,Institution,Audio
