abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:14-193-220,Mosaferan,https://api.dc.library.northwestern.edu/api/v2/works/73d920bc-0483-40fa-a63a-9eaa6ed4d5c1,Work,ark:/81985/n2n29r751,,Oversize,1-2,https://dc.library.northwestern.edu/items/73d920bc-0483-40fa-a63a-9eaa6ed4d5c1,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Abedini, Reza|Naficy, Hamid|Bayz̤āʼī, Bahrām|Bayz̤āʼī, Bahrām|Khosravi, Khosro|Rudiani, Majid|Shaykhʹzādah, ʻAbbās|Shaykhʹzādah, ʻAbbās|Bayz̤āʼī, Bahrām",2021-03-16T04:04:22.349120Z,,,,1992,"Cast: Jamileh Sheikhi, Mozhdeh Shamsai, Homa Rusta, Majid Mozaffari; Cinematographer: Mehrdad Fakhimi; Music: Babak Bayat",Recto|Verso,,,posters,73d920bc-0483-40fa-a63a-9eaa6ed4d5c1,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/73d920bc-0483-40fa-a63a-9eaa6ed4d5c1?as=iiif,2023-02-20T16:04:45.418634,None,None,,Persian,inu:dil-6b2793d5-718e-4993-badf-eed5e6b7e613|inu:dil-a1bbdf53-1c78-4a27-81ce-f0c904fbb009,University Archives,None,,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,8 (height) x 12 in (width),Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/1831dcd7-2f23-44f7-af8a-98d09ff1cab2,,No Copyright - United States,,,,Done,,Post-revolution: Art House (Drama)|Iranians|Revolution (Iran : 1979)|Film posters,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/73d920bc-0483-40fa-a63a-9eaa6ed4d5c1/thumbnail,Travelers.,Public,Image
,Voyager:14-193-182,Bon Bast,https://api.dc.library.northwestern.edu/api/v2/works/047e4e80-bf49-40c0-acfd-709527eb5679,Work,ark:/81985/n2gh9db36,,Oversize,1-2,https://dc.library.northwestern.edu/items/047e4e80-bf49-40c0-acfd-709527eb5679,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Naficy, Hamid|Ṣayyād, Parvīz",2021-03-15T15:47:34.582057Z,,,,1977,"Cast: Mary Apick, Apick Youssefian, B. Zarrinpour; Cinematographer: Houshang Baharlou; Music: Mojtaba Mirzadeh; Lyrics: Ahmad Shamlou; Singer: Ahmad Shamlou; Best Actress Award from Moscow Film Festival",inu-dil-50e773f9-4aaf-4df9-af2f-5d4db98943b0.tif,,,posters,047e4e80-bf49-40c0-acfd-709527eb5679,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/047e4e80-bf49-40c0-acfd-709527eb5679?as=iiif,2023-02-20T16:04:45.494285,None,None,,Persian,inu:dil-50e773f9-4aaf-4df9-af2f-5d4db98943b0,University Archives,None,,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,22.5 (height) x 17.5 in (width),Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/c5d7a8bf-8d81-4485-864b-19a58f2ba085,,No Copyright - United States,,,,Done,,Pre-revolution: Art House (New Wave)|Iranians|Film posters|Revolution (Iran : 1979),,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/047e4e80-bf49-40c0-acfd-709527eb5679/thumbnail,Dead End.,Public,Image
,Voyager:14-193-212,Happy Ali.,https://api.dc.library.northwestern.edu/api/v2/works/34d80ea4-007f-44d8-af94-f7fb5f0b2177,Work,ark:/81985/n2qb9x632,,Oversize,1-2,https://dc.library.northwestern.edu/items/34d80ea4-007f-44d8-af94-f7fb5f0b2177,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Naficy, Hamid|Kasai, Abbas|Sierra Film|The Advertising House of Iran (Khane-ye Agahi-e Iran)",2021-03-15T18:57:35.660902Z,,,,1971,"Cast: Naser Malek Moti’i, Homayun, Qadakchian, Nadereh, Soraya Beheshti, Reza Sarkub, Iran Qaderi, Mina Kahnamu’ie and Shahin; Cinematographer: Reza Anjamruz",inu-dil-30cb4cec-8cb1-479a-be80-cf0f3c2203ea.tif,,,posters,34d80ea4-007f-44d8-af94-f7fb5f0b2177,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/34d80ea4-007f-44d8-af94-f7fb5f0b2177?as=iiif,2023-02-20T16:07:53.125988,None,None,,Persian,inu:dil-30cb4cec-8cb1-479a-be80-cf0f3c2203ea,University Archives,None,,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/c53fd163-2c8d-4948-9da3-c08e65159f20,,No Copyright - United States,,,,Done,,Pre-revolution: Film Farsi (Tough Guy/Luti Film)|Iranians|Film posters|Revolution (Iran : 1979),,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/34d80ea4-007f-44d8-af94-f7fb5f0b2177/thumbnail,Ali Bigham,Public,Image
,Voyager:14-193-196,,https://api.dc.library.northwestern.edu/api/v2/works/81c87592-c8ff-4aaa-aea4-26d5e912e529,Work,ark:/81985/n2cr5qd48,,Oversize,1-2,https://dc.library.northwestern.edu/items/81c87592-c8ff-4aaa-aea4-26d5e912e529,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Naficy, Hamid|The Advertising House of Iran (Khane-ye Agahi-e Iran)",2021-03-16T05:06:56.058721Z,,,,1972,"Cast: Manuchehr Vosuq, Shirandami, Lida Daneshvar, Suzy Yashar, Kahnamu’ie, Atefeh, Anik, Hushang Salim, Khosravi, Mahmud Tatar, Shoja’oddin, Mehrang nad Hasan Raziani; Cinematographer: Ali Sadeqi",inu-dil-6e428269-ecc0-4cfc-9bba-98cecbbeff87.tif,,,posters,81c87592-c8ff-4aaa-aea4-26d5e912e529,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/81c87592-c8ff-4aaa-aea4-26d5e912e529?as=iiif,2023-02-20T16:09:43.615814,None,None,,Persian,inu:dil-6e428269-ecc0-4cfc-9bba-98cecbbeff87,University Archives,None,,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,35 (height) x 23.5 in (width),Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/561e7b63-5f04-48be-b110-2731eb1ea1e7,,No Copyright - United States,,,,Done,,Pre-revolution: Film Farsi (Tough Guy/Luti Film)|Iranians|Film posters|Revolution (Iran : 1979),,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/81c87592-c8ff-4aaa-aea4-26d5e912e529/thumbnail,Navvab.,Public,Image
,Voyager:14-193-217,,https://api.dc.library.northwestern.edu/api/v2/works/85e426bc-8049-41a2-a5a3-3ae7e7721a32,Work,ark:/81985/n28g8hj7g,,Oversize,1-2,https://dc.library.northwestern.edu/items/85e426bc-8049-41a2-a5a3-3ae7e7721a32,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Naficy, Hamid|Makhmalbāf, Muḥsin|Makhmalbad Film House|Studio Canal|Landmark Theatres|Studio Canal|B.A.C. Films",2021-03-16T05:25:22.583151Z,,,,2001,"Cast: Nelofer Pazira, Sadou Teymouri, Hoyatala Hakimi, Dawud, Salahuddin, Hassan Tantai; Music: Mohammad Reza Darvishi; Cinematography: Ebrahim Ghafouri ; Avatar Film Presents",Recto|Verso,,,posters,85e426bc-8049-41a2-a5a3-3ae7e7721a32,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/85e426bc-8049-41a2-a5a3-3ae7e7721a32?as=iiif,2023-02-20T16:09:58.996297,None,None,,Persian,inu:dil-3e9775c5-b296-4a3a-8070-e346a7ca6f3b|inu:dil-619929b0-df19-4ef3-85a4-4192a956ceb8,University Archives,None,Texas--Houston,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,12 (height) x 8 in (width),Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/2e68f335-910b-4dc3-bf04-2933bd893d6e,,No Copyright - United States,,,,Done,,Post-revolution: Art House (War)|Iranians|Revolution (Iran : 1979)|Film posters,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/85e426bc-8049-41a2-a5a3-3ae7e7721a32/thumbnail,Kandahar.,Public,Image
,Voyager:14-193-146,,https://api.dc.library.northwestern.edu/api/v2/works/8791c450-b61a-4001-94ff-8ec9e9f014d7,Work,ark:/81985/n22f7ms6s,,Oversize,1-2,https://dc.library.northwestern.edu/items/8791c450-b61a-4001-94ff-8ec9e9f014d7,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Naficy, Hamid|University of Iowa",2021-03-16T05:32:59.196162Z,,,,2004,,inu-dil-956e6399-5e50-4c98-a004-0ffd04ae93bc.tif,,,posters,8791c450-b61a-4001-94ff-8ec9e9f014d7,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/8791c450-b61a-4001-94ff-8ec9e9f014d7?as=iiif,2023-02-20T16:10:08.339148,None,None,,Persian,inu:dil-956e6399-5e50-4c98-a004-0ffd04ae93bc,University Archives,None,,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,17 (height) x 11 in (width),Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/09fa2df3-0bca-464a-bc83-5b92874af54c,,No Copyright - United States,,,,Done,,Hamid Naficy Iranian Cinema Talks|Exiles|Iranians|Film posters|Iranian diaspora|Revolution (Iran : 1979),,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8791c450-b61a-4001-94ff-8ec9e9f014d7/thumbnail,Crossing Borders Convocation : World Cinemas and Transnational Cultures.,Public,Image
,Voyager:14-193-142,,https://api.dc.library.northwestern.edu/api/v2/works/94498e72-6daa-42af-92a5-7d6283ec8e7e,Work,ark:/81985/n2rn32777,,Oversize,1-2,https://dc.library.northwestern.edu/items/94498e72-6daa-42af-92a5-7d6283ec8e7e,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Naficy, Hamid|University of California, Los Angeles",2021-03-16T06:31:22.806408Z,,,,1989?,,inu-dil-dcfeed36-665a-4124-a25e-2621cffe909a.tif,,,posters,94498e72-6daa-42af-92a5-7d6283ec8e7e,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/94498e72-6daa-42af-92a5-7d6283ec8e7e?as=iiif,2023-02-20T16:10:57.018837,None,None,,English,inu:dil-dcfeed36-665a-4124-a25e-2621cffe909a,University Archives,None,,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,33 (height) x 22.5 in (width),Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/8200fd10-c871-4b7a-95b8-18a94a035086,,No Copyright - United States,,,,Done,,Iranians|Film festivals|Film posters|Revolution (Iran : 1979),,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/94498e72-6daa-42af-92a5-7d6283ec8e7e/thumbnail,"UCLA Vision Festival. University of California, Los Angeles. School of Theater, Film, and Television.",Public,Image
,Voyager:14-193-128,,https://api.dc.library.northwestern.edu/api/v2/works/d522750d-7216-4093-a61f-1d0dea66fda1,Work,ark:/81985/n2zs2nd6w,,Oversize,1-2,https://dc.library.northwestern.edu/items/d522750d-7216-4093-a61f-1d0dea66fda1,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Naficy, Hamid|Cooper, Merian C.|Schoedsack, Ernest B., 1893-1979",2021-03-16T18:58:29.728329Z,,,,1933,Film poster of the 1933 movie King Kong.,inu-dil-1f48447d-1aab-401d-89c9-f840f4efdbc4.tif,,,posters,d522750d-7216-4093-a61f-1d0dea66fda1,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/d522750d-7216-4093-a61f-1d0dea66fda1?as=iiif,2023-02-20T16:16:15.268748,None,None,,Persian,inu:dil-1f48447d-1aab-401d-89c9-f840f4efdbc4,University Archives,None,,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,28 (height) x 18 in (width),Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/d4c70f10-7f83-4579-a432-d2e50d96f15c,,No Copyright - United States,,,,Done,,Film posters,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d522750d-7216-4093-a61f-1d0dea66fda1/thumbnail,King Kong.,Public,Image
,Voyager:14-193-075,,https://api.dc.library.northwestern.edu/api/v2/works/d9899960-54de-428f-8b00-94c4645c8d7a,Work,ark:/81985/n21j9983c,,Oversize,1-2,https://dc.library.northwestern.edu/items/d9899960-54de-428f-8b00-94c4645c8d7a,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Naficy, Hamid|Berkeley Art Museum and Pacific Film Archive",2021-03-16T19:25:17.573349Z,,,,2014,Man on train tracks,inu-dil-0fbcabf0-0e33-4607-8f84-b426a33bb34b.tif,,,posters,d9899960-54de-428f-8b00-94c4645c8d7a,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/d9899960-54de-428f-8b00-94c4645c8d7a?as=iiif,2023-02-20T16:16:35.676937,None,None,,Persian,inu:dil-0fbcabf0-0e33-4607-8f84-b426a33bb34b,University Archives,None,,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,8.5 (height) x 11 in (width),Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/0b727d6b-0bc3-4c30-a899-b0b04be10e27,,No Copyright - United States,,,,Done,,Iranian Exilic and Diaspora Cinema|Hamid Naficy Iranian Cinema Talks|Iranians|Film posters|Revolution (Iran : 1979),,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d9899960-54de-428f-8b00-94c4645c8d7a/thumbnail,Afterimage: Kamran Shirdel.,Public,Image
,Voyager:14-193-189,The Wrath of Eagles.,https://api.dc.library.northwestern.edu/api/v2/works/e10f7d30-ac3f-4e71-aed0-9e28fe27f691,Work,ark:/81985/n2jw88n62,,Oversize,1-2,https://dc.library.northwestern.edu/items/e10f7d30-ac3f-4e71-aed0-9e28fe27f691,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Naficy, Hamid|Qādirī, Īraj, 1935-2012",2021-03-16T20:08:46.239133Z,,,,1971,"Cast: Iraj Qaderi, Natasha, Arman, Bahmanyar, Narsi, Shandarmani, Ashraf Kashani, Mohammad Farzin, Saber Atashin, Karmen, Hamidi and Abbas Maqfurian; Dancer: Shahrzad; Cinematographer: Qasemivand",Recto|Verso,,,posters,e10f7d30-ac3f-4e71-aed0-9e28fe27f691,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/e10f7d30-ac3f-4e71-aed0-9e28fe27f691?as=iiif,2023-02-20T16:16:54.676469,None,None,,Persian,inu:dil-f8ba8746-996e-422d-a65f-55e349eb29f1|inu:dil-3494c3f0-9cee-4511-84dd-2638927a42c8,University Archives,None,,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,27.5 (height) x 19.5 in (width),Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/e8074304-b907-4885-957e-af88d6011466,,No Copyright - United States,,,,Done,,Pre-revolution: Film Farsi (Drama)|Iranians|Revolution (Iran : 1979)|Film posters,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/e10f7d30-ac3f-4e71-aed0-9e28fe27f691/thumbnail,Khashm-e Oqabha,Public,Image
,Voyager:14-193-048,Shayad Vaghti Digar,https://api.dc.library.northwestern.edu/api/v2/works/e5c65968-bdfa-43f4-be43-da0277579292,Work,ark:/81985/n22n51j8w,,Oversize,1-2,https://dc.library.northwestern.edu/items/e5c65968-bdfa-43f4-be43-da0277579292,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Naficy, Hamid|Bayz̤āʼī, Bahrām|Novin Film|Karim-Masihi, Varuzh",2021-03-16T20:36:54.442290Z,,,,1988,"Cast: Susan Taslimi, Dariush Farhang, Alireza Mojallal; Cinematographer: Asghar Rafijam; Music: Babak Bayat ; Director: Bahram Beyzai; Cast: Susan Taslimi, Dariush Farhang, Alireza Mojallal; Editor: Varooj Karim Massihi; Cinematographer: Asghar Rafijam; Music: Babak Bayat; Producer: Novin Film",Recto|Verso,,,posters,e5c65968-bdfa-43f4-be43-da0277579292,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/e5c65968-bdfa-43f4-be43-da0277579292?as=iiif,2023-02-20T16:17:40.605148,None,None,,Persian,inu:dil-fb4fea17-435a-48eb-beb1-847aca4ac601|inu:dil-8c614cf2-dec4-41a2-9451-407c084b5dc5,University Archives,None,,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,12 (height) x 8 in (width),Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/416bbcb5-dace-4df6-be94-8e910d8e461d,,No Copyright - United States,,,,Done,,Post-revolution: Art House (Drama)|Iranians|Revolution (Iran : 1979)|Film posters,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/e5c65968-bdfa-43f4-be43-da0277579292/thumbnail,Maybe Some Other Time.,Public,Image
,Voyager:14-193-125,Requiem,https://api.dc.library.northwestern.edu/api/v2/works/e7079c79-42bb-45ce-96fe-20131d713121,Work,ark:/81985/n2rr1rn0s,,Oversize,1-2,https://dc.library.northwestern.edu/items/e7079c79-42bb-45ce-96fe-20131d713121,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Naficy, Hamid|Nādirī, Amīr|Iran Cinematic Film Distribution Center",2021-03-16T20:44:22.141329Z,,,,1978,Cast: Manuchehr Ahmadi; Cinematographer: Reza Mojaveri; Music: Roshan Ravan,inu-dil-2a49dca9-890e-43b7-bc03-18d606163f7a.tif,,,posters,e7079c79-42bb-45ce-96fe-20131d713121,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/e7079c79-42bb-45ce-96fe-20131d713121?as=iiif,2023-02-20T16:17:48.851902,None,None,,Persian,inu:dil-2a49dca9-890e-43b7-bc03-18d606163f7a,University Archives,None,,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,35.5 (height) x 24 in (width),Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/e5448b8c-820b-497f-9c8b-f3760a1dbb99,,No Copyright - United States,,,,Done,,Pre-revolution: Art House (New Wave)|Iranians|Film posters|Revolution (Iran : 1979),,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/e7079c79-42bb-45ce-96fe-20131d713121/thumbnail,Marsiyeh,Public,Image
,Voyager:14-193-173,Honeymoon.,https://api.dc.library.northwestern.edu/api/v2/works/eaa610c7-3f03-4954-b16b-1817a71f5da8,Work,ark:/81985/n2222t640,,Oversize,1-2,https://dc.library.northwestern.edu/items/eaa610c7-3f03-4954-b16b-1817a71f5da8,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Naficy, Hamid|Gole, Fereydun",2021-03-16T21:06:24.930738Z,,,,1977,"Cast: Behrouz Vossoughi, Googoosh, Jamshid Mashayekhi; Cinematographer: Hamid Mojtahedi",inu-dil-d108bb72-bc89-4482-9815-361a0a83b43e.tif,,,posters,eaa610c7-3f03-4954-b16b-1817a71f5da8,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/eaa610c7-3f03-4954-b16b-1817a71f5da8?as=iiif,2023-02-20T16:18:12.365997,None,None,,Persian,inu:dil-d108bb72-bc89-4482-9815-361a0a83b43e,University Archives,None,,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,23 (height) x 12.5 in (width),Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/b71df0e1-220d-4c70-b793-943e452a7e2e,,No Copyright - United States,,,,Done,,Pre-revolution: Film Farsi (Romance)|Iranians|Film posters|Revolution (Iran : 1979),,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/eaa610c7-3f03-4954-b16b-1817a71f5da8/thumbnail,Mah-e Asal,Public,Image
,Voyager:14-193-082,In the alleys of love|Dar Koocheha-ye Eshgh,https://api.dc.library.northwestern.edu/api/v2/works/f67bc831-f53c-4725-aaa7-ad551eb3a45a,Work,ark:/81985/n2vt1jr08,,Oversize,1-2,https://dc.library.northwestern.edu/items/f67bc831-f53c-4725-aaa7-ad551eb3a45a,,,Hamid Naficy Iranian and Middle Eastern Movie Posters Collection,"Ḥaqīqī, Ibrāhīm, 1949-|Naficy, Hamid|Sīnāyī, Khusraw, 1940 or 1941-|Sīnāyī, Khusraw, 1940 or 1941-|Loghmani, Ali|C.D.E.S.F|Jalālī, Bahman|Sīnāyī, Khusraw, 1940 or 1941-",2021-03-16T22:15:52.107082Z,,,,1991,"Cast: Mehdi Ahmadi, Yousef Djokar, Bahram Zandi, Mohammad Ebrahim Djafari, Hamid Farokhnejad, Levon Khankeldian, Behnaz Rudani, Ali Galehdari, Reza Pajuhi, Abdolreza Baghban; Cinematographer: Ali Loghmani; Music: Khosro Sinaie",inu-dil-e6d6e3d8-77ca-4734-9690-f17a8ed8a29f.tif,,,posters,f67bc831-f53c-4725-aaa7-ad551eb3a45a,76/20/3,https://api.dc.library.northwestern.edu/api/v2/works/f67bc831-f53c-4725-aaa7-ad551eb3a45a?as=iiif,2023-02-20T16:19:08.596258,None,None,,Persian,inu:dil-e6d6e3d8-77ca-4734-9690-f17a8ed8a29f,University Archives,None,,2021-11-03T19:04:23.760762Z,,Offset lithograph on paper,26 (height).5 x 19 in (width),Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': None, 'proposer': None, 'task_number': 'Job:11528'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/eb51d806-15c5-4199-ab91-f5068f52ab91,,No Copyright - United States,,,,Done,,Post-revolution: Art House (War)|Iranians|Film posters|Revolution (Iran : 1979),,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/f67bc831-f53c-4725-aaa7-ad551eb3a45a/thumbnail,Dans les rues de l'amour.,Public,Image
