abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,P0396_NCEP_BUN17_019,,https://api.dc.library.northwestern.edu/api/v2/works/b53abef9-ac3e-4d30-9419-a893fed54af3,Work,ark:/81985/n2j962s0v,507f6a06-75e5-4df9-9b20-f571bb43fed1|a9b629b3-3683-40cb-ac17-f738ab3a028b|ad516d4b-d93e-45b0-bbef-d0507eb12403|b4412dc1-e07e-4c33-abd9-cd2492ac8db6|bae117b9-c410-4369-83a6-24492e16d195|c94a1afc-841d-4e2d-8e39-909a0422d89d|f6b9f4b6-8e9e-44ed-bedb-e01dd385c042,,Bundle 17,https://dc.library.northwestern.edu/items/b53abef9-ac3e-4d30-9419-a893fed54af3,,,Northwestern Community Ensemble (NCE),"Northwestern Community Ensemble|Pitts, Ronald E.|Pitts, Ronald E.",2021-06-16T18:25:56.828581Z,,4401ff9d-4063-45fb-ad29-cfd6c4b6e980|f455a204-ff8b-439a-b799-f17e2bfa715a,,1970s to 1980s,,recto,,,color photographs,b53abef9-ac3e-4d30-9419-a893fed54af3,Accession: 2021-118,https://api.dc.library.northwestern.edu/api/v2/works/b53abef9-ac3e-4d30-9419-a893fed54af3?as=iiif,2023-02-20T16:25:40.760258,P0394-P0396-NCE,P0396_NCE.csv,,,,University Archives,None,,2022-10-06T17:56:47.224344Z,,1 color photograph,,Level 1,"{'cycle': '2020', 'desc': ""The project consists of digitizing ~800 photographs and adding them to Meadow as part of the Records of African American Student Affairs. It's a digitization-only project. Request will need to be made for metadata."", 'manager': 'Dan Zellner', 'name': 'NCE Photos', 'proposer': 'Charla Wilson', 'task_number': 'P0396'}",Courtesy of Ronald E. Pitts,True,,,Related Information|Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/d3b4ee27-06de-49f2-a3e0-30ba2d3b1c02,,Copyright Undetermined,,Northwestern Community Ensemble (NCE)--Concert Programs and Photographs,,Done,,"Northwestern Community Ensemble|African American college students|Choirs (Music)|Music--Performance|Illinois--Evanston|Northwestern University (Evanston, Ill.)|Northwestern University (Evanston, Ill.). Department of Minority Student Affairs|Northwestern University (Evanston, Ill.). Department of African American Student Affairs|Missouri--Saint Louis",,,"The images on this site are from material in the collections of the McCormick Library of Special Collections and University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b53abef9-ac3e-4d30-9419-a893fed54af3/thumbnail,Ronald E. Pitts. St. Louis?,Public,Image
,P0396_NCEP_BUN12_001,,https://api.dc.library.northwestern.edu/api/v2/works/0453816a-fd81-4492-8cb0-122cfcf63e90,Work,ark:/81985/n27m06g6d,507f6a06-75e5-4df9-9b20-f571bb43fed1|a9b629b3-3683-40cb-ac17-f738ab3a028b|ad516d4b-d93e-45b0-bbef-d0507eb12403|b4412dc1-e07e-4c33-abd9-cd2492ac8db6|bae117b9-c410-4369-83a6-24492e16d195|c94a1afc-841d-4e2d-8e39-909a0422d89d|f6b9f4b6-8e9e-44ed-bedb-e01dd385c042,,Bundle 12,https://dc.library.northwestern.edu/items/0453816a-fd81-4492-8cb0-122cfcf63e90,,,Northwestern Community Ensemble (NCE),"Northwestern Community Ensemble|Pitts, Ronald E.|Pitts, Ronald E.",2021-06-16T18:26:15.911675Z,,4401ff9d-4063-45fb-ad29-cfd6c4b6e980|f455a204-ff8b-439a-b799-f17e2bfa715a,,"March 5, 1981",,recto,,,color photographs,0453816a-fd81-4492-8cb0-122cfcf63e90,Accession: 2021-118,https://api.dc.library.northwestern.edu/api/v2/works/0453816a-fd81-4492-8cb0-122cfcf63e90?as=iiif,2023-02-20T16:28:10.664091,P0394-P0396-NCE,P0396_NCE.csv,,,,University Archives,None,,2022-10-06T17:56:45.669031Z,,1 color photograph,,Level 1,"{'cycle': '2020', 'desc': ""The project consists of digitizing ~800 photographs and adding them to Meadow as part of the Records of African American Student Affairs. It's a digitization-only project. Request will need to be made for metadata."", 'manager': 'Dan Zellner', 'name': 'NCE Photos', 'proposer': 'Charla Wilson', 'task_number': 'P0396'}",Courtesy of Ronald E. Pitts,True,,,Related Information|Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/91da82fa-bfa9-416c-ab98-3843a3e5b503,,Copyright Undetermined,,Northwestern Community Ensemble (NCE)--Concert Programs and Photographs,,Done,,"Northwestern Community Ensemble|African American college students|Choirs (Music)|Music--Performance|Illinois--Evanston|Northwestern University (Evanston, Ill.)|Northwestern University (Evanston, Ill.). Department of Minority Student Affairs|Northwestern University (Evanston, Ill.). Department of African American Student Affairs",,,"The images on this site are from material in the collections of the McCormick Library of Special Collections and University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0453816a-fd81-4492-8cb0-122cfcf63e90/thumbnail,"March 5, 1981",Public,Image
,P0396_NCEP_BUN08_014,,https://api.dc.library.northwestern.edu/api/v2/works/07173d8c-91a4-414f-8b4e-cc3ecc5842b1,Work,ark:/81985/n22z15567,507f6a06-75e5-4df9-9b20-f571bb43fed1|a9b629b3-3683-40cb-ac17-f738ab3a028b|ad516d4b-d93e-45b0-bbef-d0507eb12403|b4412dc1-e07e-4c33-abd9-cd2492ac8db6|bae117b9-c410-4369-83a6-24492e16d195|c94a1afc-841d-4e2d-8e39-909a0422d89d|f6b9f4b6-8e9e-44ed-bedb-e01dd385c042,,Bundle 8,https://dc.library.northwestern.edu/items/07173d8c-91a4-414f-8b4e-cc3ecc5842b1,,,Northwestern Community Ensemble (NCE),"Northwestern Community Ensemble|Pitts, Ronald E.|Pitts, Ronald E.",2021-06-16T18:25:23.221547Z,,4401ff9d-4063-45fb-ad29-cfd6c4b6e980|f455a204-ff8b-439a-b799-f17e2bfa715a,,1970s to 1980s,,recto,,,color photographs,07173d8c-91a4-414f-8b4e-cc3ecc5842b1,Accession: 2021-118,https://api.dc.library.northwestern.edu/api/v2/works/07173d8c-91a4-414f-8b4e-cc3ecc5842b1?as=iiif,2023-02-20T16:28:10.839878,P0394-P0396-NCE,P0396_NCE.csv,,,,University Archives,None,,2022-10-06T17:56:45.700741Z,,1 color photograph,,Level 1,"{'cycle': '2020', 'desc': ""The project consists of digitizing ~800 photographs and adding them to Meadow as part of the Records of African American Student Affairs. It's a digitization-only project. Request will need to be made for metadata."", 'manager': 'Dan Zellner', 'name': 'NCE Photos', 'proposer': 'Charla Wilson', 'task_number': 'P0396'}",Courtesy of Ronald E. Pitts,True,,,Related Information|Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/4f242f50-d119-4326-b310-0474e1db75b4,,Copyright Undetermined,,Northwestern Community Ensemble (NCE)--Concert Programs and Photographs,,Done,,"Northwestern Community Ensemble|African American college students|Choirs (Music)|Music--Performance|Illinois--Evanston|Northwestern University (Evanston, Ill.)|Northwestern University (Evanston, Ill.). Department of Minority Student Affairs|Northwestern University (Evanston, Ill.). Department of African American Student Affairs",,,"The images on this site are from material in the collections of the McCormick Library of Special Collections and University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/07173d8c-91a4-414f-8b4e-cc3ecc5842b1/thumbnail,God is on our side #1,Public,Image
,P0396_NCEP_BUN18_024,,https://api.dc.library.northwestern.edu/api/v2/works/d942a743-1168-4e45-984e-b3dde8f95464,Work,ark:/81985/n2dn42b9t,507f6a06-75e5-4df9-9b20-f571bb43fed1|a9b629b3-3683-40cb-ac17-f738ab3a028b|ad516d4b-d93e-45b0-bbef-d0507eb12403|b4412dc1-e07e-4c33-abd9-cd2492ac8db6|bae117b9-c410-4369-83a6-24492e16d195|c94a1afc-841d-4e2d-8e39-909a0422d89d|f6b9f4b6-8e9e-44ed-bedb-e01dd385c042,,Bundle 18,https://dc.library.northwestern.edu/items/d942a743-1168-4e45-984e-b3dde8f95464,,,Northwestern Community Ensemble (NCE),"Northwestern Community Ensemble|Pitts, Ronald E.|Pitts, Ronald E.",2021-06-16T18:25:01.388266Z,,f455a204-ff8b-439a-b799-f17e2bfa715a|4401ff9d-4063-45fb-ad29-cfd6c4b6e980,,1970s to 1980s,,recto,,,color photographs,d942a743-1168-4e45-984e-b3dde8f95464,Accession: 2021-118,https://api.dc.library.northwestern.edu/api/v2/works/d942a743-1168-4e45-984e-b3dde8f95464?as=iiif,2023-02-20T16:28:11.016785,P0394-P0396-NCE,P0396_NCE.csv,,,,University Archives,None,,2022-10-06T17:56:47.460705Z,,1 color photograph,,Level 1,"{'cycle': '2020', 'desc': ""The project consists of digitizing ~800 photographs and adding them to Meadow as part of the Records of African American Student Affairs. It's a digitization-only project. Request will need to be made for metadata."", 'manager': 'Dan Zellner', 'name': 'NCE Photos', 'proposer': 'Charla Wilson', 'task_number': 'P0396'}",Courtesy of Ronald E. Pitts,True,,,Related Information|Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/a9e6ccc3-411f-4972-95cc-3c879972bab7,,Copyright Undetermined,,Northwestern Community Ensemble (NCE)--Concert Programs and Photographs,,Done,,"Northwestern Community Ensemble|African American college students|Choirs (Music)|Music--Performance|Illinois--Evanston|Northwestern University (Evanston, Ill.)|Northwestern University (Evanston, Ill.). Department of Minority Student Affairs|Northwestern University (Evanston, Ill.). Department of African American Student Affairs",,,"The images on this site are from material in the collections of the McCormick Library of Special Collections and University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d942a743-1168-4e45-984e-b3dde8f95464/thumbnail,"Ronald E. Pitts, Helena Barrington.",Public,Image
,P0396_NCEP_BUN08_029,,https://api.dc.library.northwestern.edu/api/v2/works/e3321bb8-be90-48c7-b995-dc09c9a097e7,Work,ark:/81985/n2pv6dp7s,507f6a06-75e5-4df9-9b20-f571bb43fed1|a9b629b3-3683-40cb-ac17-f738ab3a028b|ad516d4b-d93e-45b0-bbef-d0507eb12403|b4412dc1-e07e-4c33-abd9-cd2492ac8db6|bae117b9-c410-4369-83a6-24492e16d195|c94a1afc-841d-4e2d-8e39-909a0422d89d|f6b9f4b6-8e9e-44ed-bedb-e01dd385c042,,Bundle 8,https://dc.library.northwestern.edu/items/e3321bb8-be90-48c7-b995-dc09c9a097e7,,,Northwestern Community Ensemble (NCE),"Northwestern Community Ensemble|Pitts, Ronald E.|Pitts, Ronald E.",2021-06-16T18:25:15.883307Z,,f455a204-ff8b-439a-b799-f17e2bfa715a|4401ff9d-4063-45fb-ad29-cfd6c4b6e980,,1970s to 1980s,,recto,,,color photographs,e3321bb8-be90-48c7-b995-dc09c9a097e7,Accession: 2021-118,https://api.dc.library.northwestern.edu/api/v2/works/e3321bb8-be90-48c7-b995-dc09c9a097e7?as=iiif,2023-02-20T16:28:14.671901,P0394-P0396-NCE,P0396_NCE.csv,,,,University Archives,None,,2022-10-06T17:56:47.550427Z,,1 color photograph,,Level 1,"{'cycle': '2020', 'desc': ""The project consists of digitizing ~800 photographs and adding them to Meadow as part of the Records of African American Student Affairs. It's a digitization-only project. Request will need to be made for metadata."", 'manager': 'Dan Zellner', 'name': 'NCE Photos', 'proposer': 'Charla Wilson', 'task_number': 'P0396'}",Courtesy of Ronald E. Pitts,True,,,Related Information|Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/9bd62012-0763-48da-9c6f-b5fb1aa0ad42,,Copyright Undetermined,,Northwestern Community Ensemble (NCE)--Concert Programs and Photographs,,Done,,"Northwestern Community Ensemble|African American college students|Choirs (Music)|Music--Performance|Illinois--Evanston|Northwestern University (Evanston, Ill.)|Northwestern University (Evanston, Ill.). Department of Minority Student Affairs|Northwestern University (Evanston, Ill.). Department of African American Student Affairs",,,"The images on this site are from material in the collections of the McCormick Library of Special Collections and University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/e3321bb8-be90-48c7-b995-dc09c9a097e7/thumbnail,God is on our side #1,Public,Image
,P0396_NCEP_BUN15_017,,https://api.dc.library.northwestern.edu/api/v2/works/366258fa-6ca9-4617-986c-9c1a18d4d653,Work,ark:/81985/n21g0m98v,507f6a06-75e5-4df9-9b20-f571bb43fed1|a9b629b3-3683-40cb-ac17-f738ab3a028b|ad516d4b-d93e-45b0-bbef-d0507eb12403|b4412dc1-e07e-4c33-abd9-cd2492ac8db6|bae117b9-c410-4369-83a6-24492e16d195|c94a1afc-841d-4e2d-8e39-909a0422d89d|f6b9f4b6-8e9e-44ed-bedb-e01dd385c042,,Bundle 15,https://dc.library.northwestern.edu/items/366258fa-6ca9-4617-986c-9c1a18d4d653,,,Northwestern Community Ensemble (NCE),"Northwestern Community Ensemble|Pitts, Ronald E.|Pitts, Ronald E.",2021-06-16T18:25:02.150628Z,,4401ff9d-4063-45fb-ad29-cfd6c4b6e980|f455a204-ff8b-439a-b799-f17e2bfa715a,,1970s to 1980s,,recto,,,color photographs,366258fa-6ca9-4617-986c-9c1a18d4d653,Accession: 2021-118,https://api.dc.library.northwestern.edu/api/v2/works/366258fa-6ca9-4617-986c-9c1a18d4d653?as=iiif,2023-02-20T16:28:17.379745,P0394-P0396-NCE,P0396_NCE.csv,,,,University Archives,None,,2022-10-06T17:56:46.106976Z,,1 color photograph,,Level 1,"{'cycle': '2020', 'desc': ""The project consists of digitizing ~800 photographs and adding them to Meadow as part of the Records of African American Student Affairs. It's a digitization-only project. Request will need to be made for metadata."", 'manager': 'Dan Zellner', 'name': 'NCE Photos', 'proposer': 'Charla Wilson', 'task_number': 'P0396'}",Courtesy of Ronald E. Pitts,True,,,Related Information|Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/19ae0357-82c6-4b81-a6ad-c64a0bc4da7b,,Copyright Undetermined,,Northwestern Community Ensemble (NCE)--Concert Programs and Photographs,,Done,,"Northwestern Community Ensemble|African American college students|Choirs (Music)|Music--Performance|Illinois--Evanston|Northwestern University (Evanston, Ill.)|Northwestern University (Evanston, Ill.). Department of Minority Student Affairs|Northwestern University (Evanston, Ill.). Department of African American Student Affairs|Ohio--Cleveland",,,"The images on this site are from material in the collections of the McCormick Library of Special Collections and University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/366258fa-6ca9-4617-986c-9c1a18d4d653/thumbnail,Ronald E. Pitts. Cleveland,Public,Image
,P0396_NCEP_BUN04_005,,https://api.dc.library.northwestern.edu/api/v2/works/4b6fc312-95c7-4a96-9ffa-894908892f8a,Work,ark:/81985/n2t14x541,507f6a06-75e5-4df9-9b20-f571bb43fed1|a9b629b3-3683-40cb-ac17-f738ab3a028b|ad516d4b-d93e-45b0-bbef-d0507eb12403|b4412dc1-e07e-4c33-abd9-cd2492ac8db6|bae117b9-c410-4369-83a6-24492e16d195|c94a1afc-841d-4e2d-8e39-909a0422d89d|f6b9f4b6-8e9e-44ed-bedb-e01dd385c042,,Bundle 4,https://dc.library.northwestern.edu/items/4b6fc312-95c7-4a96-9ffa-894908892f8a,,,Northwestern Community Ensemble (NCE),"Northwestern Community Ensemble|Pitts, Ronald E.|Pitts, Ronald E.",2021-06-16T18:24:51.257179Z,,f455a204-ff8b-439a-b799-f17e2bfa715a|4401ff9d-4063-45fb-ad29-cfd6c4b6e980,,1970s to 1980s,,recto,,,color photographs,4b6fc312-95c7-4a96-9ffa-894908892f8a,Accession: 2021-118,https://api.dc.library.northwestern.edu/api/v2/works/4b6fc312-95c7-4a96-9ffa-894908892f8a?as=iiif,2023-02-20T16:28:17.684410,P0394-P0396-NCE,P0396_NCE.csv,,,,University Archives,None,,2022-10-06T17:56:46.282597Z,,1 color photograph,,Level 1,"{'cycle': '2020', 'desc': ""The project consists of digitizing ~800 photographs and adding them to Meadow as part of the Records of African American Student Affairs. It's a digitization-only project. Request will need to be made for metadata."", 'manager': 'Dan Zellner', 'name': 'NCE Photos', 'proposer': 'Charla Wilson', 'task_number': 'P0396'}",Courtesy of Ronald E. Pitts,True,,,Related Information|Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/8a14e523-fa80-4e01-9366-3e5cd88477b7,,Copyright Undetermined,,Northwestern Community Ensemble (NCE)--Concert Programs and Photographs,,Done,,"Northwestern Community Ensemble|African American college students|Choirs (Music)|Music--Performance|Illinois--Evanston|Northwestern University (Evanston, Ill.)|Northwestern University (Evanston, Ill.). Department of Minority Student Affairs|Northwestern University (Evanston, Ill.). Department of African American Student Affairs|Missouri--Saint Louis",,,"The images on this site are from material in the collections of the McCormick Library of Special Collections and University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/4b6fc312-95c7-4a96-9ffa-894908892f8a/thumbnail,St. Louis Tour?,Public,Image
,P0396_NCEP_BUN04_014,,https://api.dc.library.northwestern.edu/api/v2/works/4c01412c-8ecc-4d66-82d6-5b3681df8294,Work,ark:/81985/n2319vj7z,507f6a06-75e5-4df9-9b20-f571bb43fed1|a9b629b3-3683-40cb-ac17-f738ab3a028b|ad516d4b-d93e-45b0-bbef-d0507eb12403|b4412dc1-e07e-4c33-abd9-cd2492ac8db6|bae117b9-c410-4369-83a6-24492e16d195|c94a1afc-841d-4e2d-8e39-909a0422d89d|f6b9f4b6-8e9e-44ed-bedb-e01dd385c042,,Bundle 4,https://dc.library.northwestern.edu/items/4c01412c-8ecc-4d66-82d6-5b3681df8294,,,Northwestern Community Ensemble (NCE),"Northwestern Community Ensemble|Pitts, Ronald E.|Pitts, Ronald E.",2021-06-16T18:25:15.158848Z,,f455a204-ff8b-439a-b799-f17e2bfa715a|4401ff9d-4063-45fb-ad29-cfd6c4b6e980,,1970s to 1980s,,recto,,,color photographs,4c01412c-8ecc-4d66-82d6-5b3681df8294,Accession: 2021-118,https://api.dc.library.northwestern.edu/api/v2/works/4c01412c-8ecc-4d66-82d6-5b3681df8294?as=iiif,2023-02-20T16:28:17.687040,P0394-P0396-NCE,P0396_NCE.csv,,,,University Archives,None,,2022-10-06T17:56:46.285876Z,,1 color photograph,,Level 1,"{'cycle': '2020', 'desc': ""The project consists of digitizing ~800 photographs and adding them to Meadow as part of the Records of African American Student Affairs. It's a digitization-only project. Request will need to be made for metadata."", 'manager': 'Dan Zellner', 'name': 'NCE Photos', 'proposer': 'Charla Wilson', 'task_number': 'P0396'}",Courtesy of Ronald E. Pitts,True,,,Related Information|Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/6b2d0719-2f67-4105-8568-4e6431fa3e4b,,Copyright Undetermined,,Northwestern Community Ensemble (NCE)--Concert Programs and Photographs,,Done,,"Northwestern Community Ensemble|African American college students|Choirs (Music)|Music--Performance|Illinois--Evanston|Northwestern University (Evanston, Ill.)|Northwestern University (Evanston, Ill.). Department of Minority Student Affairs|Northwestern University (Evanston, Ill.). Department of African American Student Affairs|Missouri--Saint Louis",,,"The images on this site are from material in the collections of the McCormick Library of Special Collections and University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/4c01412c-8ecc-4d66-82d6-5b3681df8294/thumbnail,St. Louis Tour?,Public,Image
,P0396_NCEP_BUN09_011,,https://api.dc.library.northwestern.edu/api/v2/works/8001ad65-8af6-4413-a6d6-ba647d9a5012,Work,ark:/81985/n2qz2502b,507f6a06-75e5-4df9-9b20-f571bb43fed1|a9b629b3-3683-40cb-ac17-f738ab3a028b|ad516d4b-d93e-45b0-bbef-d0507eb12403|b4412dc1-e07e-4c33-abd9-cd2492ac8db6|bae117b9-c410-4369-83a6-24492e16d195|c94a1afc-841d-4e2d-8e39-909a0422d89d|f6b9f4b6-8e9e-44ed-bedb-e01dd385c042,,Bundle 9,https://dc.library.northwestern.edu/items/8001ad65-8af6-4413-a6d6-ba647d9a5012,,,Northwestern Community Ensemble (NCE),"Northwestern Community Ensemble|Pitts, Ronald E.|Pitts, Ronald E.",2021-06-16T18:25:05.342528Z,,f455a204-ff8b-439a-b799-f17e2bfa715a|4401ff9d-4063-45fb-ad29-cfd6c4b6e980,,1970s to 1980s,,recto,,,color photographs,8001ad65-8af6-4413-a6d6-ba647d9a5012,Accession: 2021-118,https://api.dc.library.northwestern.edu/api/v2/works/8001ad65-8af6-4413-a6d6-ba647d9a5012?as=iiif,2023-02-20T16:28:21.901340,P0394-P0396-NCE,P0396_NCE.csv,,,,University Archives,None,,2022-10-06T17:56:46.725870Z,,1 color photograph,,Level 1,"{'cycle': '2020', 'desc': ""The project consists of digitizing ~800 photographs and adding them to Meadow as part of the Records of African American Student Affairs. It's a digitization-only project. Request will need to be made for metadata."", 'manager': 'Dan Zellner', 'name': 'NCE Photos', 'proposer': 'Charla Wilson', 'task_number': 'P0396'}",Courtesy of Ronald E. Pitts,True,,,Related Information|Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/fad9f6b1-6158-438d-9f37-9323733a036d,,Copyright Undetermined,,Northwestern Community Ensemble (NCE)--Concert Programs and Photographs,,Done,,"Northwestern Community Ensemble|African American college students|Choirs (Music)|Music--Performance|Illinois--Evanston|Northwestern University (Evanston, Ill.)|Northwestern University (Evanston, Ill.). Department of Minority Student Affairs|Northwestern University (Evanston, Ill.). Department of African American Student Affairs",,,"The images on this site are from material in the collections of the McCormick Library of Special Collections and University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8001ad65-8af6-4413-a6d6-ba647d9a5012/thumbnail,God is on our side #2,Public,Image
,P0396_NCEP_BUN09_007,,https://api.dc.library.northwestern.edu/api/v2/works/a2d4089d-ed36-43a8-9440-6e409947cbf2,Work,ark:/81985/n2z031r2f,507f6a06-75e5-4df9-9b20-f571bb43fed1|a9b629b3-3683-40cb-ac17-f738ab3a028b|ad516d4b-d93e-45b0-bbef-d0507eb12403|b4412dc1-e07e-4c33-abd9-cd2492ac8db6|bae117b9-c410-4369-83a6-24492e16d195|c94a1afc-841d-4e2d-8e39-909a0422d89d|f6b9f4b6-8e9e-44ed-bedb-e01dd385c042,,Bundle 9,https://dc.library.northwestern.edu/items/a2d4089d-ed36-43a8-9440-6e409947cbf2,,,Northwestern Community Ensemble (NCE),"Northwestern Community Ensemble|Pitts, Ronald E.|Pitts, Ronald E.",2021-06-16T18:25:32.107331Z,,f455a204-ff8b-439a-b799-f17e2bfa715a|4401ff9d-4063-45fb-ad29-cfd6c4b6e980,,1970s to 1980s,,recto,,,color photographs,a2d4089d-ed36-43a8-9440-6e409947cbf2,Accession: 2021-118,https://api.dc.library.northwestern.edu/api/v2/works/a2d4089d-ed36-43a8-9440-6e409947cbf2?as=iiif,2023-02-20T16:28:38.180682,P0394-P0396-NCE,P0396_NCE.csv,,,,University Archives,None,,2022-10-06T17:56:47.010662Z,,1 color photograph,,Level 1,"{'cycle': '2020', 'desc': ""The project consists of digitizing ~800 photographs and adding them to Meadow as part of the Records of African American Student Affairs. It's a digitization-only project. Request will need to be made for metadata."", 'manager': 'Dan Zellner', 'name': 'NCE Photos', 'proposer': 'Charla Wilson', 'task_number': 'P0396'}",Courtesy of Ronald E. Pitts,True,,,Related Information|Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/7924944b-f021-41cc-861f-48c8000cfa3a,,Copyright Undetermined,,Northwestern Community Ensemble (NCE)--Concert Programs and Photographs,,Done,,"Northwestern Community Ensemble|African American college students|Choirs (Music)|Music--Performance|Illinois--Evanston|Northwestern University (Evanston, Ill.)|Northwestern University (Evanston, Ill.). Department of Minority Student Affairs|Northwestern University (Evanston, Ill.). Department of African American Student Affairs",,,"The images on this site are from material in the collections of the McCormick Library of Special Collections and University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a2d4089d-ed36-43a8-9440-6e409947cbf2/thumbnail,God is on our side #2,Public,Image
,P0396_NCEP_BUN15_016,,https://api.dc.library.northwestern.edu/api/v2/works/a68ef7f0-4323-49d0-a397-2d1db0a17329,Work,ark:/81985/n2pv6dp88,507f6a06-75e5-4df9-9b20-f571bb43fed1|a9b629b3-3683-40cb-ac17-f738ab3a028b|ad516d4b-d93e-45b0-bbef-d0507eb12403|b4412dc1-e07e-4c33-abd9-cd2492ac8db6|bae117b9-c410-4369-83a6-24492e16d195|c94a1afc-841d-4e2d-8e39-909a0422d89d|f6b9f4b6-8e9e-44ed-bedb-e01dd385c042,,Bundle 15,https://dc.library.northwestern.edu/items/a68ef7f0-4323-49d0-a397-2d1db0a17329,,,Northwestern Community Ensemble (NCE),"Northwestern Community Ensemble|Pitts, Ronald E.|Pitts, Ronald E.",2021-06-16T18:26:03.280972Z,,4401ff9d-4063-45fb-ad29-cfd6c4b6e980|f455a204-ff8b-439a-b799-f17e2bfa715a,,1970s to 1980s,,recto,,,color photographs,a68ef7f0-4323-49d0-a397-2d1db0a17329,Accession: 2021-118,https://api.dc.library.northwestern.edu/api/v2/works/a68ef7f0-4323-49d0-a397-2d1db0a17329?as=iiif,2023-02-20T16:28:38.205159,P0394-P0396-NCE,P0396_NCE.csv,,,,University Archives,None,,2022-10-06T17:56:47.059281Z,,1 color photograph,,Level 1,"{'cycle': '2020', 'desc': ""The project consists of digitizing ~800 photographs and adding them to Meadow as part of the Records of African American Student Affairs. It's a digitization-only project. Request will need to be made for metadata."", 'manager': 'Dan Zellner', 'name': 'NCE Photos', 'proposer': 'Charla Wilson', 'task_number': 'P0396'}",Courtesy of Ronald E. Pitts,True,,,Related Information|Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/04c88ed3-42d8-4444-9182-32c63566f108,,Copyright Undetermined,,Northwestern Community Ensemble (NCE)--Concert Programs and Photographs,,Done,,"Northwestern Community Ensemble|African American college students|Choirs (Music)|Music--Performance|Illinois--Evanston|Northwestern University (Evanston, Ill.)|Northwestern University (Evanston, Ill.). Department of Minority Student Affairs|Northwestern University (Evanston, Ill.). Department of African American Student Affairs|Ohio--Cleveland",,,"The images on this site are from material in the collections of the McCormick Library of Special Collections and University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a68ef7f0-4323-49d0-a397-2d1db0a17329/thumbnail,Ronald E. Pitts. Cleveland,Public,Image
