abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Accession:duntley35740,,https://api.dc.library.northwestern.edu/api/v2/works/70987698-22bc-4334-95ba-2cfdb33a8fa1,Work,ark:/81985/n2h12vg55,12a489f9-65af-4e28-8a24-b88ec94cd329,,6,https://dc.library.northwestern.edu/items/70987698-22bc-4334-95ba-2cfdb33a8fa1,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-16T03:50:46.351967Z,,,,1899 to 1918,Description of box : G. Cramer Dry Plate Co.,inu-dil-a88f27b7-ad3c-45e4-9e54-dd42f2c6b21b.tif,,,gelatin dry plate negatives,70987698-22bc-4334-95ba-2cfdb33a8fa1,Item:282|75/31/30,https://api.dc.library.northwestern.edu/api/v2/works/70987698-22bc-4334-95ba-2cfdb33a8fa1?as=iiif,2023-02-20T16:04:00.487920,None,None,,,inu:dil-a88f27b7-ad3c-45e4-9e54-dd42f2c6b21b,University Archives,None,,2021-12-15T17:47:57.942947Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/fac8696c-d711-4408-be0b-cadcfeb9e40c,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/70987698-22bc-4334-95ba-2cfdb33a8fa1/thumbnail,Railroad tracks winding through countryside,Public,Image
,Accession:duntley35695,,https://api.dc.library.northwestern.edu/api/v2/works/722539c6-645d-4d25-aa98-055829c29ea7,Work,ark:/81985/n2td9nh1f,12a489f9-65af-4e28-8a24-b88ec94cd329,,5,https://dc.library.northwestern.edu/items/722539c6-645d-4d25-aa98-055829c29ea7,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-16T03:57:17.232330Z,,,,1899 to 1918,Description of box : Eastman's Dry Plates,inu-dil-540df471-90a1-4b4f-9be3-69b39083eeac.tif,,,gelatin dry plate negatives,722539c6-645d-4d25-aa98-055829c29ea7,75/31/30|Item:237,https://api.dc.library.northwestern.edu/api/v2/works/722539c6-645d-4d25-aa98-055829c29ea7?as=iiif,2023-02-20T16:04:23.507228,None,None,,,inu:dil-540df471-90a1-4b4f-9be3-69b39083eeac,University Archives,None,,2021-12-15T17:47:58.288731Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/52dbd11a-10ce-476f-9eb4-e8eff29d3c95,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois|Wooden-frame houses,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/722539c6-645d-4d25-aa98-055829c29ea7/thumbnail,"Wood frame house, exterior view",Public,Image
,Accession:duntley35510,,https://api.dc.library.northwestern.edu/api/v2/works/1f1ac632-913e-47f8-919f-f2510bfa2318,Work,ark:/81985/n2wh2dp3r,12a489f9-65af-4e28-8a24-b88ec94cd329,,1,https://dc.library.northwestern.edu/items/1f1ac632-913e-47f8-919f-f2510bfa2318,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-15T17:27:30.303409Z,,,,1899 to 1918,Description of box : Old broken cigar box,inu-dil-aec9b641-f746-4941-ae0e-6e4fa199dd90.tif,,,gelatin dry plate negatives,1f1ac632-913e-47f8-919f-f2510bfa2318,Item:52|75/31/30,https://api.dc.library.northwestern.edu/api/v2/works/1f1ac632-913e-47f8-919f-f2510bfa2318?as=iiif,2023-02-20T16:04:46.213428,None,None,,,inu:dil-aec9b641-f746-4941-ae0e-6e4fa199dd90,University Archives,None,,2021-12-15T17:47:58.766305Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,5 x 7 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/233c0215-e0ae-418e-bc41-5b7f3dfc652d,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/1f1ac632-913e-47f8-919f-f2510bfa2318/thumbnail,Unidentified boy and girl with wagon on steps of porch,Public,Image
,Accession:duntley35831,,https://api.dc.library.northwestern.edu/api/v2/works/068efb05-90e7-44b1-8243-36cb5023b4bf,Work,ark:/81985/n2cz32d2r,12a489f9-65af-4e28-8a24-b88ec94cd329,,8,https://dc.library.northwestern.edu/items/068efb05-90e7-44b1-8243-36cb5023b4bf,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-15T15:54:59.836901Z,,,,1899 to 1918,Description of box : Large cardboard box,inu-dil-49fa8c23-8e06-4053-98ba-1dc512540fce.tif,,,gelatin dry plate negatives,068efb05-90e7-44b1-8243-36cb5023b4bf,75/31/30|Item:373,https://api.dc.library.northwestern.edu/api/v2/works/068efb05-90e7-44b1-8243-36cb5023b4bf?as=iiif,2023-02-20T16:05:01.087829,None,None,,,inu:dil-49fa8c23-8e06-4053-98ba-1dc512540fce,University Archives,None,,2021-12-15T17:47:59.010802Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/30abaf1c-5b8a-49a7-bcae-f9e42ce72741,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/068efb05-90e7-44b1-8243-36cb5023b4bf/thumbnail,Dining room table set for a meal,Public,Image
,Accession:duntley35828,,https://api.dc.library.northwestern.edu/api/v2/works/b9e16e01-b3d2-4946-b99d-871833253dd2,Work,ark:/81985/n25d8np3c,12a489f9-65af-4e28-8a24-b88ec94cd329,,8,https://dc.library.northwestern.edu/items/b9e16e01-b3d2-4946-b99d-871833253dd2,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-16T15:10:25.764615Z,,,,1899 to 1918,Description of box : Large cardboard box,inu-dil-7de4656b-d980-47f2-87ba-77729afe70e5.tif,,,gelatin dry plate negatives,b9e16e01-b3d2-4946-b99d-871833253dd2,75/31/30|Item:370,https://api.dc.library.northwestern.edu/api/v2/works/b9e16e01-b3d2-4946-b99d-871833253dd2?as=iiif,2023-02-20T16:08:58.756437,None,None,,,inu:dil-7de4656b-d980-47f2-87ba-77729afe70e5,University Archives,None,,2021-12-15T17:48:02.010439Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/d312a3c8-511a-45aa-9661-68898f189c2a,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois|Wooden-frame houses,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b9e16e01-b3d2-4946-b99d-871833253dd2/thumbnail,House with two unidentified men and three women on porch,Public,Image
,Accession:duntley35821,,https://api.dc.library.northwestern.edu/api/v2/works/81b17741-9410-4a72-b0ba-4ffcec411163,Work,ark:/81985/n26688s99,12a489f9-65af-4e28-8a24-b88ec94cd329,,8,https://dc.library.northwestern.edu/items/81b17741-9410-4a72-b0ba-4ffcec411163,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-16T05:06:27.543325Z,,,,1899 to 1918,Description of box : Large cardboard box,inu-dil-8a96939e-279c-4b73-9180-3bd9c1246d87.tif,,,gelatin dry plate negatives,81b17741-9410-4a72-b0ba-4ffcec411163,75/31/30|Item:363,https://api.dc.library.northwestern.edu/api/v2/works/81b17741-9410-4a72-b0ba-4ffcec411163?as=iiif,2023-02-20T16:09:43.736745,None,None,,,inu:dil-8a96939e-279c-4b73-9180-3bd9c1246d87,University Archives,None,,2021-12-15T17:48:03.426462Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/b3fb0ded-aaaf-4ba2-98b9-5967788763c1,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/81b17741-9410-4a72-b0ba-4ffcec411163/thumbnail,Two unidentified girls sitting on porch - one holding a doll and the other with a cat,Public,Image
,Accession:duntley35788,,https://api.dc.library.northwestern.edu/api/v2/works/829d0270-e117-48e8-a111-ed1e730dcf27,Work,ark:/81985/n2445hm5k,12a489f9-65af-4e28-8a24-b88ec94cd329,,7,https://dc.library.northwestern.edu/items/829d0270-e117-48e8-a111-ed1e730dcf27,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-16T05:10:10.622380Z,,,,1899 to 1918,Description of box : No label on top,inu-dil-2f4c11df-c116-4bcd-bca2-ff585eaec7ea.tif,,,gelatin dry plate negatives,829d0270-e117-48e8-a111-ed1e730dcf27,75/31/30|Item:330,https://api.dc.library.northwestern.edu/api/v2/works/829d0270-e117-48e8-a111-ed1e730dcf27?as=iiif,2023-02-20T16:09:48.150743,None,None,,,inu:dil-2f4c11df-c116-4bcd-bca2-ff585eaec7ea,University Archives,None,,2021-12-15T17:48:03.494520Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/6a50a086-82f1-4451-a68b-9a6cae4bdca4,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,"Illinois|Locomotives|Toledo, Peoria and Western Railway Company",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/829d0270-e117-48e8-a111-ed1e730dcf27/thumbnail,"Locomotive for Toledo, Peoria and Western Railway Company",Public,Image
,Accession:duntley35638,,https://api.dc.library.northwestern.edu/api/v2/works/865d493b-bd88-4566-8bc2-2739ba6611be,Work,ark:/81985/n2kk94m4k,12a489f9-65af-4e28-8a24-b88ec94cd329,,4,https://dc.library.northwestern.edu/items/865d493b-bd88-4566-8bc2-2739ba6611be,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-16T05:27:16.569251Z,,,,1899 to 1918,Description of box : Green paper on top,inu-dil-a8b0365f-1660-4294-aa33-d0dddaeaef6d.tif,,,gelatin dry plate negatives,865d493b-bd88-4566-8bc2-2739ba6611be,75/31/30|Item:180,https://api.dc.library.northwestern.edu/api/v2/works/865d493b-bd88-4566-8bc2-2739ba6611be?as=iiif,2023-02-20T16:10:00.758654,None,None,,,inu:dil-a8b0365f-1660-4294-aa33-d0dddaeaef6d,University Archives,None,,2021-12-15T17:48:03.894217Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/144beb76-3a66-4903-86ab-8472702d6d5b,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/865d493b-bd88-4566-8bc2-2739ba6611be/thumbnail,"Portrait of man seated, holding book",Public,Image
,Accession:duntley35853,,https://api.dc.library.northwestern.edu/api/v2/works/9b496977-ec40-4ce9-b559-b57a86727563,Work,ark:/81985/n2vt1gz23,12a489f9-65af-4e28-8a24-b88ec94cd329,,8,https://dc.library.northwestern.edu/items/9b496977-ec40-4ce9-b559-b57a86727563,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-16T12:36:55.479612Z,,,,1899 to 1918,Description of box : Large cardboard box,inu-dil-b6e1081a-17a0-4a90-87a5-e0b01a602213.tif,,,gelatin dry plate negatives,9b496977-ec40-4ce9-b559-b57a86727563,75/31/30|Item:395,https://api.dc.library.northwestern.edu/api/v2/works/9b496977-ec40-4ce9-b559-b57a86727563?as=iiif,2023-02-20T16:11:32.191293,None,None,,,inu:dil-b6e1081a-17a0-4a90-87a5-e0b01a602213,University Archives,None,,2021-12-15T17:48:06.431774Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/9f52c2db-6026-4a16-836b-82866f22b9c5,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/9b496977-ec40-4ce9-b559-b57a86727563/thumbnail,Unidentified woman standing next to table,Public,Image
,Accession:duntley35660,,https://api.dc.library.northwestern.edu/api/v2/works/9b5b19e0-51e6-4706-806d-c6b12c7a625b,Work,ark:/81985/n28k7550p,12a489f9-65af-4e28-8a24-b88ec94cd329,,4,https://dc.library.northwestern.edu/items/9b5b19e0-51e6-4706-806d-c6b12c7a625b,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-16T12:37:12.957956Z,,,,1899 to 1918,Description of box : Packed by No. 5,inu-dil-43ce35b2-c4b9-4aab-9726-b7127a4a8501.tif,,,gelatin dry plate negatives,9b5b19e0-51e6-4706-806d-c6b12c7a625b,Item:202|75/31/30,https://api.dc.library.northwestern.edu/api/v2/works/9b5b19e0-51e6-4706-806d-c6b12c7a625b?as=iiif,2023-02-20T16:11:32.207866,None,None,,,inu:dil-43ce35b2-c4b9-4aab-9726-b7127a4a8501,University Archives,None,,2021-12-15T17:48:06.451447Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/f7992908-6e39-47de-8e25-82520fa21129,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/9b5b19e0-51e6-4706-806d-c6b12c7a625b/thumbnail,Woman standing on steps and holding a screen door open,Public,Image
,Accession:duntley35559,,https://api.dc.library.northwestern.edu/api/v2/works/a1280b28-c1f4-4223-90c6-f955a0f7ee6e,Work,ark:/81985/n2tx35f5k,12a489f9-65af-4e28-8a24-b88ec94cd329,,2,https://dc.library.northwestern.edu/items/a1280b28-c1f4-4223-90c6-f955a0f7ee6e,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-16T13:03:14.665401Z,,,,1899 to 1918,Description of box : Wrapped in newspaper,inu-dil-c02e0690-8e4e-42b2-87b2-3c05f24d6255.tif,,,cellulose nitrate film,a1280b28-c1f4-4223-90c6-f955a0f7ee6e,Item:101|75/31/30,https://api.dc.library.northwestern.edu/api/v2/works/a1280b28-c1f4-4223-90c6-f955a0f7ee6e?as=iiif,2023-02-20T16:11:52.656593,None,None,,,inu:dil-c02e0690-8e4e-42b2-87b2-3c05f24d6255,University Archives,None,,2021-12-15T17:48:07.039298Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",cellulose nitrate film,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/0e8fc8db-1e6e-4c1d-8736-8665b0e77483,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a1280b28-c1f4-4223-90c6-f955a0f7ee6e/thumbnail,Building with men passing by,Public,Image
,Accession:duntley35751,,https://api.dc.library.northwestern.edu/api/v2/works/b0a7b767-ad82-4eef-9af8-266abaf12db5,Work,ark:/81985/n2f18sp46,12a489f9-65af-4e28-8a24-b88ec94cd329,,6,https://dc.library.northwestern.edu/items/b0a7b767-ad82-4eef-9af8-266abaf12db5,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-16T14:17:53.856393Z,,,,1899 to 1918,Description of box : G. Cramer Dry Plate Co.,inu-dil-eafb47a8-ed18-479c-99fc-33d3dd296efc.tif,,,gelatin dry plate negatives,b0a7b767-ad82-4eef-9af8-266abaf12db5,Item:293|75/31/30,https://api.dc.library.northwestern.edu/api/v2/works/b0a7b767-ad82-4eef-9af8-266abaf12db5?as=iiif,2023-02-20T16:12:59.014950,None,None,featured,,inu:dil-eafb47a8-ed18-479c-99fc-33d3dd296efc,University Archives,None,,2023-02-02T14:24:52.831626Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/b50a95f8-1e1f-4e95-abac-abec128d0ba3,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b0a7b767-ad82-4eef-9af8-266abaf12db5/thumbnail,Unidentified woman sitting on the back of row boat with feet in water,Public,Image
,Accession:duntley35732,,https://api.dc.library.northwestern.edu/api/v2/works/b35e4d72-06a8-488f-b4bb-27bdbee0c26d,Work,ark:/81985/n2ms3k903,12a489f9-65af-4e28-8a24-b88ec94cd329,,6,https://dc.library.northwestern.edu/items/b35e4d72-06a8-488f-b4bb-27bdbee0c26d,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-16T14:32:47.725416Z,,,,1899 to 1918,Description of box : G. Cramer Dry Plate Co.,inu-dil-5c9fc53c-8759-436a-b15a-8dda61a07915.tif,,,gelatin dry plate negatives,b35e4d72-06a8-488f-b4bb-27bdbee0c26d,75/31/30|Item:274,https://api.dc.library.northwestern.edu/api/v2/works/b35e4d72-06a8-488f-b4bb-27bdbee0c26d?as=iiif,2023-02-20T16:13:20.284122,None,None,,,inu:dil-5c9fc53c-8759-436a-b15a-8dda61a07915,University Archives,None,,2021-12-15T17:48:09.636267Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/7baa34c3-caa6-4219-8c2e-905bace89ada,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b35e4d72-06a8-488f-b4bb-27bdbee0c26d/thumbnail,Five unidentified women ice skating,Public,Image
,Accession:duntley35714,,https://api.dc.library.northwestern.edu/api/v2/works/c13170dc-6d15-4b46-b4bf-f28a249bc314,Work,ark:/81985/n2348gq5b,12a489f9-65af-4e28-8a24-b88ec94cd329,,5,https://dc.library.northwestern.edu/items/c13170dc-6d15-4b46-b4bf-f28a249bc314,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-16T15:51:09.960799Z,,,,1899 to 1918,Description of box : Cider box,inu-dil-65a319c2-aa02-4415-a1f2-66d513c35639.tif,,,gelatin dry plate negatives,c13170dc-6d15-4b46-b4bf-f28a249bc314,75/31/30|Item:256,https://api.dc.library.northwestern.edu/api/v2/works/c13170dc-6d15-4b46-b4bf-f28a249bc314?as=iiif,2023-02-20T16:14:31.062787,None,None,,,inu:dil-65a319c2-aa02-4415-a1f2-66d513c35639,University Archives,None,,2021-12-15T17:48:11.905264Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/2a14a228-eea1-4eaa-866e-f6e3f1cc3faa,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois--Chicago--Grant Park|Illinois|Locomotives|Art Institute of Chicago,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/c13170dc-6d15-4b46-b4bf-f28a249bc314/thumbnail,Railroad tracks with locomotive and Art Institute of Chicago in background.,Public,Image
,Accession:duntley35585,,https://api.dc.library.northwestern.edu/api/v2/works/c6ba419a-a2d5-4883-8786-58deda3132f2,Work,ark:/81985/n2p26qb92,12a489f9-65af-4e28-8a24-b88ec94cd329,,3,https://dc.library.northwestern.edu/items/c6ba419a-a2d5-4883-8786-58deda3132f2,,,"George Silas Duntley (1879-1957) Photographs, circa 1899-1918","Duntley, George Silas",2021-03-16T16:22:13.134620Z,,,,1899 to 1918,Description of box : M.A. Seed Dry Plate Co.,inu-dil-6c2e59a3-7e3f-463f-9984-203f6afb0a17.tif,,,gelatin dry plate negatives,c6ba419a-a2d5-4883-8786-58deda3132f2,Item:127|75/31/30,https://api.dc.library.northwestern.edu/api/v2/works/c6ba419a-a2d5-4883-8786-58deda3132f2?as=iiif,2023-02-20T16:14:53.699377,None,None,,,inu:dil-6c2e59a3-7e3f-463f-9984-203f6afb0a17,University Archives,None,,2021-12-15T17:48:12.653643Z,"{'note': 'Courtesy of Northwestern University Archives, George S. Duntley Photographs', 'type': 'General Note'}",glass plate negative,4 x 5 inches,Level 1,"{'cycle': '2016', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Duntley Photographs', 'proposer': 'Kevin Leonard', 'task_number': 'Job:11795'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/fab30d45-223e-4dae-8d3f-9d7c4510d80b,,In Copyright - Rights-holder(s) Unlocatable or Unidentifiable,,,,Done,,Illinois,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/c6ba419a-a2d5-4883-8786-58deda3132f2/thumbnail,Two women with baby in wicker carriage,Public,Image
