abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:gf06g2842,,https://api.dc.library.northwestern.edu/api/v2/works/b805d9d0-97a3-458e-aaa0-cdb060d9f2db,Work,ark:/81985/n2v40nh3j,9e0fc7db-852d-4369-a3c0-945faffb29a3|c50399af-a6ac-4355-b365-20c12f0f65d2,,,https://dc.library.northwestern.edu/items/b805d9d0-97a3-458e-aaa0-cdb060d9f2db,,,Otto Graham Collection,"Feller, Bob, 1918-2010",2022-01-21T06:10:37.192409Z,"Graham, Otto, 1921-2003",98a5f7cf-aba4-40f2-943d-506e4202e500,,1900s,"Baseball player Bob Feller is special guest on the radio program ""20 Questions""",Disc 24: Side A|Disc 24: Side B|Disc 24: Side A|Disc 24: Side B|zc77sq117/gf06g2842.mods.xml|Disc 24: Side A technical metadata file|Disc 24: Side B technical metadata file|Disc 24 image|Disc 24 image,,,lacquer discs,b805d9d0-97a3-458e-aaa0-cdb060d9f2db,,https://api.dc.library.northwestern.edu/api/v2/works/b805d9d0-97a3-458e-aaa0-cdb060d9f2db?as=iiif,2023-02-20T16:29:17.850836,AVR Migration,avr_migration.csv,,English,gf06g2842,University Archives,None,,2022-09-23T17:28:56.266188Z,,,,Level 1,"{'cycle': '2017', 'desc': 'Digitization of Otto Graham audio', 'manager': 'Dan Zellner', 'name': 'Otto Graham Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0460'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/3a0c27a2-3e64-4c9b-a096-ab785c702cca,,Copyright Not Evaluated,,,,Done,,,,,"The audiovisual recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b805d9d0-97a3-458e-aaa0-cdb060d9f2db/thumbnail,20 Questions with Bob Feller,Institution,Audio
,avr:6q182k30f,,https://api.dc.library.northwestern.edu/api/v2/works/ff055042-556c-4bff-a858-2a0d294ea4af,Work,ark:/81985/n2gt5j010,9e0fc7db-852d-4369-a3c0-945faffb29a3|c50399af-a6ac-4355-b365-20c12f0f65d2,,,https://dc.library.northwestern.edu/items/ff055042-556c-4bff-a858-2a0d294ea4af,,,Otto Graham Collection,,2022-01-21T06:08:41.938618Z,"Graham, Otto, 1921-2003",98a5f7cf-aba4-40f2-943d-506e4202e500,,"February 4, 1944",,Disc 5: Side A|Disc 5: Side B|Disc 6: Side A|Disc 6: Side B|Disc 7: Side A|Disc 7: Side B|Disc 8: Side A|Disc 8: Side B|Disc 5: Side A|Disc 5: Side B|Disc 6: Side A|Disc 6: Side B|Disc 7: Side A|Disc 7: Side B|Disc 8: Side A|Disc 8: Side B|zc77sq117/6q182k30f.mods.xml|Disc 5: Side A technical metadata file|Disc 5: Side B technical metadata file|Disc 6: Side A technical metadata file|Disc 6: Side B technical metadata file|Disc 7: Side A technical metadata file|Disc 7: Side B technical metadata file|Disc 8: Side A technical metadata file|Disc 8: Side B technical metadata file|Disc 5 image|Disc 5 image|Disc 5 image|Disc 6 image|Disc 6 image|Disc 6 image|Disc 7 image|Disc 7 image|Disc 7 image|Disc 8 image|Disc 8 image,,,lacquer discs,ff055042-556c-4bff-a858-2a0d294ea4af,,https://api.dc.library.northwestern.edu/api/v2/works/ff055042-556c-4bff-a858-2a0d294ea4af?as=iiif,2023-02-20T16:42:39.741576,AVR Migration,avr_migration.csv,,English,6q182k30f,University Archives,None,,2022-09-23T17:34:01.568383Z,"{'note': 'Beginning sound is uneven. Fast forwards near middle dropout. Second half is much clearer.', 'type': 'Local Note'}",,,Level 1,"{'cycle': '2017', 'desc': 'Digitization of Otto Graham audio', 'manager': 'Dan Zellner', 'name': 'Otto Graham Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0460'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/21e3cf46-65a0-43a3-853e-fc4567399bf3,,Copyright Not Evaluated,,,,Done,,"Northwestern University (Evanston, Ill.)--Basketball--History|Northwestern Wildcats (Basketball team)",,,"The audiovisual recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/ff055042-556c-4bff-a858-2a0d294ea4af/thumbnail,Northwestern Basketball vs. Wisconsin,Institution,Audio
,avr:ms35t878w,,https://api.dc.library.northwestern.edu/api/v2/works/b09ab593-8b36-4a77-b45c-ee764b047e53,Work,ark:/81985/n2mc8v05j,9e0fc7db-852d-4369-a3c0-945faffb29a3|c50399af-a6ac-4355-b365-20c12f0f65d2,,,https://dc.library.northwestern.edu/items/b09ab593-8b36-4a77-b45c-ee764b047e53,,,Otto Graham Collection,"Waldorf, Lynn O., 1902-1981|Graham, Vic",2022-01-21T06:06:53.313868Z,"Graham, Otto, 1921-2003",98a5f7cf-aba4-40f2-943d-506e4202e500,,"November 6, 1943",Recorded by Vic Graham,"Disc 1: Second Quarter|Disc 2: Second Quarter, Halftime|Disc 3: Third Quarter|Disc 4: Third Quarter|Disc 5: Fourth Quarter|Disc 6: Fourth Quarter, After Game|Disc 1: Second Quarter|Disc 2: Second Quarter, Halftime|Disc 3: Third Quarter|Disc 4: Third Quarter|Disc 5: Fourth Quarter|Disc 6: Fourth Quarter, After Game|zc77sq117/ms35t878w.mods.xml|Disc 1: Second Quarter technical metadata file|Disc 2: Second Quarter, Halftime technical metadata file|Disc 3: Third Quarter technical metadata file|Disc 4: Third Quarter technical metadata file|Disc 5: Fourth Quarter technical metadata file|Disc 6: Fourth Quarter, After Game technical metadata file|Disc 1: Second Quarter image|Disc 1: Second Quarter image|Disc 2: Second Quarter, Halftime image|Disc 2: Second Quarter, Halftime image|Disc 3: Third Quarter image|Disc 3: Third Quarter image|Disc 4: Third Quarter image|Disc 4: Third Quarter image|Disc 5: Fourth Quarter image|Disc 5: Fourth Quarter image|Disc 6: Fourth Quarter, After Game image|Disc 6: Fourth Quarter, After Game image",,,lacquer discs,b09ab593-8b36-4a77-b45c-ee764b047e53,,https://api.dc.library.northwestern.edu/api/v2/works/b09ab593-8b36-4a77-b45c-ee764b047e53?as=iiif,2023-02-20T16:42:39.538505,AVR Migration,avr_migration.csv,,English,ms35t878w,University Archives,None,,2022-09-23T17:26:58.585630Z,,,,Level 1,"{'cycle': '2017', 'desc': 'Digitization of Otto Graham audio', 'manager': 'Dan Zellner', 'name': 'Otto Graham Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0460'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/97105350-8a64-4d8c-9b15-faec5aafa8b8,,Copyright Not Evaluated,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Wisconsin--Football--History|Wisconsin Badgers (Football team)",,,"The audiovisual recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b09ab593-8b36-4a77-b45c-ee764b047e53/thumbnail,Northwestern Football vs. Wisconsin,Institution,Audio
,avr:q524jn91z,,https://api.dc.library.northwestern.edu/api/v2/works/a222aed2-ccb0-446e-b14b-8613032cbbe0,Work,ark:/81985/n2fx76g80,9e0fc7db-852d-4369-a3c0-945faffb29a3|c50399af-a6ac-4355-b365-20c12f0f65d2,,,https://dc.library.northwestern.edu/items/a222aed2-ccb0-446e-b14b-8613032cbbe0,,,Otto Graham Collection,,2022-01-21T06:12:32.239334Z,"Graham, Otto, 1921-2003",98a5f7cf-aba4-40f2-943d-506e4202e500,,"December 26, 1954","Highlights of commentary from the 1954 NFL Championship Game, played December 26, 1954, at the Cleveland Municipal Stadium. Graham scored three touchdowns",Disc 23: Side B|Disc 2: Side B|Disc 2: Side A|Disc 23: Side A|Disc 23: Side B|Disc 2: Side B|Disc 2: Side A|Disc 23: Side A|zc77sq117/q524jn91z.mods.xml|Disc 23: Side A technical metadata file|Disc 23: Side B technical metadata file|Disc 2: Side A technical metadata file|Disc 2: Side B technical metadata file|Disc 23 image|Disc 23 image|Disc 2 image|Disc 2 image|Disc 2 image,,,lacquer discs,a222aed2-ccb0-446e-b14b-8613032cbbe0,,https://api.dc.library.northwestern.edu/api/v2/works/a222aed2-ccb0-446e-b14b-8613032cbbe0?as=iiif,2023-02-20T16:42:39.595636,AVR Migration,avr_migration.csv,,English,q524jn91z,University Archives,None,,2022-09-23T17:30:04.232024Z,"{'note': 'Fast forward blip around 5:05', 'type': 'Local Note'}",,,Level 1,"{'cycle': '2017', 'desc': 'Digitization of Otto Graham audio', 'manager': 'Dan Zellner', 'name': 'Otto Graham Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0460'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/f74b3a12-37f5-4431-b03c-d512ad16b393,,Copyright Not Evaluated,,,,Done,,Detroit Lions (Football team)|Cleveland Browns (Football team : 1946-1995),23B #1 -- 2B #2 -- 2A #5 -- 23A #6,,"The audiovisual recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a222aed2-ccb0-446e-b14b-8613032cbbe0/thumbnail,Browns vs. Lions,Institution,Audio
,avr:4m90dv707,,https://api.dc.library.northwestern.edu/api/v2/works/84956cc6-c164-4a90-83d3-a3f36353e373,Work,ark:/81985/n2ms3nm2x,9e0fc7db-852d-4369-a3c0-945faffb29a3|c50399af-a6ac-4355-b365-20c12f0f65d2,,,https://dc.library.northwestern.edu/items/84956cc6-c164-4a90-83d3-a3f36353e373,,,Otto Graham Collection,,2022-01-21T06:22:39.861155Z,"Graham, Otto, 1921-2003",98a5f7cf-aba4-40f2-943d-506e4202e500,,1900s,,Disc 12: Side A|Disc 12: Side B|Disc 12: Side A|Disc 12: Side B|zc77sq117/4m90dv707.mods.xml|Disc 12: Side A technical metadata file|Disc 12: Side B technical metadata file|Disc 12 image|Disc 12 image,,,lacquer discs,84956cc6-c164-4a90-83d3-a3f36353e373,,https://api.dc.library.northwestern.edu/api/v2/works/84956cc6-c164-4a90-83d3-a3f36353e373?as=iiif,2023-02-20T16:42:39.666651,AVR Migration,avr_migration.csv,,English,4m90dv707,University Archives,None,,2022-09-23T17:29:26.917296Z,,,,Level 1,"{'cycle': '2017', 'desc': 'Digitization of Otto Graham audio', 'manager': 'Dan Zellner', 'name': 'Otto Graham Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0460'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/7ec42495-0d16-4454-98bb-34037e882820,,Copyright Not Evaluated,,,,Done,,,,,"The audiovisual recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/84956cc6-c164-4a90-83d3-a3f36353e373/thumbnail,Otto Graham Banquet Set 1,Institution,Audio
,avr:rj430460z,,https://api.dc.library.northwestern.edu/api/v2/works/4614682a-9c56-41a9-87cc-bb06dc0ad993,Work,ark:/81985/n2rj4cd05,9e0fc7db-852d-4369-a3c0-945faffb29a3|c50399af-a6ac-4355-b365-20c12f0f65d2,,,https://dc.library.northwestern.edu/items/4614682a-9c56-41a9-87cc-bb06dc0ad993,,,Otto Graham Collection,,2022-01-21T06:12:20.961284Z,"Graham, Otto, 1921-2003",98a5f7cf-aba4-40f2-943d-506e4202e500,,"January 19, 1944","3A, 3B, & 4A: Otto and Alex speeches at banquet. -- 17A-B: Arch Ward broadcast on WGN. -- Rest of the recordings are from the banquet.",Disc 3: Side A|Disc 3: Side B|Disc 4: Side A|Disc 17: Side A|Disc 17: Side B|Disc 18: Side A|Disc 19: Side B|Disc 20: Side A|Disc 20: Side B|Disc 21: Side A|Disc 21: Side B|Disc 3: Side A|Disc 3: Side B|Disc 4: Side A|Disc 17: Side A|Disc 17: Side B|Disc 18: Side A|Disc 19: Side B|Disc 20: Side A|Disc 20: Side B|Disc 21: Side A|Disc 21: Side B|zc77sq117/rj430460z.mods.xml|Disc 3: Side A technical metadata file|Disc 3: Side B technical metadata file|Disc 4: Side A technical metadata file|Disc 4: Side B technical metadata file|Disc 17: Side A technical metadata file|Disc 17: Side B technical metadata file|Disc 18: Side A technical metadata file|Disc 18: Side B technical metadata file|Disc 19: Side A technical metadata file|Disc 19: Side B technical metadata file|Disc 20: Side A technical metadata file|Disc 20: Side B technical metadata file|Disc 21: Side A technical metadata file|Disc 21: Side B technical metadata file|Disc 3 image|Disc 3 image|Disc 4 image|Disc 4 image|Disc 4 image|Disc 17 image|Disc 17 image|Disc 17 image|Disc 18 image|Disc 18 image|Disc 18 image|Disc 19 image|Disc 19 image|Disc 19 image|Disc 20 image|Disc 20 image|Disc 20 image|Disc 21 image|Disc 21 image,,,lacquer discs,4614682a-9c56-41a9-87cc-bb06dc0ad993,,https://api.dc.library.northwestern.edu/api/v2/works/4614682a-9c56-41a9-87cc-bb06dc0ad993?as=iiif,2023-02-20T16:42:39.675163,AVR Migration,avr_migration.csv,,English,rj430460z,University Archives,None,,2022-09-23T17:30:52.749559Z,"{'note': 'Audio is very difficult to understand and there is an intermittent squeaking noise throughout. Loud background hiss through first 2/3. Side A has a looped groove approximately 3 minutes into the side. The needle had to be manually advanced. Three seconds of silence was left on the file during this section.', 'type': 'Local Note'}",,,Level 1,"{'cycle': '2017', 'desc': 'Digitization of Otto Graham audio', 'manager': 'Dan Zellner', 'name': 'Otto Graham Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0460'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/ce8638f4-8147-41a9-9f10-8d2bec98ac86,,Copyright Not Evaluated,,,,Done,,,,,"The audiovisual recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/4614682a-9c56-41a9-87cc-bb06dc0ad993/thumbnail,Bardoner & Swerman Banquet,Institution,Audio
,avr:8623hx88m,,https://api.dc.library.northwestern.edu/api/v2/works/66de228a-f7e0-4e81-9c37-dd27b3bf1441,Work,ark:/81985/n2h12xr5k,9e0fc7db-852d-4369-a3c0-945faffb29a3|c50399af-a6ac-4355-b365-20c12f0f65d2,,,https://dc.library.northwestern.edu/items/66de228a-f7e0-4e81-9c37-dd27b3bf1441,,,Otto Graham Collection,"Ward, Arch, 1896-1955",2022-01-21T06:06:34.994496Z,"Graham, Otto, 1921-2003",98a5f7cf-aba4-40f2-943d-506e4202e500,,"April 27, 1955",,Disc 16: Side A|Disc 16: Side A|zc77sq117/8623hx88m.mods.xml|Disc 16: Side A technical metadata file|Disc 16 image|Disc 16 image|Disc 16 image,,,lacquer discs,66de228a-f7e0-4e81-9c37-dd27b3bf1441,,https://api.dc.library.northwestern.edu/api/v2/works/66de228a-f7e0-4e81-9c37-dd27b3bf1441?as=iiif,2023-02-20T16:42:39.681790,AVR Migration,avr_migration.csv,,English,8623hx88m,University Archives,None,,2022-09-23T17:31:16.050459Z,"{'note': 'Side B of disc 16 is blank.', 'type': 'Local Note'}",,,Level 1,"{'cycle': '2017', 'desc': 'Digitization of Otto Graham audio', 'manager': 'Dan Zellner', 'name': 'Otto Graham Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0460'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/72a630fb-ed90-4d2b-a409-b61ebd8e3138,,Copyright Not Evaluated,,,,Done,,,,,"The audiovisual recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/66de228a-f7e0-4e81-9c37-dd27b3bf1441/thumbnail,Interview with Arch Ward,Institution,Audio
,avr:b5644r65x,,https://api.dc.library.northwestern.edu/api/v2/works/a7576d50-90fe-4f3f-8d8c-569ebaca6a20,Work,ark:/81985/n2mk67t6n,9e0fc7db-852d-4369-a3c0-945faffb29a3|c50399af-a6ac-4355-b365-20c12f0f65d2,,,https://dc.library.northwestern.edu/items/a7576d50-90fe-4f3f-8d8c-569ebaca6a20,,,Otto Graham Collection,"Gross, Mason Welch, 1911-1977|Kennedy, John F. (John Fitzgerald), 1917-1963|Hope, Bob, 1903-2003",2022-01-21T06:23:48.611055Z,"Graham, Otto, 1921-2003",98a5f7cf-aba4-40f2-943d-506e4202e500,,"December 5, 1961",Sports Illustrated Silver Anniversary All-America,Disc 22: Side A|Disc 22: Side B|Disc 22: Side A|Disc 22: Side B|zc77sq117/b5644r65x.mods.xml|Disc 22: Side A technical metadata file|Disc 22: Side B technical metadata file|Disc 22 image|Disc 22 image,,,lacquer discs,a7576d50-90fe-4f3f-8d8c-569ebaca6a20,,https://api.dc.library.northwestern.edu/api/v2/works/a7576d50-90fe-4f3f-8d8c-569ebaca6a20?as=iiif,2023-02-20T16:33:11.319835,AVR Migration,avr_migration.csv,,English,b5644r65x,University Archives,None,,2022-09-23T17:26:31.253102Z,,,,Level 1,"{'cycle': '2017', 'desc': 'Digitization of Otto Graham audio', 'manager': 'Dan Zellner', 'name': 'Otto Graham Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0460'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/a7dc381a-663b-4edb-aa74-1464598eb5a2,,Copyright Not Evaluated,,,,Done,,,,,"The audiovisual recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a7576d50-90fe-4f3f-8d8c-569ebaca6a20/thumbnail,National Football Foundation and Hall of Fame Dinner,Institution,Audio
,avr:dz010q22v,,https://api.dc.library.northwestern.edu/api/v2/works/9f6eb0b3-7596-4e9a-b225-9a7b00790b30,Work,ark:/81985/n2c24t562,9e0fc7db-852d-4369-a3c0-945faffb29a3|c50399af-a6ac-4355-b365-20c12f0f65d2,,,https://dc.library.northwestern.edu/items/9f6eb0b3-7596-4e9a-b225-9a7b00790b30,,,Otto Graham Collection,,2022-01-21T06:08:42.134136Z,"Graham, Otto, 1921-2003",98a5f7cf-aba4-40f2-943d-506e4202e500,,"June 18, 1943",Just before leaving for Chicago to take train for Washington (3:15 pm). Gr.Vie (?) & Mother drove us. Grandad made (??) recording,Disc 4: Side B|Disc 4: Side B|zc77sq117/dz010q22v.mods.xml,,,lacquer discs,9f6eb0b3-7596-4e9a-b225-9a7b00790b30,,https://api.dc.library.northwestern.edu/api/v2/works/9f6eb0b3-7596-4e9a-b225-9a7b00790b30?as=iiif,2023-02-20T16:33:11.975481,AVR Migration,avr_migration.csv,,English,dz010q22v,University Archives,None,,2022-07-20T15:15:16.822160Z,"{'note': 'Side B is a recording of the family at home (sounds of parents playing with and talking to a baby, and the baby laughing)', 'type': 'General Note'}",,,Level 1,"{'cycle': '2017', 'desc': 'Digitization of Otto Graham audio', 'manager': 'Dan Zellner', 'name': 'Otto Graham Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0460'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,,,,"The audiovisual recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/9f6eb0b3-7596-4e9a-b225-9a7b00790b30/thumbnail,Judy Ann Laughing,Institution,Audio
,avr:rr171x34x,,https://api.dc.library.northwestern.edu/api/v2/works/0a857460-27f8-494c-b9ea-fdd987a1cbdc,Work,ark:/81985/n2v40nh9f,9e0fc7db-852d-4369-a3c0-945faffb29a3|c50399af-a6ac-4355-b365-20c12f0f65d2,,,https://dc.library.northwestern.edu/items/0a857460-27f8-494c-b9ea-fdd987a1cbdc,,,Otto Graham Collection,"Waldorf, Lynn O., 1902-1981",2022-01-21T06:19:07.772861Z,"Graham, Otto, 1921-2003",98a5f7cf-aba4-40f2-943d-506e4202e500,,"November 1, 1941","Otto Graham  Minn - N.U.  ""41""  Touchdown",Side A|Side B|Side A|Side B|zc77sq117/rr171x34x.mods.xml|Side A technical metadata file|Side B technical metadata file|Side A image|Side A image|Side A image|Side B image|Side B image|Side B image,,,lacquer discs,0a857460-27f8-494c-b9ea-fdd987a1cbdc,,https://api.dc.library.northwestern.edu/api/v2/works/0a857460-27f8-494c-b9ea-fdd987a1cbdc?as=iiif,2023-02-20T16:42:39.521264,AVR Migration,avr_migration.csv,,English,rr171x34x,University Archives,None,,2022-09-23T17:27:42.890772Z,,,,Level 1,"{'cycle': '2017', 'desc': 'Digitization of Otto Graham audio', 'manager': 'Dan Zellner', 'name': 'Otto Graham Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0460'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/51b31943-2cba-4272-a8cb-6d6e8477c2cd,,Copyright Not Evaluated,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Minnesota--Football--History|Minnesota Golden Gophers (Football team)",,,"The audiovisual recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0a857460-27f8-494c-b9ea-fdd987a1cbdc/thumbnail,Northwestern Football vs. Minnesota,Institution,Audio
,avr:qv33rw76p,,https://api.dc.library.northwestern.edu/api/v2/works/d899a724-ba07-49f9-9d43-de871f4e6a21,Work,ark:/81985/n26q1w13h,9e0fc7db-852d-4369-a3c0-945faffb29a3|c50399af-a6ac-4355-b365-20c12f0f65d2,,,https://dc.library.northwestern.edu/items/d899a724-ba07-49f9-9d43-de871f4e6a21,,,Otto Graham Collection,,2022-01-21T06:07:23.130873Z,"Graham, Otto, 1921-2003",98a5f7cf-aba4-40f2-943d-506e4202e500,,"February 20, 1955",Banquet speeches in honor of Otto Graham,Disc 9: Side B|Disc 9: Side A|Disc 10: Side A|Disc 10: Side B|Disc 11: Side A|Disc 11: Side B|Disc 13: Side A|Disc 13: Side B|Disc 14: Side A|Disc 9: Side B|Disc 9: Side A|Disc 10: Side A|Disc 10: Side B|Disc 11: Side A|Disc 11: Side B|Disc 13: Side A|Disc 13: Side B|Disc 14: Side A|zc77sq117/qv33rw76p.mods.xml|Disc 9: Side A technical metadata file|Disc 9: Side B technical metadata file|Disc 10: Side A technical metadata file|Disc 10: Side B technical metadata file|Disc 11: Side A technical metadata file|Disc 11: Side B technical metadata file|Disc 13: Side A technical metadata file|Disc 13: Side B technical metadata file|Disc 14: Side A technical metadata file|Disc 9 image|Disc 9 image|Disc 9 image|Disc 10 image|Disc 10 image|Disc 11 image|Disc 11 image|Disc 13 image|Disc 13 image|Disc 14 image|Disc 14 image,,,lacquer discs,d899a724-ba07-49f9-9d43-de871f4e6a21,,https://api.dc.library.northwestern.edu/api/v2/works/d899a724-ba07-49f9-9d43-de871f4e6a21?as=iiif,2023-02-20T16:42:39.590378,AVR Migration,avr_migration.csv,,English,qv33rw76p,University Archives,None,,2022-09-23T17:28:34.466639Z,"{'note': 'Same banquet is on 9-11, and the order is 9b - 9a - 10a - 10b - 11a - 11b. Unidentified speaker - 13 and 14 are same banquet', 'type': 'Local Note'}",,,Level 1,"{'cycle': '2017', 'desc': 'Digitization of Otto Graham audio', 'manager': 'Dan Zellner', 'name': 'Otto Graham Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0460'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/2ee57a8a-c425-478a-b7f0-049c13d0b65e,,Copyright Not Evaluated,,,,Done,,,,,"The audiovisual recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d899a724-ba07-49f9-9d43-de871f4e6a21/thumbnail,Otto Graham Banquet,Institution,Audio
