abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:2559390,,https://api.dc.library.northwestern.edu/api/v2/works/7a53c947-08b5-4993-bc5b-9dff041200c8,Work,ark:/81985/n2862dc9x,,,,https://dc.library.northwestern.edu/items/7a53c947-08b5-4993-bc5b-9dff041200c8,,9969582794202441,World War II Poster Collection,United States. Extension Service,2021-03-16T04:33:42.197519Z,,,,1941,"Photo showing a woman with an infant on her lap, sitting at a table displaying food from the various food groups, listening to instruction about family nutritional needs.",inu-dil-d48fcd3e-a273-4aba-be8f-1c446344b6ea.tif,,,posters,7a53c947-08b5-4993-bc5b-9dff041200c8,Make America strong series ; no. 11|Object no. IV.16.,https://api.dc.library.northwestern.edu/api/v2/works/7a53c947-08b5-4993-bc5b-9dff041200c8?as=iiif,2023-02-20T16:04:18.416845,None,None,,English,inu:dil-d48fcd3e-a273-4aba-be8f-1c446344b6ea,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,1 black and white poster,64 x 51 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/1d859af3-8789-4caa-ad1e-7371fd6fd88e,,No Copyright - United States,,,"""Dept. of Agriculture, Extension Service""--Monthly catalog 1941, p. 782.",Done,,"Stay healthy|Nutrition--United States|World War, 1939-1945--United States|Public health--United States|War posters, American",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/7a53c947-08b5-4993-bc5b-9dff041200c8/thumbnail,Your community can use many ways to teach family food needs.,Public,Image
,Voyager:2559425,,https://api.dc.library.northwestern.edu/api/v2/works/73948f76-89aa-4dc3-8685-0cafeb765b26,Work,ark:/81985/n20k28c7m,,,,https://dc.library.northwestern.edu/items/73948f76-89aa-4dc3-8685-0cafeb765b26,,9969582914202441,World War II Poster Collection,United States. Extension Service,2021-03-16T04:03:09.086396Z,,,,1941,"Photo showing a family (mother, father, boys and a girl) eating a meal at a table with plentiful portions and glasses of milk.",inu-dil-d14848f8-ab18-4198-a78c-d1a636ba9787.tif,,,posters,73948f76-89aa-4dc3-8685-0cafeb765b26,Make America strong series ; no. 6|Object no. IV.11.,https://api.dc.library.northwestern.edu/api/v2/works/73948f76-89aa-4dc3-8685-0cafeb765b26?as=iiif,2023-02-20T16:04:35.643829,None,None,,English,inu:dil-d14848f8-ab18-4198-a78c-d1a636ba9787,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,1 black and white poster,64 x 51 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/e6c5b9a4-b939-4cab-9c80-2b1ec8d04472,,No Copyright - United States,,,"""Dept. of Agriculture, Extension Service""--Monthly catalog 1941, p. 782.",Done,,"Stay healthy|Nutrition--United States|War posters, American|Public health--United States|World War, 1939-1945--United States",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/73948f76-89aa-4dc3-8685-0cafeb765b26/thumbnail,"These build strength : meals that are ample, meals well prepared, meals rich in protective foods.",Public,Image
,Voyager:2576390,Her careless talk costs lives,https://api.dc.library.northwestern.edu/api/v2/works/d2f34ffc-c75e-489c-acfb-0b712f24163a,Work,ark:/81985/n2dj5bj19,,,,https://dc.library.northwestern.edu/items/d2f34ffc-c75e-489c-acfb-0b712f24163a,,9969586244202441,World War II Poster Collection,"United States. Adjutant-General's Office|United States. Office of War Information|Keppler, Victor, 1904-1987",2021-03-16T17:34:54.710541Z,,,,1944,Wanted poster with a mugshot-like photograph of a woman. ; [photograph by] Victor Keppler.,inu-dil-8178e7d2-6863-423a-8cdf-7b9b6915cd73.tif,,,posters,d2f34ffc-c75e-489c-acfb-0b712f24163a,Object no. II.12.,https://api.dc.library.northwestern.edu/api/v2/works/d2f34ffc-c75e-489c-acfb-0b712f24163a?as=iiif,2023-02-20T16:05:07.678180,None,None,,English,inu:dil-8178e7d2-6863-423a-8cdf-7b9b6915cd73,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,1 black and white and red poster,71 x 56 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/9e38a74b-509f-41aa-941b-e551f9e0656c,,No Copyright - United States,,,"""Adjutant General's Office""--Monthly catalog 1944, p. 1092.",Done,,"Don't talk|National security--United States|World War, 1939-1945--Social aspects--United States|War posters, American",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/d2f34ffc-c75e-489c-acfb-0b712f24163a/thumbnail,Wanted! for murder : her careless talk costs lives,Public,Image
,Voyager:2594686,"Title on poster verso: 90% or more : attack, attack, attack!|Attack, attack, attack!",https://api.dc.library.northwestern.edu/api/v2/works/42293985-1f86-4f7f-a577-c50b34097eb9,Work,ark:/81985/n2cr5np60,,,,https://dc.library.northwestern.edu/items/42293985-1f86-4f7f-a577-c50b34097eb9,,9969588394202441,World War II Poster Collection,"Lufkin, Raymond",2021-03-15T19:56:14.306243Z,,,,1945,On poster recto: cartoon of a frowning Uncle Sam shaking his finger in shame; on Verso: motif of a colonial militiaman with rifle and plow is combined with a chart of savings percentages illustrated by charging soldiers.,Recto|Verso,,,posters,42293985-1f86-4f7f-a577-c50b34097eb9,Object nos. I.22 and I.23.,https://api.dc.library.northwestern.edu/api/v2/works/42293985-1f86-4f7f-a577-c50b34097eb9?as=iiif,2023-02-20T16:08:08.906831,None,None,,English,inu:dil-f0eca7bc-6130-4a31-81c7-517390a6add3|inu:dil-19828340-69cc-421d-b77f-7151e343f5a1,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,color double sided poster,55 x 35 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/5df5e890-772e-4f62-8d68-75570e786228,,No Copyright - United States,,,,Done,,"War bonds|United States|World War, 1939-1945--Economic aspects--United States|World War, 1939-1945--Posters|War posters, American|Savings bonds",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/42293985-1f86-4f7f-a577-c50b34097eb9/thumbnail,"Our class below 90% : hey kids, you let me down!",Public,Image
,Voyager:2594691,Title on poster verso: Specialty ratings of the U.S. Coast Guard,https://api.dc.library.northwestern.edu/api/v2/works/791516d0-8191-4ffa-b1ee-971b4f868ec0,Work,ark:/81985/n2vq2sm8k,,,,https://dc.library.northwestern.edu/items/791516d0-8191-4ffa-b1ee-971b4f868ec0,,9969588414202441,World War II Poster Collection,,2021-03-16T04:28:06.847301Z,United States. Coast Guard,,,1942,"Recto includes photos of sailors in uniform, some on a ship; Verso shows photos of men working at various support services, including a pharmacist, carpenter, and cook.",Recto|Verso,,,posters,791516d0-8191-4ffa-b1ee-971b4f868ec0,Object no. IX.24 and IX.25.,https://api.dc.library.northwestern.edu/api/v2/works/791516d0-8191-4ffa-b1ee-971b4f868ec0?as=iiif,2023-02-20T16:08:46.366034,None,None,,English,inu:dil-7828eb25-bcfb-493b-a0e3-3638720a504c|inu:dil-acef3da5-797f-4252-91be-c7e9521ad42d,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,black and white and red double sided poster,40 x 46 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/5dd363ea-089c-4586-9ac1-f5b51f0d5148,,No Copyright - United States,,,"""Navy Dept., Coast Guard""--Monthly catalog 1942, p. 1176.",Done,,"United States|United States. Navy--Recruiting, enlistment, etc.|Recruiting|World War, 1939-1945--Posters|War posters, American",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/791516d0-8191-4ffa-b1ee-971b4f868ec0/thumbnail,Piping all hands for the U.S. Coast Guard.,Public,Image
,Voyager:2586592,"Eat nutritional food|Everyday, eat this way",https://api.dc.library.northwestern.edu/api/v2/works/822521c7-646f-40b8-88db-f0e6425a0055,Work,ark:/81985/n23f4np42,,,,https://dc.library.northwestern.edu/items/822521c7-646f-40b8-88db-f0e6425a0055,,9969586924202441,World War II Poster Collection,United States. Office of Defense Health and Welfare Services,2021-03-16T05:08:17.700257Z,,,,1942,"The silhouette of a family (man, woman, and boy) holding hands is contained within a silhouette outline of Uncle Sam raising a forkful of food to his mouth.",inu-dil-945962b1-5b22-4a76-b21a-d8f043b70737.tif,,,posters,822521c7-646f-40b8-88db-f0e6425a0055,Object nos. IV.2 and IV.4.,https://api.dc.library.northwestern.edu/api/v2/works/822521c7-646f-40b8-88db-f0e6425a0055?as=iiif,2023-02-20T16:09:09.670204,None,None,,English,inu:dil-945962b1-5b22-4a76-b21a-d8f043b70737,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,1 color poster,51 x 34 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/e5962757-675d-4a1e-bcda-201ce58bce33,,No Copyright - United States,,,,Done,,"Stay healthy|Nutrition--United States|World War, 1939-1945--United States|Public health--United States|War posters, American",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/822521c7-646f-40b8-88db-f0e6425a0055/thumbnail,U.S. needs us strong : eat nutritional food,Public,Image
,Voyager:2585644,,https://api.dc.library.northwestern.edu/api/v2/works/881e18e9-d40c-4ebb-8840-b3e2193e8e01,Work,ark:/81985/n2xs5jr21,,,,https://dc.library.northwestern.edu/items/881e18e9-d40c-4ebb-8840-b3e2193e8e01,,9969586684202441,World War II Poster Collection,United States. Navy Department. Bureau of Ordnance,2021-03-16T05:35:15.148411Z,,,,1942,"In a fantasy scene, Uncle Sam prods a factory worker, who hands a weapon directly to sailor gunners loading artillery in battle, with bomber airplanes flying overhead.",inu-dil-c655bd2e-26e5-473b-a539-b4ed4024a35c.tif,,,posters,881e18e9-d40c-4ebb-8840-b3e2193e8e01,Object no. IIIC.4.,https://api.dc.library.northwestern.edu/api/v2/works/881e18e9-d40c-4ebb-8840-b3e2193e8e01?as=iiif,2023-02-20T16:10:09.092819,None,None,,,inu:dil-c655bd2e-26e5-473b-a539-b4ed4024a35c,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,1 color poster,63 x 42 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/d17e1b21-a5f5-45dc-a885-8eed05d36de7,,No Copyright - United States,,,,Done,,"Defense work|United States. Navy--Ordnance and ordnance stores|World War, 1939-1945--War work|War posters, American",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/881e18e9-d40c-4ebb-8840-b3e2193e8e01/thumbnail,It's today's production that counts!,Public,Image
,Voyager:2586564,,https://api.dc.library.northwestern.edu/api/v2/works/8eb778ef-29c9-435f-b263-f08dbd9ae0ba,Work,ark:/81985/n2599z91j,,,,https://dc.library.northwestern.edu/items/8eb778ef-29c9-435f-b263-f08dbd9ae0ba,,9969586884202441,World War II Poster Collection,United States. Bureau of Naval Personnel,2021-03-16T06:04:30.922987Z,,,,1942,A graphic chart illustrates the variety of naval military uniform insignia.,inu-dil-a43f806b-02a2-49a5-821b-d81962419324.tif,,,posters,8eb778ef-29c9-435f-b263-f08dbd9ae0ba,"""NRB 31766-3-2-42-10M""|Object no. IX.36.|""#430""",https://api.dc.library.northwestern.edu/api/v2/works/8eb778ef-29c9-435f-b263-f08dbd9ae0ba?as=iiif,2023-02-20T16:10:34.948499,None,None,,,inu:dil-a43f806b-02a2-49a5-821b-d81962419324,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,1 black and white poster,36 x 44 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/1d2a273d-87a7-4015-80cc-2bf0e7bffe85,,No Copyright - United States,,,,Done,,"United States. Navy--Insignia|Recruiting|United States. Navy--Recruiting, enlistment, etc.|World War, 1939-1945--Posters|War posters, American",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/8eb778ef-29c9-435f-b263-f08dbd9ae0ba/thumbnail,Uniform insignia--United States Navy.,Public,Image
,Voyager:2570126,,https://api.dc.library.northwestern.edu/api/v2/works/93f565e5-0a95-448f-ae8b-e208ae1a0fef,Work,ark:/81985/n2vq2vb6v,,,,https://dc.library.northwestern.edu/items/93f565e5-0a95-448f-ae8b-e208ae1a0fef,,9969585204202441,World War II Poster Collection,"United States. War Manpower Commission|United States. Office of War Information. Bureau of Public Inquiries|Liberman, Alexander, 1912-1999",2021-03-16T06:29:43.298039Z,,,,1943,"Photograph showing an African-American and a white factory worker working together, riveting military equipment (an airplane?). ; OWI photograph by Liberman.",inu-dil-612a23e9-155d-4cff-bd2b-1cfaa6259c5a.tif,,,posters,93f565e5-0a95-448f-ae8b-e208ae1a0fef,OWI poster ; no. 38|Object no. IIIC.19.,https://api.dc.library.northwestern.edu/api/v2/works/93f565e5-0a95-448f-ae8b-e208ae1a0fef?as=iiif,2023-02-20T16:10:56.217254,None,None,,English,inu:dil-612a23e9-155d-4cff-bd2b-1cfaa6259c5a,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,1 color poster,71 x 56 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/96e63897-4b5e-48fd-8ca0-599ec3f90645,,No Copyright - United States,,,,Done,,"Defense work|World War, 1939-1945--War work|War posters, American",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/93f565e5-0a95-448f-ae8b-e208ae1a0fef/thumbnail,United we win,Public,Image
,Voyager:2563669,,https://api.dc.library.northwestern.edu/api/v2/works/9d2c33cc-14c7-418e-a6b1-03ca3b3f5737,Work,ark:/81985/n2w66cc1r,,,,https://dc.library.northwestern.edu/items/9d2c33cc-14c7-418e-a6b1-03ca3b3f5737,,9969583614202441,World War II Poster Collection,United States. Department of the Treasury,2021-03-16T12:45:27.996793Z,,,,1942,Photograph of a soldier holding his rifle and embracing his crying child with his other arm.,inu-dil-c4229910-ece1-4031-bd10-84814d8ee0f5.tif,,,posters,9d2c33cc-14c7-418e-a6b1-03ca3b3f5737,"""WSS 541""|Object no. I.25.",https://api.dc.library.northwestern.edu/api/v2/works/9d2c33cc-14c7-418e-a6b1-03ca3b3f5737?as=iiif,2023-02-20T16:11:40.734173,None,None,,English,inu:dil-c4229910-ece1-4031-bd10-84814d8ee0f5,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,1 black and white and red poster,56 x 43 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/bf5bf57a-58df-4f60-ae2b-f85097e78293,,No Copyright - United States,,,"""Treasury Department""--Monthly catalog 1942, p. 1337.",Done,,"War bonds|World War, 1939-1945--Economic aspects--United States|Savings bonds|War posters, American",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/9d2c33cc-14c7-418e-a6b1-03ca3b3f5737/thumbnail,We can't all go-- but we can all help! : put at least 10% of your pay in war bonds : sign the card today.,Public,Image
,Voyager:2586745,,https://api.dc.library.northwestern.edu/api/v2/works/aa743661-ecf5-4b1f-beda-21ea957adbf4,Work,ark:/81985/n2wh2gf6w,,,,https://dc.library.northwestern.edu/items/aa743661-ecf5-4b1f-beda-21ea957adbf4,,9969587004202441,World War II Poster Collection,United States. Office of War Information|United States. Office of War Information,2021-03-16T13:45:48.810420Z,,,,1942,U.S. flag.,inu-dil-94fcbd93-6dde-42e1-9c9a-786cfbc6305e.tif,,,posters,aa743661-ecf5-4b1f-beda-21ea957adbf4,Object no. IIIE.4.|OWI poster ; no. 9,https://api.dc.library.northwestern.edu/api/v2/works/aa743661-ecf5-4b1f-beda-21ea957adbf4?as=iiif,2023-02-20T16:12:33.728971,None,None,,English,inu:dil-94fcbd93-6dde-42e1-9c9a-786cfbc6305e,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,1 color poster,72 x 101 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/02bda9e1-b634-4dce-bb12-464dbdea92e0,,No Copyright - United States,,,,Done,,"Home efforts|Patriotism--United States|World War, 1939-1945--United States|War posters, American",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/aa743661-ecf5-4b1f-beda-21ea957adbf4/thumbnail,Give it your best!,Public,Image
,Voyager:2569924,Garden will make your rations go further|Our food is fighting,https://api.dc.library.northwestern.edu/api/v2/works/af7b60e7-5491-4a2a-86b0-a5c26aa37c2e,Work,ark:/81985/n2d50hx9g,,,,https://dc.library.northwestern.edu/items/af7b60e7-5491-4a2a-86b0-a5c26aa37c2e,,9969585104202441,World War II Poster Collection,United States. Office of War Information|United States. Office of War Information. Bureau of Public Inquiries,2021-03-16T14:12:11.193820Z,,,,1943,"A woman in skirt and seamed stockings and a man in overalls bend over to weed a small garden, while a boy in a military cap holds a bushel basket of home-grown vegetables.",inu-dil-fe9f38bb-c9d6-4409-bd35-f234c4491844.tif,,,posters,af7b60e7-5491-4a2a-86b0-a5c26aa37c2e,OWI poster ; no. 34|Object no. IIIA.6.,https://api.dc.library.northwestern.edu/api/v2/works/af7b60e7-5491-4a2a-86b0-a5c26aa37c2e?as=iiif,2023-02-20T16:13:04.506262,None,None,,English,inu:dil-fe9f38bb-c9d6-4409-bd35-f234c4491844,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,1 color poster,71 x 56 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/d2432c30-8d76-4f1a-99a1-38482d21da36,,No Copyright - United States,,,"""War Information Office""--Monthly catalog 1943, p. 1020.",Done,,"Victory gardens/Save the forests|Victory gardens|World War, 1939-1945--Food supply--United States|War posters, American",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/af7b60e7-5491-4a2a-86b0-a5c26aa37c2e/thumbnail,Plant a victory garden : our food is fighting : a garden will make your rations go further.,Public,Image
,Voyager:2585925,America needs you strong,https://api.dc.library.northwestern.edu/api/v2/works/b18e33c3-6680-431e-9dd0-497e6a31ad24,Work,ark:/81985/n27942v25,,,,https://dc.library.northwestern.edu/items/b18e33c3-6680-431e-9dd0-497e6a31ad24,,9969586724202441,World War II Poster Collection,United States. Office of Defense Health and Welfare Services,2021-03-16T14:22:49.232624Z,,,,1942,"Graphic images of vegetables, fruit, bread, and other food group components.",inu-dil-f1ed7123-b9ee-4150-b777-520eb03191cb.tif,,,posters,b18e33c3-6680-431e-9dd0-497e6a31ad24,Object no. IV.3.,https://api.dc.library.northwestern.edu/api/v2/works/b18e33c3-6680-431e-9dd0-497e6a31ad24?as=iiif,2023-02-20T16:13:08.743945,None,None,,English,inu:dil-f1ed7123-b9ee-4150-b777-520eb03191cb,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,1 color poster,55 x 40 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/cbd793e0-5b19-4502-a855-f27718aeaa66,,No Copyright - United States,,,,Done,,"Stay healthy|Nutrition--United States|War posters, American|Public health--United States|World War, 1939-1945--United States",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/b18e33c3-6680-431e-9dd0-497e6a31ad24/thumbnail,Eat the right food : America needs you strong,Public,Image
,Voyager:2565785,Cooperate with your local defense council|OCD,https://api.dc.library.northwestern.edu/api/v2/works/c2f6a8f0-cbee-4165-a32b-e7e08dca79da,Work,ark:/81985/n23j3c27s,,,,https://dc.library.northwestern.edu/items/c2f6a8f0-cbee-4165-a32b-e7e08dca79da,,9969584164202441,World War II Poster Collection,"United States. Office of Civilian Defense|Newman, Emily",2021-03-16T16:01:08.223153Z,,,,1942,"Graphic design with large ""OCD"" letters outlining photo of crowds of people. ; [illustrated by] Emily Newman",inu-dil-f67e5998-25a2-4bdb-907d-1f974d90be9f.tif,,,posters,c2f6a8f0-cbee-4165-a32b-e7e08dca79da,Object no. V.7.,https://api.dc.library.northwestern.edu/api/v2/works/c2f6a8f0-cbee-4165-a32b-e7e08dca79da?as=iiif,2023-02-20T16:13:15.374129,None,None,,English,inu:dil-f67e5998-25a2-4bdb-907d-1f974d90be9f,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,1 color poster,50 x 53 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/eedb37f9-79ea-453a-9ee8-2f685108cefb,,No Copyright - United States,,,,Done,,"Civil defense--United States|War posters, American|World War, 1939-1945--United States",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/c2f6a8f0-cbee-4165-a32b-e7e08dca79da/thumbnail,Allies for a big job : cooperate with your local defense council,Public,Image
,Voyager:2587978,,https://api.dc.library.northwestern.edu/api/v2/works/b42c74d6-17ef-4a5f-b108-dad59f7e26cb,Work,ark:/81985/n2k64cv1g,,,,https://dc.library.northwestern.edu/items/b42c74d6-17ef-4a5f-b108-dad59f7e26cb,"""[Meet?] the necessities of life through rationing, price control, rent control.""",9969587244202441,World War II Poster Collection,United States. Office of Price Administration,2021-03-16T14:36:57.967092Z,,,,1942,Graph shows comparative cost of living in both World Wars. ; Chart with cost of living data comparing World War I and World War II.,inu-dil-ffccb0ea-4a2d-46c5-b889-2e541f675c09.tif,,,posters,b42c74d6-17ef-4a5f-b108-dad59f7e26cb,"Object no. VI.12.|""6-1-0138""",https://api.dc.library.northwestern.edu/api/v2/works/b42c74d6-17ef-4a5f-b108-dad59f7e26cb?as=iiif,2023-02-20T16:13:22.065881,None,None,,English,inu:dil-ffccb0ea-4a2d-46c5-b889-2e541f675c09,Government & Geographic Information Collection,None,"Washington, D.C.",2021-06-10T16:43:09.761465Z,,1 black and white poster,43 x 28 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,U.S. G.P.O.,,,https://iiif.dc.library.northwestern.edu/iiif/2/8279b1e8-5520-4445-97e1-5f55f4853ec4,,No Copyright - United States,,,,Done,,"Price regulation--United States|World War, 1939-1945--Economic aspects--United States|War posters, American|United States. Office of Price Administration",,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/b42c74d6-17ef-4a5f-b108-dad59f7e26cb/thumbnail,The OPA program,Public,Image
