abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:313203,,https://api.dc.library.northwestern.edu/api/v2/works/209b7f9d-90fb-4723-bf1d-8297ef1a3201,Work,ark:/81985/n2m902s1p,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/209b7f9d-90fb-4723-bf1d-8297ef1a3201,,,Holly Clayson Slide Collection,,2021-03-15T17:33:21.110566Z,"Garnier, Charles",,,1875,,inu-dil-1c4c8851-0e76-4e39-af03-49d3b42886e1.tif,,,architecture (object genre)|architecture (discipline),209b7f9d-90fb-4723-bf1d-8297ef1a3201,,https://api.dc.library.northwestern.edu/api/v2/works/209b7f9d-90fb-4723-bf1d-8297ef1a3201?as=iiif,2023-02-20T16:07:19.523387,None,None,,,inu:dil-1c4c8851-0e76-4e39-af03-49d3b42886e1,Faculty Collections,None,,2023-01-23T14:38:32.184475Z,,"iron, marble, wood, bronze, glass",154.9 m x 70.2 m at the lateral galleries,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11387'}",Paris (France) ; Place de l'Opera,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/5b35f6f8-ff66-4457-972a-239f342729c2,Holly Clayson,In Copyright - Educational Use Permitted,,,,Done,,"Opera de Paris|Architecture--France--19th century|Garnier, Charles, 1825-1898",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/209b7f9d-90fb-4723-bf1d-8297ef1a3201/thumbnail,"Opera renovated, summer 2000",Public,Image
,Voyager:314043,,https://api.dc.library.northwestern.edu/api/v2/works/214b075e-28ae-42d1-acc2-49998ac9f8a1,Work,ark:/81985/n2dn40j9p,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/214b075e-28ae-42d1-acc2-49998ac9f8a1,,,Holly Clayson Slide Collection,,2021-03-15T17:35:53.057351Z,"Whitcomb, Jon|Fuller & Smith & Ross",,,1934,"""Printer by Statler Press, Buffalo.""",inu-dil-4cf4efbd-6904-42cf-8b95-1300053f1517.tif,,,decorative arts (discipline),214b075e-28ae-42d1-acc2-49998ac9f8a1,,https://api.dc.library.northwestern.edu/api/v2/works/214b075e-28ae-42d1-acc2-49998ac9f8a1?as=iiif,2023-02-20T16:07:26.893696,None,None,,,inu:dil-4cf4efbd-6904-42cf-8b95-1300053f1517,Faculty Collections,None,,2023-01-23T14:38:32.184475Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11421'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/72f2862e-7910-4629-8eea-ecf7d94393ed,Holly Clayson,In Copyright - Educational Use Permitted,,,"Annual of advertising and editorial art, 1934 page 28",Done,,Menu design,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/214b075e-28ae-42d1-acc2-49998ac9f8a1/thumbnail,Hotel Statler Co,Public,Image
,Voyager:313356,,https://api.dc.library.northwestern.edu/api/v2/works/3aec8bc9-7f41-42fd-841d-ecd9a2c131a4,Work,ark:/81985/n2cc0vg9j,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/3aec8bc9-7f41-42fd-841d-ecd9a2c131a4,,,Holly Clayson Slide Collection,,2021-03-15T19:24:22.745518Z,unknown French,,,1830,,inu-dil-e8a88c1f-6572-4bae-bca4-fadf29a66ec5.tif,,,architecture (object genre)|architecture (discipline),3aec8bc9-7f41-42fd-841d-ecd9a2c131a4,,https://api.dc.library.northwestern.edu/api/v2/works/3aec8bc9-7f41-42fd-841d-ecd9a2c131a4?as=iiif,2023-02-20T16:08:03.387259,None,None,,,inu:dil-e8a88c1f-6572-4bae-bca4-fadf29a66ec5,Faculty Collections,None,,2023-01-23T14:38:32.236966Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11389'}",Arles (France),True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/2561428a-6b63-4746-9af4-b3e8515f9040,Holly Clayson,In Copyright - Educational Use Permitted,,,,Done,,Rivers--France--Arles|Rhone River (Switzerland and France)|Bridges--France--Arles|Historic sites--France--Arles|Pont de Fourques|Suspension bridges--France--Arles|Bridge railings--France--Arles|Architecture,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/3aec8bc9-7f41-42fd-841d-ecd9a2c131a4/thumbnail,"Bridge to Fourques. Detail, suspension rods and railing ; river, landscape and sky ; bridge over Petite Rhone, between Arles and Fourques",Public,Image
,Voyager:313339,,https://api.dc.library.northwestern.edu/api/v2/works/43b34828-d775-427c-ac8d-0be3c6fcf049,Work,ark:/81985/n2hh6cv5n,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/43b34828-d775-427c-ac8d-0be3c6fcf049,,,Holly Clayson Slide Collection,,2021-03-15T20:02:43.517507Z,unknown French,,,949,,inu-dil-0ca3909f-9ab3-4555-beb8-4d4a86b052bf.tif,,,architecture (object genre)|architecture (discipline),43b34828-d775-427c-ac8d-0be3c6fcf049,,https://api.dc.library.northwestern.edu/api/v2/works/43b34828-d775-427c-ac8d-0be3c6fcf049?as=iiif,2023-02-20T16:08:10.650350,None,None,,,inu:dil-0ca3909f-9ab3-4555-beb8-4d4a86b052bf,Faculty Collections,None,,2023-01-23T14:38:32.236966Z,,stone,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11388'}",Arles (France) ; Abbaye de Montmajour,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/0833de83-40ce-4dc7-9cba-543874bc8f2f,Holly Clayson,In Copyright - Educational Use Permitted,,,,Done,,Abbaye de Montmajour|Abbeys--France--Arles|Architecture|Benedictine monasteries--France--Arles,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/43b34828-d775-427c-ac8d-0be3c6fcf049/thumbnail,"Abbaye de Montmajour. Pointed facade with narrow arches against sky, above shingled roof",Public,Image
,Voyager:SHC000220,,https://api.dc.library.northwestern.edu/api/v2/works/4d067dd9-a711-4b01-af31-bf57bd29117c,Work,ark:/81985/n2p55fz80,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/4d067dd9-a711-4b01-af31-bf57bd29117c,,,Holly Clayson Slide Collection,"Clayson, Hollis, 1946-",2021-03-15T20:45:22.725895Z,,,,2010|Unknown,Photographs by Holly Clayson,inu-dil-5ab9cd16-8c7f-4aef-a85a-265d753d83f5.tif,,,architecture (discipline)|architecture (object genre),4d067dd9-a711-4b01-af31-bf57bd29117c,,https://api.dc.library.northwestern.edu/api/v2/works/4d067dd9-a711-4b01-af31-bf57bd29117c?as=iiif,2023-02-20T16:08:11.323362,None,None,,,inu:dil-5ab9cd16-8c7f-4aef-a85a-265d753d83f5,Faculty Collections,None,,2023-01-23T14:38:32.236966Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:10922'}","Paris, France",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/3a1d338b-60f3-453c-9218-7da9b689de77,Holly Clayson,In Copyright - Educational Use Permitted,,,,Done,,Architecture--17th century--France|Windows|Garden|Architecture,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/4d067dd9-a711-4b01-af31-bf57bd29117c/thumbnail,Musee du Luxembourg. Exterior view,Public,Image
,Voyager:313248,,https://api.dc.library.northwestern.edu/api/v2/works/61dcf273-b885-40bc-b56a-3b5e1ce307b7,Work,ark:/81985/n2nv9b09s,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/61dcf273-b885-40bc-b56a-3b5e1ce307b7,,,Holly Clayson Slide Collection,,2021-03-16T02:50:17.904352Z,"Matisse, Henri",,,1949 to 1951,,inu-dil-324b48d4-1c56-4038-a873-9dd1755aedc2.tif,,,paintings (visual works),61dcf273-b885-40bc-b56a-3b5e1ce307b7,,https://api.dc.library.northwestern.edu/api/v2/works/61dcf273-b885-40bc-b56a-3b5e1ce307b7?as=iiif,2023-02-20T16:08:18.014256,None,None,,,inu:dil-324b48d4-1c56-4038-a873-9dd1755aedc2,Faculty Collections,None,,2023-01-23T14:38:32.236966Z,,tile panels,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11387'}",Vence (France) ; Chapelle du Rosaire,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/71bd3f9e-c5cc-4603-a4a6-a8e83338c968,Holly Clayson,In Copyright - Educational Use Permitted,,,,Done,,"Painting|Chapelle du Rosaire (Vence, France)|Mural painting and decoration, French--20th century|Matisse, Henri, 1869-1954",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/61dcf273-b885-40bc-b56a-3b5e1ce307b7/thumbnail,"Chapelle du Rosaire Vence The nave, with the tile panels of the ""Virgin and the child"" and the ""Stations of the Cross""",Public,Image
,Voyager:313315,,https://api.dc.library.northwestern.edu/api/v2/works/8e9eb361-6fd8-47c9-a57d-2bd24e8b6aa1,Work,ark:/81985/n2542jz1q,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/8e9eb361-6fd8-47c9-a57d-2bd24e8b6aa1,,,Holly Clayson Slide Collection,,2021-03-16T06:04:05.257694Z,unknown French,,,1997,,inu-dil-d513b14c-0fa8-4f31-a385-df8abca9dd82.tif,,,,8e9eb361-6fd8-47c9-a57d-2bd24e8b6aa1,,https://api.dc.library.northwestern.edu/api/v2/works/8e9eb361-6fd8-47c9-a57d-2bd24e8b6aa1?as=iiif,2023-02-20T16:08:40.753191,None,None,,,inu:dil-d513b14c-0fa8-4f31-a385-df8abca9dd82,Faculty Collections,None,,2023-01-23T14:38:32.236966Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11388'}",Arles (France),True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/82e95b5c-d873-4239-9afc-151af3451dbc,Holly Clayson,In Copyright - Educational Use Permitted,,,,Done,,Food--France--Arles|Restaurants--France--Arles,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8e9eb361-6fd8-47c9-a57d-2bd24e8b6aa1/thumbnail,"Cafe le Tambourin, Arles, Place du Forum. Hanging food on facade just hung. ""Snack Bar Le Tambourin"", ""Bar des aficionados""",Public,Image
,Voyager:313416,,https://api.dc.library.northwestern.edu/api/v2/works/a2170782-5d7f-4cbc-b860-43bf8fa99f0e,Work,ark:/81985/n26q1t60g,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/a2170782-5d7f-4cbc-b860-43bf8fa99f0e,,,Holly Clayson Slide Collection,,2021-03-16T13:07:41.582291Z,unknown French,,,2001,"This is a replica of the Langlois Bridge that Van Gogh painted in 1888, which was replaced by a concrete structure in 1930, which was destroyed by retreating Germans in 1944.",inu-dil-c47d90d9-5abe-4f6b-945e-7ea018cf89ed.tif,,,architecture (object genre)|architecture (discipline),a2170782-5d7f-4cbc-b860-43bf8fa99f0e,,https://api.dc.library.northwestern.edu/api/v2/works/a2170782-5d7f-4cbc-b860-43bf8fa99f0e?as=iiif,2023-02-20T16:08:53.076133,None,None,,,inu:dil-c47d90d9-5abe-4f6b-945e-7ea018cf89ed,Faculty Collections,None,,2023-01-23T14:38:32.236966Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11389'}",Arles (France),True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/8d33c234-bbaf-4319-bcec-5ff2c92928c1,Holly Clayson,In Copyright - Educational Use Permitted,,,,Done,,Locks (Hydraulic engineering)--France--Arles|Drawbridges--France--Arles|Architecture|Dwellings--France--Arles|Waterfronts--France--Arles,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a2170782-5d7f-4cbc-b860-43bf8fa99f0e/thumbnail,"Arles. Concrete and stone masonry lock wall and gate ; small lumber-and-chain drawbridge, raised, beyond ; house",Public,Image
,Voyager:313221,,https://api.dc.library.northwestern.edu/api/v2/works/92a9d33b-829e-4456-878e-8b82f7f428bf,Work,ark:/81985/n2m03zm2q,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/92a9d33b-829e-4456-878e-8b82f7f428bf,,,Holly Clayson Slide Collection,,2021-03-16T06:24:19.297729Z,unknown,,,1800 to 1899,,inu-dil-91824126-6f6c-4086-a682-00fe4e6a8df5.tif,,,architecture (object genre)|architecture (discipline),92a9d33b-829e-4456-878e-8b82f7f428bf,,https://api.dc.library.northwestern.edu/api/v2/works/92a9d33b-829e-4456-878e-8b82f7f428bf?as=iiif,2023-02-20T16:09:04.483592,None,None,,,inu:dil-91824126-6f6c-4086-a682-00fe4e6a8df5,Faculty Collections,None,,2023-01-23T14:38:32.236966Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11387'}",Paris (France) ; Etoile,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/7a0373e7-b2b7-4e2f-91de-3e14de5426f8,Holly Clayson,In Copyright - Educational Use Permitted,,,"Other annotation on the slide: Benevolo, 74 [refers to Benevolo, Leonardo. History of modern architecture, 1971]",Done,,"Paris (France)--Buildings, structures, etc|Architecture--France--19th century|Champs-Elysees (Paris, France)",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/92a9d33b-829e-4456-878e-8b82f7f428bf/thumbnail,"Paris, the area of the Etoile Champs-Elysees",Public,Image
,Voyager:313209,,https://api.dc.library.northwestern.edu/api/v2/works/c4bfea63-ddbc-470c-852c-61660e4acb88,Work,ark:/81985/n25x2625s,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/c4bfea63-ddbc-470c-852c-61660e4acb88,,,Holly Clayson Slide Collection,,2021-03-16T16:11:16.888039Z,"Gabriel, Ange-Jacques|De La Chatre, Louis Le Dreux, 1721-1792",,,1751 to 1788,,inu-dil-dbff6c83-a329-4722-977b-522ff9ee81c6.tif,,,architecture (object genre)|architecture (discipline),c4bfea63-ddbc-470c-852c-61660e4acb88,,https://api.dc.library.northwestern.edu/api/v2/works/c4bfea63-ddbc-470c-852c-61660e4acb88?as=iiif,2023-02-20T16:09:06.863534,None,None,,,inu:dil-dbff6c83-a329-4722-977b-522ff9ee81c6,Faculty Collections,None,,2023-01-23T14:38:32.292546Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11387'}","Compiegne, France ; Place du General de Gaulle",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/f5a0ec95-d7eb-4106-ae22-baf24fe94474,Holly Clayson,In Copyright - Educational Use Permitted,,,,Done,,"Architecture--France--18th century|Chateau de Compiegne (Compiegne, France)|Billiards",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/c4bfea63-ddbc-470c-852c-61660e4acb88/thumbnail,"Compiegne, card room Japanese billiards",Public,Image
,Voyager:314056,,https://api.dc.library.northwestern.edu/api/v2/works/87109edd-4fbe-4ec8-870f-785b852b7834,Work,ark:/81985/n2bc3tk99,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/87109edd-4fbe-4ec8-870f-785b852b7834,,,Holly Clayson Slide Collection,,2021-03-16T05:30:44.548213Z,unknown|Societe Nouvelle Radio-electrique,,,1954 to 1955,"Photograph taken during an exhibition at Galerie Tanagra in March, 1976.",inu-dil-31cfd813-8c83-4d36-9db1-bea659b9491e.tif,,,decorative arts (discipline),87109edd-4fbe-4ec8-870f-785b852b7834,,https://api.dc.library.northwestern.edu/api/v2/works/87109edd-4fbe-4ec8-870f-785b852b7834?as=iiif,2023-02-20T16:10:06.348839,None,None,,,inu:dil-31cfd813-8c83-4d36-9db1-bea659b9491e,Faculty Collections,None,,2023-01-23T14:38:32.292546Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11421'}",Paris (France) ; Galerie Tanagra,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/4ccbb62e-1f4a-427f-a706-e26dbe8ba99b,Holly Clayson,In Copyright - Educational Use Permitted,,,,Done,Art Deco,Radio--Receivers and reception|Superheterodyne receivers,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/87109edd-4fbe-4ec8-870f-785b852b7834/thumbnail,Deco radio,Public,Image
,Voyager:313449,,https://api.dc.library.northwestern.edu/api/v2/works/a94c7fa8-f139-468e-a8c5-19c3c54ad047,Work,ark:/81985/n2dz03q9r,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/a94c7fa8-f139-468e-a8c5-19c3c54ad047,,,Holly Clayson Slide Collection,,2021-03-16T13:40:14.351643Z,"Grant, Susan (Susan H.)",,,1997,,inu-dil-305d3850-f878-4a2a-88b1-b9754a39e1d0.tif,,,didactic art,a94c7fa8-f139-468e-a8c5-19c3c54ad047,,https://api.dc.library.northwestern.edu/api/v2/works/a94c7fa8-f139-468e-a8c5-19c3c54ad047?as=iiif,2023-02-20T16:12:19.883390,None,None,,,inu:dil-305d3850-f878-4a2a-88b1-b9754a39e1d0,Faculty Collections,None,,2023-01-23T14:38:32.413150Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11389'}","Grant, Susan (Susan H.)",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/3dba67a0-18b5-4272-9521-db092b600bb7,Holly Clayson,In Copyright - Educational Use Permitted,,,"Grant, Susan (Susan H.). Paris : A Guide to Archival Sources for American Art History. [Washington, D.C.] : Archives of American Art, Smithsonian Institution, 1997.",Done,,"Artists--United States--Archives|Americans--France--Paris--Sources|Art, American--France--Paris--Sources|Art, French--France--Paris--Sources",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a94c7fa8-f139-468e-a8c5-19c3c54ad047/thumbnail,"Paris: A Guide to Archival Sources for American Art History, 1997. Front cover",Public,Image
,Voyager:314001,,https://api.dc.library.northwestern.edu/api/v2/works/ab4f2161-db79-46a2-867b-01158acb63ba,Work,ark:/81985/n29p2ww07,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/ab4f2161-db79-46a2-867b-01158acb63ba,,,Holly Clayson Slide Collection,,2021-03-16T13:50:02.561427Z,unknown,,,1942 to 1944,,inu-dil-d9504f2e-7d3c-4816-873e-e980060ed926.tif,,,,ab4f2161-db79-46a2-867b-01158acb63ba,,https://api.dc.library.northwestern.edu/api/v2/works/ab4f2161-db79-46a2-867b-01158acb63ba?as=iiif,2023-02-20T16:12:38.150882,None,None,,,inu:dil-d9504f2e-7d3c-4816-873e-e980060ed926,Faculty Collections,None,,2023-01-23T14:38:32.413150Z,,photograph,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11421'}",Paris (France) ; Collection of Rene Huyghe,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/02ce44f8-adea-4cc3-a5ba-0a4fdc95cbc0,Holly Clayson,In Copyright - Educational Use Permitted,,,"Other annotation on the slide: page 289 [refers to Nicholas, Lynn H. The Rape of Europa, 1994]",Done,,"Documentary photography|World War, 1939-1945--Art and the war",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/ab4f2161-db79-46a2-867b-01158acb63ba/thumbnail,"Rene Huyghe and his ""troops"" at Montal",Public,Image
,Voyager:313202,,https://api.dc.library.northwestern.edu/api/v2/works/b3ccd678-3bbf-445f-93bd-21ffc5aba834,Work,ark:/81985/n2tb0zj4z,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/b3ccd678-3bbf-445f-93bd-21ffc5aba834,,,Holly Clayson Slide Collection,,2021-03-16T14:34:59.743665Z,"Cessart, Louis-Alexandre de|Dillon, Jacques",,,1802 to 1804,,inu-dil-c02662cf-2b23-4555-be8c-1586e171b0b2.tif,,,architecture (object genre)|architecture (discipline),b3ccd678-3bbf-445f-93bd-21ffc5aba834,,https://api.dc.library.northwestern.edu/api/v2/works/b3ccd678-3bbf-445f-93bd-21ffc5aba834?as=iiif,2023-02-20T16:13:20.662966,None,None,,,inu:dil-c02662cf-2b23-4555-be8c-1586e171b0b2,Faculty Collections,None,,2023-01-23T14:38:32.480832Z,,steel,155 m x 11 m,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11387'}",Paris (France) ; Seine,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/15837aba-d761-4281-849f-365f780eb7d7,Holly Clayson,In Copyright - Educational Use Permitted,,,"Other annotation on the slide: Benevolo, 17 [refers to Benevolo, Leonardo. History of modern architecture, 1971]",Done,,Architecture--France--19th century|Iron and steel bridges--Design and construction,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b3ccd678-3bbf-445f-93bd-21ffc5aba834/thumbnail,"Paris, Pont des Arts",Public,Image
,Voyager:314124,,https://api.dc.library.northwestern.edu/api/v2/works/b40e7f3c-0b24-41e6-9828-e5a36a858f30,Work,ark:/81985/n2n873n9s,55286158-5989-4d73-913b-2eeb636c2949|e6383676-a4bd-4676-abf7-71afc9954d82,,,https://dc.library.northwestern.edu/items/b40e7f3c-0b24-41e6-9828-e5a36a858f30,,,Holly Clayson Slide Collection,,2021-03-16T14:36:22.058715Z,Cham,,,1874,"From the exhibit Comic Art: The Paris Salon in Caricature. At the Getty November 18, 2003 - February 15, 2004.",inu-dil-2378fdf9-5102-4bb6-b67c-41428ebae5d2.tif,,,drawing (image-making),b40e7f3c-0b24-41e6-9828-e5a36a858f30,,https://api.dc.library.northwestern.edu/api/v2/works/b40e7f3c-0b24-41e6-9828-e5a36a858f30?as=iiif,2023-02-20T16:13:24.107037,None,None,,,inu:dil-2378fdf9-5102-4bb6-b67c-41428ebae5d2,Faculty Collections,None,,2023-01-23T14:38:32.480832Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11422'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/95960272-5038-449d-a1b0-463f99ceec95,Holly Clayson,In Copyright - Educational Use Permitted,,,,Done,,"caricatures|portraits|Drawing|illustration (process)|Manet, Edouard (French painter, printmaker, and draftsman, 1832-1883)",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b40e7f3c-0b24-41e6-9828-e5a36a858f30/thumbnail,Series Le Salon pour Rire. Caricature of Manet's The Railroad,Public,Image
