abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Accession:319179,,https://api.dc.library.northwestern.edu/api/v2/works/742861c0-67e7-4664-92c1-24b269f31432,Work,ark:/81985/n2542m911,,,,https://dc.library.northwestern.edu/items/742861c0-67e7-4664-92c1-24b269f31432,Père-Scie.,994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Daumier, Honoré, 1808-1879|Daumier, Honoré, 1808-1879|Daumier, Honoré, 1808-1879",2021-03-16T04:06:01.180274Z,,,,"April 11, 1833",,inu-dil-df409e89-ffcb-4534-8313-1377a6996354.tif,,,caricatures,742861c0-67e7-4664-92c1-24b269f31432,,https://api.dc.library.northwestern.edu/api/v2/works/742861c0-67e7-4664-92c1-24b269f31432?as=iiif,2023-02-20T16:04:00.655472,None,None,,French,inu:dil-df409e89-ffcb-4534-8313-1377a6996354,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/93c870d2-3159-4569-b181-158000b5aae7,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/742861c0-67e7-4664-92c1-24b269f31432/thumbnail,"La Caricature, no 127 (11 avril 1833), plate 264",Public,Image
,Accession:319381,,https://api.dc.library.northwestern.edu/api/v2/works/12a3a3a7-5348-44af-8bc6-049be44c5247,Work,ark:/81985/n2t43m44h,,,,https://dc.library.northwestern.edu/items/12a3a3a7-5348-44af-8bc6-049be44c5247,"Juges des accusés d' Avril. ; Mr. Choiseul, (dit le duc)",994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Daumier, Honoré, 1808-1879|Daumier, Honoré, 1808-1879|Daumier, Honoré, 1808-1879",2021-03-15T16:39:36.310203Z,,,,"June 25, 1835",,inu-dil-9849c346-c625-4d76-8e4a-091a152ead02.tif,,,caricatures,12a3a3a7-5348-44af-8bc6-049be44c5247,,https://api.dc.library.northwestern.edu/api/v2/works/12a3a3a7-5348-44af-8bc6-049be44c5247?as=iiif,2023-02-20T16:04:11.417880,None,None,,French,inu:dil-9849c346-c625-4d76-8e4a-091a152ead02,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/5c09d31e-6072-4ed7-93f8-9206bd69bd26,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/12a3a3a7-5348-44af-8bc6-049be44c5247/thumbnail,"La Caricature, no 242 (25 juin 1835), plate 502",Public,Image
,Accession:318979,,https://api.dc.library.northwestern.edu/api/v2/works/73ad044d-9a3e-4eb6-8e87-8dcd84c78c55,Work,ark:/81985/n2kh0h07d,,,,https://dc.library.northwestern.edu/items/73ad044d-9a3e-4eb6-8e87-8dcd84c78c55,Le mouvement - Impatient trop pressé - Le juste milieu - Honnête homme - Propriètaire -Ordre public - Peureux - La résistance Ganache-Carliste-Henriquinquiste - Bandagiste,994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Bellangé, H. (Hippolyte), 1800-1866|Bellangé, H. (Hippolyte), 1800-1866",2021-03-16T04:03:40.098574Z,,,,"May 5, 1831",,inu-dil-fea0b047-5866-4ec3-9c7d-c0f01eb88984.tif,,,caricatures,73ad044d-9a3e-4eb6-8e87-8dcd84c78c55,,https://api.dc.library.northwestern.edu/api/v2/works/73ad044d-9a3e-4eb6-8e87-8dcd84c78c55?as=iiif,2023-02-20T16:04:43.433170,None,None,,French,inu:dil-fea0b047-5866-4ec3-9c7d-c0f01eb88984,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/544f9c4e-edbc-44b3-802a-f9e884a592f2,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/73ad044d-9a3e-4eb6-8e87-8dcd84c78c55/thumbnail,"La Caricature, no 27 (5 mai 1831), plate 54",Public,Image
,Accession:319353,,https://api.dc.library.northwestern.edu/api/v2/works/059a0b47-8971-4724-83ea-d29273c4bd33,Work,ark:/81985/n2fj2cf1j,,,,https://dc.library.northwestern.edu/items/059a0b47-8971-4724-83ea-d29273c4bd33,"Ah! tu danseras, Tu danseras, Tu danseras! Boléro de St Antoine.",994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Grandville, J. J., 1803-1847|Desperret, Auguste, -1865",2021-03-15T15:51:30.953515Z,,,,"February 26, 1835",,inu-dil-ae81e077-112f-46cd-83e8-b67654cbb8bb.tif,,,caricatures,059a0b47-8971-4724-83ea-d29273c4bd33,,https://api.dc.library.northwestern.edu/api/v2/works/059a0b47-8971-4724-83ea-d29273c4bd33?as=iiif,2023-02-20T16:04:50.149881,None,None,,French,inu:dil-ae81e077-112f-46cd-83e8-b67654cbb8bb,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/5affd8cb-0e43-48d9-b56c-09587fb46127,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/059a0b47-8971-4724-83ea-d29273c4bd33/thumbnail,"La Caricature, no 225 (26 février 1835), plate 469",Public,Image
,Accession:319019,,https://api.dc.library.northwestern.edu/api/v2/works/76ac88ca-2f85-4f19-9c21-6b470a53c697,Work,ark:/81985/n2mc8th7t,,,,https://dc.library.northwestern.edu/items/76ac88ca-2f85-4f19-9c21-6b470a53c697,Bravo! bravo! bravo! courage!,994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Desperret, Auguste, -1865",2021-03-16T04:17:07.443477Z,,,,"September 22, 1831",,inu-dil-77a77bed-8488-4568-9fdc-6e994eaae734.tif,,,caricatures,76ac88ca-2f85-4f19-9c21-6b470a53c697,,https://api.dc.library.northwestern.edu/api/v2/works/76ac88ca-2f85-4f19-9c21-6b470a53c697?as=iiif,2023-02-20T16:05:08.150612,None,None,,French,inu:dil-77a77bed-8488-4568-9fdc-6e994eaae734,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/4c5f3c76-9228-4d80-b44f-c9adaa2827d3,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/76ac88ca-2f85-4f19-9c21-6b470a53c697/thumbnail,"La Caricature, no 47 (22 septembre 1831), plate 94",Public,Image
,Accession:318949,,https://api.dc.library.northwestern.edu/api/v2/works/22ee19a0-a44c-455e-9e98-a8f79214beae,Work,ark:/81985/n25b01272,,,,https://dc.library.northwestern.edu/items/22ee19a0-a44c-455e-9e98-a8f79214beae,On annonce Mr. Mayeux!... (la société) Oh - ha hih! Chut - hoho - pchitt - oyi!...,994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Grandville, J. J., 1803-1847",2021-03-15T17:42:16.914516Z,,,,"January 6, 1831",,inu-dil-30ca75cc-49e5-4261-b421-e900531d6d6f.tif,,,caricatures,22ee19a0-a44c-455e-9e98-a8f79214beae,,https://api.dc.library.northwestern.edu/api/v2/works/22ee19a0-a44c-455e-9e98-a8f79214beae?as=iiif,2023-02-20T16:07:20.421359,None,None,,French,inu:dil-30ca75cc-49e5-4261-b421-e900531d6d6f,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/b555a0f8-cea4-441d-83d0-60577c6cc294,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/22ee19a0-a44c-455e-9e98-a8f79214beae/thumbnail,"La Caricature, no 10 (6 janvier 1831), plate 21",Public,Image
,Accession:319241,,https://api.dc.library.northwestern.edu/api/v2/works/2b8f7917-8350-406c-8c00-395bc9d1ee41,Work,ark:/81985/n2h991d86,,,,https://dc.library.northwestern.edu/items/2b8f7917-8350-406c-8c00-395bc9d1ee41,"La pensée immuable ; Mes bons amis, je ne veux que votre bien, je veux tout votre bien, je veux tout votre bien ... (Pensée immuable.)",994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Bouquet, Auguste, 1810-1846|Bouquet, Auguste, 1810-1846",2021-03-15T18:17:13.955583Z,,,,"November 28, 1833",,inu-dil-5d86f52d-cdef-4e1e-a267-7e2ebd075d2e.tif,,,caricatures,2b8f7917-8350-406c-8c00-395bc9d1ee41,,https://api.dc.library.northwestern.edu/api/v2/works/2b8f7917-8350-406c-8c00-395bc9d1ee41?as=iiif,2023-02-20T16:07:38.906373,None,None,,French,inu:dil-5d86f52d-cdef-4e1e-a267-7e2ebd075d2e,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/11893965-fef3-405b-a092-7f6e2f32054c,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/2b8f7917-8350-406c-8c00-395bc9d1ee41/thumbnail,"La Caricature, no 160 (28 novembre 1833), plate 334",Public,Image
,Accession:319189,,https://api.dc.library.northwestern.edu/api/v2/works/99002162-acbb-4ee8-8710-4208a364eac1,Work,ark:/81985/n29021g51,,,,https://dc.library.northwestern.edu/items/99002162-acbb-4ee8-8710-4208a364eac1,Règne animal (suite) ;  Cabinet d'Histoire Naturelle,994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Grandville, J. J., 1803-1847",2021-03-16T12:27:19.467835Z,,,,"May 23, 1833",,inu-dil-ca85a190-0c2c-402b-9f71-cbc282645a33.tif,,,caricatures,99002162-acbb-4ee8-8710-4208a364eac1,,https://api.dc.library.northwestern.edu/api/v2/works/99002162-acbb-4ee8-8710-4208a364eac1?as=iiif,2023-02-20T16:08:29.343064,None,None,,French,inu:dil-ca85a190-0c2c-402b-9f71-cbc282645a33,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/52c13e24-b920-4998-b519-bb4d4f13f4ce,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/99002162-acbb-4ee8-8710-4208a364eac1/thumbnail,"La Caricature, no 133 (23 mai 1833), plate 275/276",Public,Image
,Accession:319112,,https://api.dc.library.northwestern.edu/api/v2/works/7809e246-38fd-475a-90c9-43b165214191,Work,ark:/81985/n2h41mn55,,,,https://dc.library.northwestern.edu/items/7809e246-38fd-475a-90c9-43b165214191,"La police tennait le fil du complot ; Moniteur, après toutes les émeutes",994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Desperret, Auguste, -1865",2021-03-16T04:23:26.371712Z,,,,"August 16, 1832",,inu-dil-ef80979f-e271-4e55-88f2-acc27e071a69.tif,,,caricatures,7809e246-38fd-475a-90c9-43b165214191,,https://api.dc.library.northwestern.edu/api/v2/works/7809e246-38fd-475a-90c9-43b165214191?as=iiif,2023-02-20T16:08:46.565213,None,None,,French,inu:dil-ef80979f-e271-4e55-88f2-acc27e071a69,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/c2cf3231-4b9c-4e2e-9f91-6aafb9bf02d0,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7809e246-38fd-475a-90c9-43b165214191/thumbnail,"La Caricature, no 93 (16 août 1832), plate 190",Public,Image
,Accession:319024,,https://api.dc.library.northwestern.edu/api/v2/works/8f634624-4be4-4729-82b5-d4bda1f26fae,Work,ark:/81985/n20z72x8g,,,,https://dc.library.northwestern.edu/items/8f634624-4be4-4729-82b5-d4bda1f26fae,Le Moulin à paroles,994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Desperret, Auguste, -1865",2021-03-16T06:07:47.666447Z,,,,"October 6, 1831",,inu-dil-852f324f-bef6-432e-b5c8-758b7c636940.tif,,,caricatures,8f634624-4be4-4729-82b5-d4bda1f26fae,,https://api.dc.library.northwestern.edu/api/v2/works/8f634624-4be4-4729-82b5-d4bda1f26fae?as=iiif,2023-02-20T16:08:51.455278,None,None,,French,inu:dil-852f324f-bef6-432e-b5c8-758b7c636940,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/ddae9765-111d-4b78-80ff-2ec6e0c0fc7f,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8f634624-4be4-4729-82b5-d4bda1f26fae/thumbnail,"La Caricature, no 49 (6 octobre 1831), plate 99",Public,Image
,Accession:318967,,https://api.dc.library.northwestern.edu/api/v2/works/93765a06-371f-43f6-a973-87b4caaa26df,Work,ark:/81985/n2513ww4r,,,,https://dc.library.northwestern.edu/items/93765a06-371f-43f6-a973-87b4caaa26df,La Procession du Diable,994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Gavarni, Paul, 1804-1866|Gavarni, Paul, 1804-1866|Gavarni, Paul, 1804-1866",2021-03-16T06:27:24.626402Z,,,,"March 24, 1831",,inu-dil-59153211-da3e-41d5-b051-6a442abf270d.tif,,,caricatures,93765a06-371f-43f6-a973-87b4caaa26df,,https://api.dc.library.northwestern.edu/api/v2/works/93765a06-371f-43f6-a973-87b4caaa26df?as=iiif,2023-02-20T16:09:10.130057,None,None,,French,inu:dil-59153211-da3e-41d5-b051-6a442abf270d,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/cb43d6ab-759b-43f5-8bf4-b028ada268ab,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/93765a06-371f-43f6-a973-87b4caaa26df/thumbnail,"La Caricature, no 21 (24 mars 1831), plate 42",Public,Image
,Accession:319357,,https://api.dc.library.northwestern.edu/api/v2/works/7df9c956-c696-49b9-9739-0718913d59ea,Work,ark:/81985/n2h70b17d,,,,https://dc.library.northwestern.edu/items/7df9c956-c696-49b9-9739-0718913d59ea,"Vieillards, votre heure est venue !. - O ! mort, laissez-nous le tems de guillotiner ces jeunes hommes.",994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Traviès de Villers, Charles Joseph|Traviès de Villers, Charles Joseph",2021-03-16T04:49:05.264852Z,,,,"March 19, 1835",,inu-dil-c384e8f7-7700-46aa-97c6-f26749ca6d39.tif,,,caricatures,7df9c956-c696-49b9-9739-0718913d59ea,,https://api.dc.library.northwestern.edu/api/v2/works/7df9c956-c696-49b9-9739-0718913d59ea?as=iiif,2023-02-20T16:09:20.383911,None,None,,French,inu:dil-c384e8f7-7700-46aa-97c6-f26749ca6d39,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/1dc78470-582e-405c-914d-1f7d8850e955,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7df9c956-c696-49b9-9739-0718913d59ea/thumbnail,"La Caricature, no 228 (19 mars 1835), plate 474/475",Public,Image
,Accession:319252,,https://api.dc.library.northwestern.edu/api/v2/works/7c8cf88a-bf34-4768-a97f-06655f164aa2,Work,ark:/81985/n27d2s82h,,,,https://dc.library.northwestern.edu/items/7c8cf88a-bf34-4768-a97f-06655f164aa2,Conspiration dite de la poële à frire,994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Traviès de Villers, Charles Joseph|Traviès de Villers, Charles Joseph",2021-03-16T04:42:56.287859Z,,,,"January 2, 1834",,inu-dil-2ab25f73-15d6-472b-a2bf-d998ff504da6.tif,,,caricatures,7c8cf88a-bf34-4768-a97f-06655f164aa2,,https://api.dc.library.northwestern.edu/api/v2/works/7c8cf88a-bf34-4768-a97f-06655f164aa2?as=iiif,2023-02-20T16:09:22.951841,None,None,,French,inu:dil-2ab25f73-15d6-472b-a2bf-d998ff504da6,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/aac7bb1e-9247-404c-9f61-316e8eb13344,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7c8cf88a-bf34-4768-a97f-06655f164aa2/thumbnail,"La Caricature, no 165 (2 janvier 1834), plate 348",Public,Image
,Accession:319397,,https://api.dc.library.northwestern.edu/api/v2/works/7de832c4-8c38-41d4-b273-c2a25e064a2d,Work,ark:/81985/n2nz82r14,,,,https://dc.library.northwestern.edu/items/7de832c4-8c38-41d4-b273-c2a25e064a2d,C'était vraiment bien la peine de nous faire tuer!,994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Daumier, Honoré, 1808-1879|Daumier, Honoré, 1808-1879|Daumier, Honoré, 1808-1879",2021-03-16T04:48:47.964842Z,,,,"August 27, 1835",,inu-dil-745e2199-b002-4ecc-a414-487b53d1db28.tif,,,caricatures,7de832c4-8c38-41d4-b273-c2a25e064a2d,,https://api.dc.library.northwestern.edu/api/v2/works/7de832c4-8c38-41d4-b273-c2a25e064a2d?as=iiif,2023-02-20T16:09:25.210354,None,None,,French,inu:dil-745e2199-b002-4ecc-a414-487b53d1db28,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/4ef55c43-a767-4bf0-b60b-78d3cd00ed3d,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7de832c4-8c38-41d4-b273-c2a25e064a2d/thumbnail,"La Caricature, no 251 (27 août 1835), plate 524",Public,Image
,Accession:319248,,https://api.dc.library.northwestern.edu/api/v2/works/84d3540c-7c7f-44a3-a311-99973912e4d0,Work,ark:/81985/n2j962b20,,,,https://dc.library.northwestern.edu/items/84d3540c-7c7f-44a3-a311-99973912e4d0,La France traine son boulet,994711854202441,"La Caricature (1830-1835; Charles Philipon, founding editor)","Roubaud, Benjamin, 1811-1847",2021-03-16T05:20:26.703562Z,,,,"December 27, 1833",,inu-dil-8e2f6e2b-3b80-48fc-bcfc-2b6aa6110fb2.tif,,,caricatures,84d3540c-7c7f-44a3-a311-99973912e4d0,,https://api.dc.library.northwestern.edu/api/v2/works/84d3540c-7c7f-44a3-a311-99973912e4d0?as=iiif,2023-02-20T16:09:33.926802,None,None,,French,inu:dil-8e2f6e2b-3b80-48fc-bcfc-2b6aa6110fb2,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11701'}",,True,Aubert,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/5af0a2ac-899d-44ae-87be-5fc3875315a3,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/84d3540c-7c7f-44a3-a311-99973912e4d0/thumbnail,"La Caricature, no 164 (27 décembre 1833), plate 345",Public,Image
