abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:b5644r623,,https://api.dc.library.northwestern.edu/api/v2/works/e0517cb2-dd21-45d4-ba1e-5b1a5afb7139,Work,ark:/81985/n2sq8t321,4faa9857-3dc2-46ac-8105-39e3791553ad|b3461e9f-5e1e-4446-bea6-8b86ab79ab6e,,,https://dc.library.northwestern.edu/items/e0517cb2-dd21-45d4-ba1e-5b1a5afb7139,,9979805474202441,The Dharma Talks of Kongo Langlois Roshi,"Zen Buddhist Temple of Chicago|WTAO (Radio station : Herrin, Ill.)",2022-01-21T06:25:10.539594Z,"Langlois, Kōngo, 1935-1999.",73b97182-0c82-4db2-b4d8-645750fcb67b,,1990s|2014,"Interview of Kongo Langlois Roshi, abbot of the Zen Buddhist Temple of Chicago, on radio station WTAO's The morning tea show.",31A|tb09j567x/b5644r623.mods.xml,,,compact discs|born digital,e0517cb2-dd21-45d4-ba1e-5b1a5afb7139,,https://api.dc.library.northwestern.edu/api/v2/works/e0517cb2-dd21-45d4-ba1e-5b1a5afb7139?as=iiif,2023-02-20T16:32:52.219772,AVR Migration,avr_migration.csv,,English,b5644r623,Music Library,None,,2022-09-30T19:24:30.779383Z,,1 compact disc (38 min. 36 sec.) : digital,4 3/4 in.,Level 1,"{'cycle': '2015', 'desc': 'Audio recordings of Kongo Langlois Roshi, one of the first American Zen Buddhist priests.', 'manager': 'Dan Zellner', 'name': 'Dharma Talks of Kongo Roshi', 'proposer': 'Greg MacAyeal', 'task_number': 'P0022'}",,True,Northwestern University Library,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,Zen Buddhism,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/e0517cb2-dd21-45d4-ba1e-5b1a5afb7139/thumbnail,The morning tea show Kōngo Roshi interview,Public,Audio
,avr:4x51hj091,Beyond words & letters|Beyond words and letters,https://api.dc.library.northwestern.edu/api/v2/works/f440f98b-3874-4c94-aa7a-5857f15f73df,Work,ark:/81985/n23j3ck04,4faa9857-3dc2-46ac-8105-39e3791553ad|b3461e9f-5e1e-4446-bea6-8b86ab79ab6e,,,https://dc.library.northwestern.edu/items/f440f98b-3874-4c94-aa7a-5857f15f73df,,9979801804202441,The Dharma Talks of Kongo Langlois Roshi,Zen Buddhist Temple of Chicago,2022-01-21T06:13:30.816452Z,"Langlois, Kōngo, 1935-1999.",73b97182-0c82-4db2-b4d8-645750fcb67b,,1994|2014,"Kongo Langlois Roshi, abbot of the Zen Buddhist Temple of Chicago, describes his understanding of the human condition and the practice of Zen Buddhism.",16A|tb09j567x/4x51hj091.mods.xml,,,compact discs|born digital,f440f98b-3874-4c94-aa7a-5857f15f73df,,https://api.dc.library.northwestern.edu/api/v2/works/f440f98b-3874-4c94-aa7a-5857f15f73df?as=iiif,2023-02-20T16:32:52.221781,AVR Migration,avr_migration.csv,,English,4x51hj091,Music Library,None,,2022-09-30T19:24:30.779383Z,,1 compact disc (25 min. 8 sec.) : digital,4 3/4 in.,Level 1,"{'cycle': '2015', 'desc': 'Audio recordings of Kongo Langlois Roshi, one of the first American Zen Buddhist priests.', 'manager': 'Dan Zellner', 'name': 'Dharma Talks of Kongo Roshi', 'proposer': 'Greg MacAyeal', 'task_number': 'P0022'}",,True,Northwestern University Library,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,Zen Buddhism,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/f440f98b-3874-4c94-aa7a-5857f15f73df/thumbnail,"May 15, 1994 : (Beyond words & letters)",Public,Audio
,avr:j38607014,,https://api.dc.library.northwestern.edu/api/v2/works/7295bb49-f6da-405b-bf7b-b3db32cc0043,Work,ark:/81985/n2gf0qf54,4faa9857-3dc2-46ac-8105-39e3791553ad|b3461e9f-5e1e-4446-bea6-8b86ab79ab6e,,,https://dc.library.northwestern.edu/items/7295bb49-f6da-405b-bf7b-b3db32cc0043,,9979805474202441,The Dharma Talks of Kongo Langlois Roshi,"Zen Buddhist Temple of Chicago|WTAO (Radio station : Herrin, Ill.)",2022-01-21T06:18:32.377015Z,"Langlois, Kōngo, 1935-1999.",73b97182-0c82-4db2-b4d8-645750fcb67b,,1990s|2014,"Interview of Kongo Langlois Roshi, abbot of the Zen Buddhist Temple of Chicago, on radio station WTAO's The morning tea show.",31B|tb09j567x/j38607014.mods.xml,,,compact discs|born digital,7295bb49-f6da-405b-bf7b-b3db32cc0043,,https://api.dc.library.northwestern.edu/api/v2/works/7295bb49-f6da-405b-bf7b-b3db32cc0043?as=iiif,2023-02-20T16:32:52.427468,AVR Migration,avr_migration.csv,,English,j38607014,Music Library,None,,2022-09-30T19:24:30.865289Z,,1 compact disc (38 min. 36 sec.) : digital,4 3/4 in.,Level 1,"{'cycle': '2015', 'desc': 'Audio recordings of Kongo Langlois Roshi, one of the first American Zen Buddhist priests.', 'manager': 'Dan Zellner', 'name': 'Dharma Talks of Kongo Roshi', 'proposer': 'Greg MacAyeal', 'task_number': 'P0022'}",,True,Northwestern University Library,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,Zen Buddhism,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7295bb49-f6da-405b-bf7b-b3db32cc0043/thumbnail,The morning tea show Kōngo Roshi interview,Public,Audio
,avr:dv13zt305,,https://api.dc.library.northwestern.edu/api/v2/works/eca9d805-2ad7-44eb-9bbc-280e0a9bbc5d,Work,ark:/81985/n2np2035p,4faa9857-3dc2-46ac-8105-39e3791553ad|b3461e9f-5e1e-4446-bea6-8b86ab79ab6e,,,https://dc.library.northwestern.edu/items/eca9d805-2ad7-44eb-9bbc-280e0a9bbc5d,,9979805514202441,The Dharma Talks of Kongo Langlois Roshi,Zen Buddhist Temple of Chicago,2022-01-21T06:21:45.890349Z,"Langlois, Kōngo, 1935-1999.",73b97182-0c82-4db2-b4d8-645750fcb67b,,1990|2014,"Kongo Langlois Roshi, abbot of the Zen Buddhist Temple of Chicago, describes his understanding of the human condition and the practice of Zen Buddhism.",9A |tb09j567x/dv13zt305.mods.xml,,,compact discs|born digital,eca9d805-2ad7-44eb-9bbc-280e0a9bbc5d,,https://api.dc.library.northwestern.edu/api/v2/works/eca9d805-2ad7-44eb-9bbc-280e0a9bbc5d?as=iiif,2023-02-20T16:32:52.555308,AVR Migration,avr_migration.csv,,English,dv13zt305,Music Library,None,,2022-09-30T19:24:30.865289Z,,2 compact discs (81 min. 23 sec.) : digital,4 3/4 in.,Level 1,"{'cycle': '2015', 'desc': 'Audio recordings of Kongo Langlois Roshi, one of the first American Zen Buddhist priests.', 'manager': 'Dan Zellner', 'name': 'Dharma Talks of Kongo Roshi', 'proposer': 'Greg MacAyeal', 'task_number': 'P0022'}",,True,Northwestern University Library,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,Zen Buddhism,Disc 9A -- Disc 9B.,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/eca9d805-2ad7-44eb-9bbc-280e0a9bbc5d/thumbnail,New Year's triptych,Public,Audio
,avr:j38606999,,https://api.dc.library.northwestern.edu/api/v2/works/6f2e86ea-991f-4009-b9a4-ca9b16b04de4,Work,ark:/81985/n28c9tp2x,4faa9857-3dc2-46ac-8105-39e3791553ad|b3461e9f-5e1e-4446-bea6-8b86ab79ab6e,,,https://dc.library.northwestern.edu/items/6f2e86ea-991f-4009-b9a4-ca9b16b04de4,,9979804134202441,The Dharma Talks of Kongo Langlois Roshi,Zen Buddhist Temple of Chicago,2022-01-21T06:19:54.803500Z,"Langlois, Kōngo, 1935-1999.",73b97182-0c82-4db2-b4d8-645750fcb67b,,1996|2014,"Kongo Langlois Roshi, abbot of the Zen Buddhist Temple of Chicago, describes his understanding of the human condition and the practice of Zen Buddhism.",27B|tb09j567x/j38606999.mods.xml,,,compact discs|born digital,6f2e86ea-991f-4009-b9a4-ca9b16b04de4,,https://api.dc.library.northwestern.edu/api/v2/works/6f2e86ea-991f-4009-b9a4-ca9b16b04de4?as=iiif,2023-02-20T16:32:53.336073,AVR Migration,avr_migration.csv,,English,j38606999,Music Library,None,,2022-09-30T19:24:30.865289Z,,1 compact disc (9 min. 22 sec.) : digital,4 3/4 in.,Level 1,"{'cycle': '2015', 'desc': 'Audio recordings of Kongo Langlois Roshi, one of the first American Zen Buddhist priests.', 'manager': 'Dan Zellner', 'name': 'Dharma Talks of Kongo Roshi', 'proposer': 'Greg MacAyeal', 'task_number': 'P0022'}",,True,Northwestern University Library,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,Zen Buddhism,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/6f2e86ea-991f-4009-b9a4-ca9b16b04de4/thumbnail,At a loss for words,Public,Audio
,avr:05741r77z,,https://api.dc.library.northwestern.edu/api/v2/works/01130a34-7a87-4e87-8110-48aa19735be5,Work,ark:/81985/n2w66cs71,4faa9857-3dc2-46ac-8105-39e3791553ad|b3461e9f-5e1e-4446-bea6-8b86ab79ab6e,,,https://dc.library.northwestern.edu/items/01130a34-7a87-4e87-8110-48aa19735be5,,9979800184202441,The Dharma Talks of Kongo Langlois Roshi,Zen Buddhist Temple of Chicago,2022-01-21T06:10:25.882810Z,"Langlois, Kōngo, 1935-1999.",73b97182-0c82-4db2-b4d8-645750fcb67b,,1994|2014,"Kongo Langlois Roshi, abbot of the Zen Buddhist Temple of Chicago, describes his understanding of the human condition and the practice of Zen Buddhism.",13A|tb09j567x/05741r77z.mods.xml,,,compact discs|born digital,01130a34-7a87-4e87-8110-48aa19735be5,,https://api.dc.library.northwestern.edu/api/v2/works/01130a34-7a87-4e87-8110-48aa19735be5?as=iiif,2023-02-20T16:39:49.521487,AVR Migration,avr_migration.csv,,English,05741r77z,Music Library,None,,2022-09-30T19:24:30.865289Z,,1 compact disc (26 min. 6 sec.) : digital,4 3/4 in.,Level 1,"{'cycle': '2015', 'desc': 'Audio recordings of Kongo Langlois Roshi, one of the first American Zen Buddhist priests.', 'manager': 'Dan Zellner', 'name': 'Dharma Talks of Kongo Roshi', 'proposer': 'Greg MacAyeal', 'task_number': 'P0022'}",,True,Northwestern University Library,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,Zen Buddhism,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/01130a34-7a87-4e87-8110-48aa19735be5/thumbnail,Will power in Zen,Public,Audio
,avr:fn106z095,,https://api.dc.library.northwestern.edu/api/v2/works/fca871dd-b40d-4415-82a2-a33b73097d93,Work,ark:/81985/n24m93v15,4faa9857-3dc2-46ac-8105-39e3791553ad|b3461e9f-5e1e-4446-bea6-8b86ab79ab6e,,,https://dc.library.northwestern.edu/items/fca871dd-b40d-4415-82a2-a33b73097d93,,9979803004202441,The Dharma Talks of Kongo Langlois Roshi,Zen Buddhist Temple of Chicago,2022-01-21T06:07:36.870424Z,"Langlois, Kōngo, 1935-1999.",73b97182-0c82-4db2-b4d8-645750fcb67b,,1995|2014,"Kongo Langlois Roshi, abbot of the Zen Buddhist Temple of Chicago, describes his understanding of the human condition and the practice of Zen Buddhism.",23B|tb09j567x/fn106z095.mods.xml,,,compact discs|born digital,fca871dd-b40d-4415-82a2-a33b73097d93,,https://api.dc.library.northwestern.edu/api/v2/works/fca871dd-b40d-4415-82a2-a33b73097d93?as=iiif,2023-02-20T16:39:49.616741,AVR Migration,avr_migration.csv,,English,fn106z095,Music Library,None,,2022-09-30T19:24:30.865289Z,,1 compact disc (15 min. 52 sec.) : digital,4 3/4 in.,Level 1,"{'cycle': '2015', 'desc': 'Audio recordings of Kongo Langlois Roshi, one of the first American Zen Buddhist priests.', 'manager': 'Dan Zellner', 'name': 'Dharma Talks of Kongo Roshi', 'proposer': 'Greg MacAyeal', 'task_number': 'P0022'}",,True,Northwestern University Library,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,Zen Buddhism,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/fca871dd-b40d-4415-82a2-a33b73097d93/thumbnail,Wacht,Public,Audio
,avr:5h73pw12z,,https://api.dc.library.northwestern.edu/api/v2/works/03558d69-f109-4fa4-908d-88ec9838dd56,Work,ark:/81985/n2x63dq3s,4faa9857-3dc2-46ac-8105-39e3791553ad|b3461e9f-5e1e-4446-bea6-8b86ab79ab6e,,,https://dc.library.northwestern.edu/items/03558d69-f109-4fa4-908d-88ec9838dd56,,9979804024202441,The Dharma Talks of Kongo Langlois Roshi,Zen Buddhist Temple of Chicago,2022-01-21T06:17:02.262283Z,"Langlois, Kōngo, 1935-1999",73b97182-0c82-4db2-b4d8-645750fcb67b,,1996|2014,"Kongo Langlois Roshi, abbot of the Zen Buddhist Temple of Chicago, describes his understanding of the human condition and the practice of Zen Buddhism.",26B|tb09j567x/5h73pw12z.mods.xml,,,compact discs|born digital,03558d69-f109-4fa4-908d-88ec9838dd56,,https://api.dc.library.northwestern.edu/api/v2/works/03558d69-f109-4fa4-908d-88ec9838dd56?as=iiif,2023-02-20T16:32:51.952151,AVR Migration,avr_migration.csv,,English,5h73pw12z,Music Library,None,,2022-09-30T19:24:33.250617Z,,1 compact disc (27 min. 8 sec.) : digital,4 3/4 in.,Level 1,"{'cycle': '2015', 'desc': 'Audio recordings of Kongo Langlois Roshi, one of the first American Zen Buddhist priests.', 'manager': 'Dan Zellner', 'name': 'Dharma Talks of Kongo Roshi', 'proposer': 'Greg MacAyeal', 'task_number': 'P0022'}",,True,Northwestern University Library,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,Zen Buddhism,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/03558d69-f109-4fa4-908d-88ec9838dd56/thumbnail,Bodhi Day 1996,Public,Audio
,avr:1c18df916,,https://api.dc.library.northwestern.edu/api/v2/works/7a28c862-600c-47b2-8e5d-ae985bff193c,Work,ark:/81985/n2g739n9v,4faa9857-3dc2-46ac-8105-39e3791553ad|b3461e9f-5e1e-4446-bea6-8b86ab79ab6e,,,https://dc.library.northwestern.edu/items/7a28c862-600c-47b2-8e5d-ae985bff193c,,9979803984202441,The Dharma Talks of Kongo Langlois Roshi,Zen Buddhist Temple of Chicago,2022-01-21T06:14:06.498378Z,"Langlois, Kōngo, 1935-1999.",73b97182-0c82-4db2-b4d8-645750fcb67b,,1995|2014,"Kongo Langlois Roshi, abbot of the Zen Buddhist Temple of Chicago, describes his understanding of the human condition and the practice of Zen Buddhism.",25A|tb09j567x/1c18df916.mods.xml,,,compact discs|born digital,7a28c862-600c-47b2-8e5d-ae985bff193c,,https://api.dc.library.northwestern.edu/api/v2/works/7a28c862-600c-47b2-8e5d-ae985bff193c?as=iiif,2023-02-20T16:32:54.690171,AVR Migration,avr_migration.csv,,English,1c18df916,Music Library,None,,2022-09-30T19:24:33.250617Z,,1 compact disc (22 min. 34 sec.) : digital,4 3/4 in.,Level 1,"{'cycle': '2015', 'desc': 'Audio recordings of Kongo Langlois Roshi, one of the first American Zen Buddhist priests.', 'manager': 'Dan Zellner', 'name': 'Dharma Talks of Kongo Roshi', 'proposer': 'Greg MacAyeal', 'task_number': 'P0022'}",,True,Northwestern University Library,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,Zen Buddhism,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7a28c862-600c-47b2-8e5d-ae985bff193c/thumbnail,The cost of ignorance,Public,Audio
,avr:qj72p7274,"Sitting with muscle and bone, take II|Sitting with muscle & bone, take 2",https://api.dc.library.northwestern.edu/api/v2/works/01c5f241-3e19-4d15-98f8-895d22d757ad,Work,ark:/81985/n2w66ct60,4faa9857-3dc2-46ac-8105-39e3791553ad|b3461e9f-5e1e-4446-bea6-8b86ab79ab6e,,,https://dc.library.northwestern.edu/items/01c5f241-3e19-4d15-98f8-895d22d757ad,,9979802154202441,The Dharma Talks of Kongo Langlois Roshi,Zen Buddhist Temple of Chicago,2022-01-21T06:23:39.050301Z,"Langlois, Kōngo, 1935-1999.",73b97182-0c82-4db2-b4d8-645750fcb67b,,1995|2014,"Kongo Langlois Roshi, abbot of the Zen Buddhist Temple of Chicago, describes his understanding of the human condition and the practice of Zen Buddhism.",19B|tb09j567x/qj72p7274.mods.xml,,,compact discs|born digital,01c5f241-3e19-4d15-98f8-895d22d757ad,,https://api.dc.library.northwestern.edu/api/v2/works/01c5f241-3e19-4d15-98f8-895d22d757ad?as=iiif,2023-02-20T16:39:56.235249,AVR Migration,avr_migration.csv,,English,qj72p7274,Music Library,None,,2022-09-30T19:24:33.250617Z,,1 compact disc (19 min. 11 sec.) : digital,4 3/4 in.,Level 1,"{'cycle': '2015', 'desc': 'Audio recordings of Kongo Langlois Roshi, one of the first American Zen Buddhist priests.', 'manager': 'Dan Zellner', 'name': 'Dharma Talks of Kongo Roshi', 'proposer': 'Greg MacAyeal', 'task_number': 'P0022'}",,True,Northwestern University Library,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,Zen Buddhism,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/01c5f241-3e19-4d15-98f8-895d22d757ad/thumbnail,"Sitting with muscle & bone, take II",Public,Audio
,avr:pc289j16h,,https://api.dc.library.northwestern.edu/api/v2/works/3d5b0605-3292-42c2-92d8-2cd98d7448e6,Work,ark:/81985/n2mp4z582,4faa9857-3dc2-46ac-8105-39e3791553ad|b3461e9f-5e1e-4446-bea6-8b86ab79ab6e,,,https://dc.library.northwestern.edu/items/3d5b0605-3292-42c2-92d8-2cd98d7448e6,,9979800204202441,The Dharma Talks of Kongo Langlois Roshi,Zen Buddhist Temple of Chicago,2022-01-21T06:13:20.228080Z,"Langlois, Kōngo, 1935-1999.",73b97182-0c82-4db2-b4d8-645750fcb67b,,1994|2014,"Kongo Langlois Roshi, abbot of the Zen Buddhist Temple of Chicago, describes his understanding of the human condition and the practice of Zen Buddhism.",13B|tb09j567x/pc289j16h.mods.xml,,,compact discs|born digital,3d5b0605-3292-42c2-92d8-2cd98d7448e6,,https://api.dc.library.northwestern.edu/api/v2/works/3d5b0605-3292-42c2-92d8-2cd98d7448e6?as=iiif,2023-02-20T16:39:56.237493,AVR Migration,avr_migration.csv,,English,pc289j16h,Music Library,None,,2022-09-30T19:24:33.250617Z,,1 compact disc (23 min. 48 sec.) : digital,4 3/4 in.,Level 1,"{'cycle': '2015', 'desc': 'Audio recordings of Kongo Langlois Roshi, one of the first American Zen Buddhist priests.', 'manager': 'Dan Zellner', 'name': 'Dharma Talks of Kongo Roshi', 'proposer': 'Greg MacAyeal', 'task_number': 'P0022'}",,True,Northwestern University Library,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,Zen Buddhism,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/3d5b0605-3292-42c2-92d8-2cd98d7448e6/thumbnail,Just as it is,Public,Audio
,avr:vh53wv862,,https://api.dc.library.northwestern.edu/api/v2/works/49673422-02fe-47f2-9ac9-a128d12e1d1f,Work,ark:/81985/n2q23tk08,4faa9857-3dc2-46ac-8105-39e3791553ad|b3461e9f-5e1e-4446-bea6-8b86ab79ab6e,,,https://dc.library.northwestern.edu/items/49673422-02fe-47f2-9ac9-a128d12e1d1f,,9979805414202441,The Dharma Talks of Kongo Langlois Roshi,Zen Buddhist Temple of Chicago,2022-01-21T06:23:08.947299Z,"Langlois, Kōngo, 1935-1999.",73b97182-0c82-4db2-b4d8-645750fcb67b,,1996|2014,"Kongo Langlois Roshi, abbot of the Zen Buddhist Temple of Chicago, describes his understanding of the human condition and the practice of Zen Buddhism.",30B|tb09j567x/vh53wv862.mods.xml,,,compact discs|born digital,49673422-02fe-47f2-9ac9-a128d12e1d1f,,https://api.dc.library.northwestern.edu/api/v2/works/49673422-02fe-47f2-9ac9-a128d12e1d1f?as=iiif,2023-02-20T16:39:56.286521,AVR Migration,avr_migration.csv,,English,vh53wv862,Music Library,None,,2022-09-30T19:24:33.250617Z,,1 compact disc (18 min. 18 sec.) : digital,4 3/4 in.,Level 1,"{'cycle': '2015', 'desc': 'Audio recordings of Kongo Langlois Roshi, one of the first American Zen Buddhist priests.', 'manager': 'Dan Zellner', 'name': 'Dharma Talks of Kongo Roshi', 'proposer': 'Greg MacAyeal', 'task_number': 'P0022'}",,True,Northwestern University Library,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,Zen Buddhism,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/49673422-02fe-47f2-9ac9-a128d12e1d1f/thumbnail,Mothers Day special,Public,Audio
,avr:tq57nr12c,,https://api.dc.library.northwestern.edu/api/v2/works/843938cb-b9a2-416e-8439-8001851bda2a,Work,ark:/81985/n24t6hn1c,4faa9857-3dc2-46ac-8105-39e3791553ad|b3461e9f-5e1e-4446-bea6-8b86ab79ab6e,,,https://dc.library.northwestern.edu/items/843938cb-b9a2-416e-8439-8001851bda2a,,9979804324202441,The Dharma Talks of Kongo Langlois Roshi,Zen Buddhist Temple of Chicago,2022-01-21T06:15:03.945533Z,"Langlois, Kōngo, 1935-1999.",73b97182-0c82-4db2-b4d8-645750fcb67b,,1999|2014,"Kongo Langlois Roshi, abbot of the Zen Buddhist Temple of Chicago, describes his understanding of the human condition and the practice of Zen Buddhism.",29B|tb09j567x/tq57nr12c.mods.xml,,,compact discs|born digital,843938cb-b9a2-416e-8439-8001851bda2a,,https://api.dc.library.northwestern.edu/api/v2/works/843938cb-b9a2-416e-8439-8001851bda2a?as=iiif,2023-02-20T16:39:56.289351,AVR Migration,avr_migration.csv,,English,tq57nr12c,Music Library,None,,2022-09-30T19:24:33.250617Z,,1 compact disc (31 min. 39 sec.) : digital,4 3/4 in.,Level 1,"{'cycle': '2015', 'desc': 'Audio recordings of Kongo Langlois Roshi, one of the first American Zen Buddhist priests.', 'manager': 'Dan Zellner', 'name': 'Dharma Talks of Kongo Roshi', 'proposer': 'Greg MacAyeal', 'task_number': 'P0022'}",,True,Northwestern University Library,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Not Evaluated,,,,Done,,Zen Buddhism,,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/843938cb-b9a2-416e-8439-8001851bda2a/thumbnail,No doubt,Public,Audio
